**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,X,r_min,r_max,lift,n_bins,sign_flip
1h,price_accel_w,-0.005942049849526631,0.12850201499297378,0.1344440648425004,5,False
1h,price_accel_1b,-0.1064834195216143,0.025673244927417547,0.13215666444903185,5,False
1h,price_velocity_w,-0.06270039254011692,0.06525127353792166,0.1279516660780386,5,True
1h,bar_range,-0.037772256815699325,0.08698884242448368,0.124761099240183,5,False
15m,bar_range,-0.05902353426670842,0.06210287525913815,0.12112640952584658,5,True
15m,SE_low_w,-0.04609744434535977,0.0735378056053828,0.11963524995074257,5,False
1h,price_velocity_1b,-0.04654378060937331,0.06528921526496048,0.11183299587433379,5,False
15m,vol_velocity_w,-0.06450438044742156,0.04663471616011729,0.11113909660753885,5,False
5s,SE_low_w,-0.028030537251594576,0.08271997294407858,0.11075051019567315,5,False
1h,body,-0.05208609679372415,0.05725699664800527,0.10934309344172942,5,True
15m,price_accel_1b,-0.06412519283824371,0.04467165420002225,0.10879684703826595,5,False
5s,SE_high_w,-0.01841314415901226,0.08990733548076976,0.10832047963978203,5,False
5s,swing_noise_w,-0.018450881059360016,0.0883928058666735,0.10684368692603352,5,False
1h,vol_accel_1b,-0.07543343976120959,0.03137099445004433,0.1068044342112539,5,False
1h,vol_sigma_w,-0.05430400684682778,0.05029048133537299,0.10459448818220077,5,True
5s,price_sigma_w,-0.012989103458723564,0.08839441753151546,0.10138352099023902,5,False
1m,price_accel_1b,-0.007416416081110615,0.09315719520499037,0.10057361128610098,5,False
1h,vol_mean_w,-0.04574839232788667,0.05370916712379055,0.09945755945167722,5,False
15m,vwap_w,-0.05580540712951216,0.042297021209199176,0.09810242833871133,5,False
15m,price_mean_w,-0.05577732183175455,0.04222625726883652,0.09800357910059107,5,False
1h,hurst_w,-0.029211062333627226,0.06600857683578237,0.09521963916940959,5,False
15m,price_sigma_w,-0.008551535312594559,0.08616209300071496,0.09471362831330953,5,False
1h,swing_noise_w,-0.028084337073615805,0.06551939992602435,0.09360373699964016,5,False
15m,z_low_w,-0.06428742609558566,0.023913535258635817,0.08820096135422148,5,False
15m,SE_high_w,-0.010671558356333466,0.07368328352034467,0.08435484187667813,5,False
5s,vol_velocity_1b,-0.055562084225884524,0.02802003611605118,0.08358212034193571,5,False
15m,price_accel_w,-0.0406126152550736,0.04273431937152998,0.08334693462660359,5,False
15m,swing_noise_w,-0.017826699050171126,0.06502903709724939,0.0828557361474205,5,False
1h,SE_low_w,-0.022657697320941826,0.05949983671239693,0.08215753403333875,5,False
1h,reversion_prob_w,-0.08523452895267083,-0.005207225960615723,0.08002730299205511,5,False
15m,vol_sigma_w,-0.034370712006355206,0.04523775847958659,0.0796084704859418,5,False
15m,body,-0.03994637695371164,0.03919646579693911,0.07914284275065075,5,False
1m,bar_range,-0.015615788957943638,0.06326639159257924,0.07888218055052287,5,False
5m,swing_noise_w,-0.016134940911232323,0.06230078148350097,0.07843572239473329,5,False
15m,price_velocity_1b,-0.04011412930718362,0.038316700991793455,0.07843083029897707,5,False
5s,vol_accel_1b,-0.05637902568870753,0.021859805424826656,0.07823883111353419,5,False
5s,vol_velocity_w,-0.052176024624981845,0.0257165163008698,0.07789254092585164,5,False
15m,vol_mean_w,-0.04512383628105251,0.03229234746826495,0.07741618374931745,5,False
1m,price_velocity_1b,-0.004041251522829762,0.07268892563331052,0.07673017715614028,5,False
1h,z_high_w,-0.01768633802028807,0.05738469792032889,0.07507103594061695,5,False
1m,body,-0.0029528518664186506,0.07179996576057457,0.07475281762699322,5,False
1h,vol_velocity_1b,-0.04919861420966995,0.024476160172612085,0.07367477438228204,5,False
5s,price_accel_w,-0.03049758220563367,0.0409154713988018,0.07141305360443546,5,False
5m,bar_range,-0.0116072330837358,0.05787653970261813,0.06948377278635393,5,False
1m,price_accel_w,-0.03278124170496417,0.03616049475248184,0.06894173645744602,5,False
