**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,X,r_min,r_max,lift,n_bins,sign_flip
1m,SE_low_w,-0.022750336272626112,0.04616416571548913,0.06891450198811525,5,False
5s,vol_accel_w,-0.05138225699990469,0.017244622949689467,0.06862687994959416,5,False
1m,SE_high_w,-0.02121541426977687,0.04734603743983234,0.0685614517096092,5,False
1h,vol_velocity_w,-0.046168383274710886,0.02050959815921593,0.06667798143392681,5,False
1h,vol_accel_w,-0.0440140405274921,0.02235081934210818,0.06636485986960028,5,False
1h,price_sigma_w,-0.038827211869140676,0.026668743533217694,0.06549595540235836,5,False
5m,SE_low_w,-0.02158304511119465,0.0436756218444081,0.06525866695560274,5,False
5s,price_velocity_1b,-0.04385099216957875,0.02086186191807839,0.06471285408765715,5,False
15m,vol_velocity_1b,-0.01888365966052353,0.045695084625818505,0.06457874428634203,5,False
5m,price_accel_w,-0.024513183271827967,0.03949413632032414,0.06400731959215211,5,False
1m,price_velocity_w,-0.028427589427579582,0.0354034806172152,0.06383107004479478,5,False
1m,price_sigma_w,-0.022730771772926605,0.04109945563130829,0.0638302274042349,5,False
5m,SE_high_w,-0.024409078024529254,0.03866400506013665,0.0630730830846659,5,False
5m,price_sigma_w,-0.018863751699035716,0.04061755460008204,0.059481306299117756,5,False
5m,body,-0.031614559396226434,0.026846483851843947,0.05846104324807038,5,False
5m,price_velocity_1b,-0.03120669939640415,0.026526913845052208,0.05773361324145636,5,False
5s,price_velocity_w,0.008709014571494434,0.06633808424342531,0.05762906967193088,5,False
15m,hurst_w,0.001779295328318393,0.05804626322428703,0.056266967895968634,5,False
5m,price_velocity_w,-0.01878046137108334,0.03680065799162863,0.05558111936271197,5,False
5s,vol_sigma_w,-0.036473795382105795,0.01894475750315914,0.055418552885264934,5,False
1h,SE_high_w,0.006022262090301411,0.05973675791465598,0.053714495824354565,5,False
1h,vwap_w,-0.04335045871377293,0.008872622546679653,0.05222308126045258,5,False
15m,price_velocity_w,-0.002438266109591579,0.048935708392969936,0.051373974502561516,5,False
15m,vol_accel_1b,-0.021220717422019128,0.029988907092768864,0.05120962451478799,5,False
1m,vol_sigma_w,-0.02201521234800992,0.028333739012103565,0.050348951360113484,5,False
15m,z_high_w,-0.036925750133797286,0.012006758732615143,0.04893250886641243,5,False
5s,bar_range,-0.007387201167150487,0.04151481656359552,0.04890201773074601,5,False
1h,price_mean_w,-0.042317064184811605,0.006215343563440889,0.048532407748252494,5,False
1m,vol_velocity_1b,-0.029414828720612886,0.018519481270305338,0.047934309990918224,5,False
1m,vol_mean_w,-0.016744918318462355,0.02917688589635753,0.04592180421481988,5,False
1m,swing_noise_w,-0.012830700763054034,0.03136084257867825,0.04419154334173228,5,False
5m,price_accel_1b,-0.028525230149717393,0.01549383806555948,0.044019068215276874,5,False
5m,reversion_prob_w,-0.03213355359434841,0.011620790641510996,0.04375434423585941,5,False
5s,body,-0.02281827317375712,0.019687732834884192,0.04250600600864131,5,False
15m,vol_accel_w,-0.016382314272072103,0.02596318395234697,0.042345498224419076,5,False
5m,vol_velocity_w,-0.0076364388927441015,0.03375530300107501,0.04139174189381911,5,False
1h,z_low_w,0.008462300733130998,0.04979996754858807,0.04133766681545707,5,False
5s,vwap_w,-0.03615367132244062,0.00505393550329801,0.04120760682573863,5,False
5s,price_mean_w,-0.03615848580019275,0.005041389845616376,0.041199875645809125,5,False
1m,reversion_prob_w,-0.024526609902959077,0.016403435423106717,0.0409300453260658,5,False
5m,vwap_w,-0.029180505698145162,0.01056927670793358,0.039749782406078744,5,False
5m,price_mean_w,-0.029320150906835214,0.010368184634522838,0.039688335541358054,5,False
5s,vol_mean_w,-0.02592660448130772,0.013752395323336278,0.039678999804644,5,False
1m,vwap_w,-0.03458532732132905,0.00378772425553449,0.03837305157686354,5,False
1m,price_mean_w,-0.03457460150978932,0.0036920990454151707,0.03826670055520449,5,False
5m,vol_accel_w,-0.018860116221394482,0.018844652168127,0.037704768389521484,5,False
5m,z_low_w,-0.015105301468333514,0.021765966608534075,0.03687126807686759,5,False
1m,vol_accel_1b,-0.019423672940173636,0.015533173158462052,0.03495684609863569,5,False
5m,z_high_w,-0.00788944223278199,0.026002496899295634,0.03389193913207762,5,False
1m,z_low_w,-0.020436497983480965,0.013219241073983808,0.03365573905746477,5,False
1m,z_high_w,-0.020246542404696585,0.012563242882004744,0.03280978528670133,5,False
5s,reversion_prob_w,-0.006483114994378943,0.02056615999185219,0.027049274986231133,5,False
5m,vol_accel_1b,-0.02084904393079642,0.00508713378474172,0.02593617771553814,5,False
5m,vol_mean_w,-0.017396577732724593,0.008226686146208676,0.025623263878933267,5,False
1m,vol_velocity_w,-0.0013353429829772855,0.022186046427779778,0.023521389410757064,5,False
5m,vol_velocity_1b,-0.0035266093128108367,0.017736683808957914,0.02126329312176875,5,False
5s,hurst_w,-0.008095692304731164,0.013073056412157556,0.02116874871688872,5,False
1m,hurst_w,-0.011332595863673566,0.009033567366302737,0.0203661632299763,5,False
15m,reversion_prob_w,-0.014203213473392802,0.005555842450333152,0.019759055923725954,5,False
5m,hurst_w,-0.009413174336991414,0.009317637110717012,0.018730811447708426,5,False
5s,price_accel_1b,-0.024174299948672193,-0.006868785979957995,0.017305513968714197,5,False
1m,vol_accel_w,-0.008119087045932531,0.008634692593928617,0.016753779639861147,5,False
5s,z_low_w,-0.0006845624570720048,0.015627658886916647,0.016312221343988652,5,False
5m,vol_sigma_w,-0.012942682289637767,0.001949361730083758,0.014892044019721525,5,False
5s,z_high_w,-0.007796577973690383,0.0018166967208011506,0.009613274694491534,5,False
