tf,X,q_z,n,corr_x_fwd
1m,price_velocity_1b,0,9384,-0.004041251522829762
1m,price_velocity_1b,1,9380,0.025795070285246198
1m,price_velocity_1b,2,9383,0.01755912352587598
1m,price_velocity_1b,3,9382,0.03197332621245621
1m,price_velocity_1b,4,9384,0.07268892563331052
1m,price_accel_1b,0,9384,-0.007416416081110615
1m,price_accel_1b,1,9380,0.05715621383301856
1m,price_accel_1b,2,9383,0.035512274743826865
1m,price_accel_1b,3,9382,0.00943971225014685
1m,price_accel_1b,4,9384,0.09315719520499037
1m,vol_velocity_1b,0,9384,-0.01167586670989569
1m,vol_velocity_1b,1,9380,-0.009268752240859376
1m,vol_velocity_1b,2,9383,0.018519481270305338
1m,vol_velocity_1b,3,9382,-0.029414828720612886
1m,vol_velocity_1b,4,9384,-0.0004865630138838173
1m,vol_accel_1b,0,9384,-0.008540521839978044
1m,vol_accel_1b,1,9380,-0.00858596396639213
1m,vol_accel_1b,2,9383,0.011362451265817152
1m,vol_accel_1b,3,9382,-0.019423672940173636
1m,vol_accel_1b,4,9384,0.015533173158462052
1m,bar_range,0,9384,0.011847732765612275
1m,bar_range,1,9380,-0.015615788957943638
1m,bar_range,2,9383,0.011200256808456134
1m,bar_range,3,9382,0.04382476348242911
1m,bar_range,4,9384,0.06326639159257924
1m,body,0,9384,-0.0029528518664186506
1m,body,1,9380,0.026535201842251162
1m,body,2,9383,0.01623189638557054
1m,body,3,9382,0.03577194711493243
1m,body,4,9384,0.07179996576057457
1m,price_velocity_w,0,9384,0.014496091528319965
1m,price_velocity_w,1,9380,-0.028427589427579582
1m,price_velocity_w,2,9383,0.032737449467968006
1m,price_velocity_w,3,9382,0.0016512237395349284
1m,price_velocity_w,4,9384,0.0354034806172152
1m,price_accel_w,0,9384,-0.006572793015569054
1m,price_accel_w,1,9380,0.019761381458014985
1m,price_accel_w,2,9383,-0.03278124170496417
1m,price_accel_w,3,9382,0.021447495935391036
1m,price_accel_w,4,9384,0.03616049475248184
1m,vol_velocity_w,0,9384,0.009799819147055107
1m,vol_velocity_w,1,9380,-0.0013353429829772855
1m,vol_velocity_w,2,9383,0.007230027784516415
1m,vol_velocity_w,3,9382,0.022186046427779778
1m,vol_velocity_w,4,9384,0.009795364609382927
1m,vol_accel_w,0,9384,-0.005028993002683728
1m,vol_accel_w,1,9380,-0.008119087045932531
1m,vol_accel_w,2,9383,0.00599766091101163
1m,vol_accel_w,3,9382,-0.0023214031610874716
1m,vol_accel_w,4,9384,0.008634692593928617
1m,price_mean_w,0,9384,-0.0070737218949735075
1m,price_mean_w,1,9380,-0.014534658409426039
1m,price_mean_w,2,9383,0.0036920990454151707
1m,price_mean_w,3,9382,-0.03457460150978932
1m,price_mean_w,4,9384,-0.011796425904293854
1m,price_sigma_w,0,9384,0.017931257127642895
1m,price_sigma_w,1,9380,-0.022730771772926605
1m,price_sigma_w,2,9383,0.014816022863318956
1m,price_sigma_w,3,9382,0.04109945563130829
1m,price_sigma_w,4,9384,-0.010129663505181633
1m,vol_mean_w,0,9384,-0.0025981567902604876
