tf,q_z_se,regime_2d,n
5s,0,UP_SMOOTH,1448
5s,0,UP_CHOPPY,761
5s,0,DOWN_SMOOTH,942
5s,0,DOWN_CHOPPY,605
5s,0,FLAT_SMOOTH,1974
5s,0,FLAT_CHOPPY,3656
5s,1,UP_SMOOTH,1480
5s,1,UP_CHOPPY,737
5s,1,DOWN_SMOOTH,916
5s,1,DOWN_CHOPPY,622
5s,1,FLAT_SMOOTH,1940
5s,1,FLAT_CHOPPY,3690
5s,2,UP_SMOOTH,1396
5s,2,UP_CHOPPY,793
5s,2,DOWN_SMOOTH,916
5s,2,DOWN_CHOPPY,609
5s,2,FLAT_SMOOTH,1992
5s,2,FLAT_CHOPPY,3680
5s,3,UP_SMOOTH,1399
5s,3,UP_CHOPPY,794
5s,3,DOWN_SMOOTH,959
5s,3,DOWN_CHOPPY,567
5s,3,FLAT_SMOOTH,1993
5s,3,FLAT_CHOPPY,3673
5s,4,UP_SMOOTH,1423
5s,4,UP_CHOPPY,839
5s,4,DOWN_SMOOTH,929
5s,4,DOWN_CHOPPY,585
5s,4,FLAT_SMOOTH,1994
5s,4,FLAT_CHOPPY,3616
1m,0,UP_SMOOTH,1408
1m,0,UP_CHOPPY,783
1m,0,DOWN_SMOOTH,933
1m,0,DOWN_CHOPPY,593
1m,0,FLAT_SMOOTH,2020
1m,0,FLAT_CHOPPY,3648
1m,1,UP_SMOOTH,1397
1m,1,UP_CHOPPY,803
1m,1,DOWN_SMOOTH,933
1m,1,DOWN_CHOPPY,601
1m,1,FLAT_SMOOTH,1898
1m,1,FLAT_CHOPPY,3753
1m,2,UP_SMOOTH,1398
1m,2,UP_CHOPPY,751
1m,2,DOWN_SMOOTH,945
1m,2,DOWN_CHOPPY,605
1m,2,FLAT_SMOOTH,2006
1m,2,FLAT_CHOPPY,3680
1m,3,UP_SMOOTH,1481
1m,3,UP_CHOPPY,785
1m,3,DOWN_SMOOTH,941
1m,3,DOWN_CHOPPY,562
1m,3,FLAT_SMOOTH,1972
1m,3,FLAT_CHOPPY,3644
1m,4,UP_SMOOTH,1462
1m,4,UP_CHOPPY,802
1m,4,DOWN_SMOOTH,910
1m,4,DOWN_CHOPPY,627
1m,4,FLAT_SMOOTH,1994
1m,4,FLAT_CHOPPY,3590
5m,0,UP_SMOOTH,1390
5m,0,UP_CHOPPY,781
5m,0,DOWN_SMOOTH,980
5m,0,DOWN_CHOPPY,578
5m,0,FLAT_SMOOTH,1959
5m,0,FLAT_CHOPPY,3696
5m,1,UP_SMOOTH,1448
5m,1,UP_CHOPPY,803
5m,1,DOWN_SMOOTH,904
5m,1,DOWN_CHOPPY,619
5m,1,FLAT_SMOOTH,1958
5m,1,FLAT_CHOPPY,3652
5m,2,UP_SMOOTH,1431
5m,2,UP_CHOPPY,796
5m,2,DOWN_SMOOTH,927
5m,2,DOWN_CHOPPY,624
5m,2,FLAT_SMOOTH,1965
5m,2,FLAT_CHOPPY,3641
5m,3,UP_SMOOTH,1418
5m,3,UP_CHOPPY,756
5m,3,DOWN_SMOOTH,932
5m,3,DOWN_CHOPPY,569
5m,3,FLAT_SMOOTH,1993
5m,3,FLAT_CHOPPY,3716
5m,4,UP_SMOOTH,1459
5m,4,UP_CHOPPY,788
5m,4,DOWN_SMOOTH,919
5m,4,DOWN_CHOPPY,598
5m,4,FLAT_SMOOTH,2010
5m,4,FLAT_CHOPPY,3610
15m,0,UP_SMOOTH,1332
15m,0,UP_CHOPPY,729
15m,0,DOWN_SMOOTH,959
15m,0,DOWN_CHOPPY,660
15m,0,FLAT_SMOOTH,1915
15m,0,FLAT_CHOPPY,3784
15m,1,UP_SMOOTH,1501
15m,1,UP_CHOPPY,894
15m,1,DOWN_SMOOTH,882
15m,1,DOWN_CHOPPY,569
15m,1,FLAT_SMOOTH,1959
15m,1,FLAT_CHOPPY,3573
15m,2,UP_SMOOTH,1580
15m,2,UP_CHOPPY,784
15m,2,DOWN_SMOOTH,873
15m,2,DOWN_CHOPPY,558
15m,2,FLAT_SMOOTH,1943
15m,2,FLAT_CHOPPY,3639
15m,3,UP_SMOOTH,1261
15m,3,UP_CHOPPY,741
15m,3,DOWN_SMOOTH,1081
15m,3,DOWN_CHOPPY,615
15m,3,FLAT_SMOOTH,2032
15m,3,FLAT_CHOPPY,3650
15m,4,UP_SMOOTH,1472
15m,4,UP_CHOPPY,776
15m,4,DOWN_SMOOTH,867
15m,4,DOWN_CHOPPY,586
15m,4,FLAT_SMOOTH,2009
15m,4,FLAT_CHOPPY,3669
1h,0,UP_SMOOTH,1251
1h,0,UP_CHOPPY,841
1h,0,DOWN_SMOOTH,1062
1h,0,DOWN_CHOPPY,672
1h,0,FLAT_SMOOTH,2038
1h,0,FLAT_CHOPPY,3489
1h,1,UP_SMOOTH,1630
1h,1,UP_CHOPPY,733
1h,1,DOWN_SMOOTH,901
1h,1,DOWN_CHOPPY,538
1h,1,FLAT_SMOOTH,2062
1h,1,FLAT_CHOPPY,3494
1h,2,UP_SMOOTH,1307
1h,2,UP_CHOPPY,682
1h,2,DOWN_SMOOTH,900
1h,2,DOWN_CHOPPY,626
1h,2,FLAT_SMOOTH,2087
1h,2,FLAT_CHOPPY,3747
1h,3,UP_SMOOTH,1238
1h,3,UP_CHOPPY,743
1h,3,DOWN_SMOOTH,1067
1h,3,DOWN_CHOPPY,756
1h,3,FLAT_SMOOTH,1787
1h,3,FLAT_CHOPPY,3766
