ts,price,bars_held,pnl_ticks,hwm_ticks,F_net,envelope_tol,t_half_eff,stop_level,trail_ticks,conviction,direction,wave_maturity,decay_score,z_score,velocity,exit_reason,exit_price
1772772555.6757643,25133.25,1,0.0,0.0,6.2327,38.77,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772556.7057807,25133.25,2,0.0,0.0,6.2327,37.59,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772557.7752802,25133.25,3,0.0,0.0,6.2327,36.45,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772558.8623314,25133.25,4,0.0,0.0,6.2327,35.34,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772559.9625332,25133.25,5,0.0,0.0,6.2327,34.27,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772555.0,25133.75,6,2.0,2.0,6.2327,33.24,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772561.0179024,25133.75,7,2.0,2.0,6.2327,32.25,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772562.0276873,25133.75,8,2.0,2.0,6.2327,31.28,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772563.0976193,25133.75,9,2.0,2.0,6.2327,30.35,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772564.1403873,25133.75,10,2.0,2.0,6.2327,29.46,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772565.162673,25133.75,11,2.0,2.0,6.2327,28.59,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772560.0,25132.75,12,-2.0,2.0,6.2327,27.75,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772566.1738572,25132.75,13,-2.0,2.0,6.2327,26.94,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772567.273877,25132.75,14,-2.0,2.0,6.2327,26.16,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772568.2850566,25132.75,15,-2.0,2.0,6.2327,25.41,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772569.356683,25132.75,16,-2.0,2.0,6.2327,24.68,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772570.3977187,25132.75,17,-2.0,2.0,6.2327,23.97,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772571.4522161,25132.75,18,-2.0,2.0,6.2327,23.29,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772565.0,25133.0,19,-1.0,2.0,6.2327,22.63,20.0,25124.25,30,0.589,,0.368,0,-1.436,0.0,,
1772772555.0,25133.75,20,2.0,2.0,6.5951,22.0,20.0,25124.25,30,0.589,,0.368,0,-1.017,0.5,,
1772772572.4616492,25133.75,21,2.0,2.0,6.5951,21.39,20.0,25124.25,30,0.57,,0.368,0,-1.017,0.5,,
1772772573.5063953,25133.75,22,2.0,2.0,6.5951,20.79,20.0,25124.25,30,0.57,,0.368,0,-1.017,0.5,,
1772772574.5836372,25133.75,23,2.0,2.0,6.5951,20.22,20.0,25124.25,30,0.57,,0.368,0,-1.017,0.5,,
