ts,price,bars_held,pnl_ticks,hwm_ticks,F_net,envelope_tol,t_half_eff,stop_level,trail_ticks,conviction,direction,wave_maturity,decay_score,z_score,velocity,exit_reason,exit_price
1772772724.3139496,25128.25,41,-2.0,7.0,22.8923,9.8,20.0,25125.5,20,0.515,,0.385,0,-1.806,-1.25,,
1772772725.4086964,25128.25,42,-2.0,7.0,22.8923,9.6,20.0,25125.5,20,0.515,,0.385,0,-1.806,-1.25,,
1772772720.0,25131.0,43,9.0,9.0,938.2564,9.41,20.0,25126.0,20,0.515,,0.385,0,0.219,2.75,,
1772772726.4736228,25131.0,44,9.0,9.0,938.2564,9.22,20.0,25126.0,20,0.476,,0.385,0,0.219,2.75,,
1772772727.4929388,25131.0,45,9.0,9.0,938.2564,9.05,20.0,25126.0,20,0.476,,0.385,0,0.219,2.75,,
1772772728.5014524,25131.0,46,9.0,9.0,938.2564,8.87,20.0,25126.0,20,0.476,,0.385,0,0.219,2.75,,
1772772729.5475132,25131.0,47,9.0,9.0,938.2564,8.71,20.0,25126.0,20,0.476,,0.385,0,0.219,2.75,,
1772772725.0,25129.75,48,4.0,9.0,938.2564,8.55,20.0,25126.0,20,0.476,,0.385,0,0.219,2.75,,
1772772730.5499127,25129.75,49,4.0,9.0,938.2564,8.39,20.0,25126.0,20,0.476,,0.385,0,0.219,2.75,,
1772772731.5995855,25129.75,50,4.0,9.0,938.2564,8.24,20.0,25126.0,20,0.476,,0.385,0,0.219,2.75,,
1772772732.6670802,25129.75,51,4.0,9.0,938.2564,8.1,20.0,25126.0,20,0.476,,0.385,0,0.219,2.75,,
1772772733.6689641,25129.75,52,4.0,9.0,938.2564,7.96,20.0,25126.0,20,0.476,,0.385,0,0.219,2.75,,
1772772734.765121,25129.75,53,4.0,9.0,938.2564,7.82,20.0,25126.0,20,0.476,,0.385,0,0.219,2.75,,
1772772730.0,25130.5,54,7.0,9.0,938.2564,7.69,20.0,25126.0,20,0.476,,0.385,0,0.219,2.75,,
1772772720.0,25131.0,55,9.0,9.0,-0.4281,4.86,11.4,25126.0,20,0.476,,0.385,0,0.304,0.0,,
1772772735.8001344,25131.0,56,9.0,9.0,-0.4281,4.81,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772736.8818858,25131.0,57,9.0,9.0,-0.4281,4.76,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772737.9832041,25131.0,58,9.0,9.0,-0.4281,4.71,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772739.080068,25131.0,59,9.0,9.0,-0.4281,4.67,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772740.113979,25131.0,60,9.0,9.0,-0.4281,4.63,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772741.1986547,25131.0,61,9.0,9.0,-0.4281,4.6,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772742.3001425,25131.0,62,9.0,9.0,-0.4281,4.56,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772743.3690007,25131.0,63,9.0,9.0,-0.4281,4.53,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772744.4351325,25131.0,64,9.0,9.0,-0.4281,4.5,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772735.0,25130.25,65,6.0,9.0,-0.4281,4.47,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772745.5048137,25130.25,66,6.0,9.0,-0.4281,4.44,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772740.0,25130.75,67,8.0,9.0,-0.4281,4.41,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772746.604525,25130.75,68,8.0,9.0,-0.4281,4.39,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772747.6728206,25130.75,69,8.0,9.0,-0.4281,4.37,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772748.7581255,25130.75,70,8.0,9.0,-0.4281,4.35,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772749.8595746,25130.75,71,8.0,9.0,-0.4281,4.32,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772750.9294732,25130.75,72,8.0,9.0,-0.4281,4.31,11.4,25126.0,20,0.489,,0.385,0,0.304,0.0,,
1772772745.0,25131.5,73,11.0,11.0,-0.4281,4.29,11.4,25126.5,20,0.489,,0.385,0,0.304,0.0,,
1772772735.0,25130.25,74,6.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.489,,0.385,0,0.032,-0.75,,
1772772751.938262,25130.25,75,6.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772752.9674077,25130.25,76,6.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772753.9788353,25130.25,77,6.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772755.051845,25130.25,78,6.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772756.1045387,25130.25,79,6.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
