ts,price,bars_held,pnl_ticks,hwm_ticks,F_net,envelope_tol,t_half_eff,stop_level,trail_ticks,conviction,direction,wave_maturity,decay_score,z_score,velocity,exit_reason,exit_price
1772800910.5390203,24850.25,1,0.0,0.0,2315.1514,97.57,10.0,24874.25,32,0.511,,0.437,0,2.692,8.5,,
1772800911.5561001,24850.25,2,0.0,0.0,2315.1514,91.57,10.0,24874.25,32,0.511,,0.437,0,2.692,8.5,,
1772800912.6361053,24850.25,3,0.0,0.0,2315.1514,85.98,10.0,24874.25,32,0.511,,0.437,0,2.692,8.5,,
1772800913.7293825,24850.25,4,0.0,0.0,2315.1514,80.75,10.0,24874.25,32,0.511,,0.437,0,2.692,8.5,,
1772800910.0,24852.0,5,-7.0,0.0,2315.1514,75.88,10.0,24874.25,32,0.511,,0.437,0,2.692,8.5,,
1772800914.8092115,24852.0,6,-7.0,0.0,2315.1514,71.34,10.0,24874.25,32,0.511,,0.437,0,2.692,8.5,,
1772800915.87782,24852.0,7,-7.0,0.0,2315.1514,67.09,10.0,24874.25,32,0.511,,0.437,0,2.692,8.5,,
1772800916.906068,24852.0,8,-7.0,0.0,2315.1514,63.14,10.0,24874.25,32,0.511,,0.437,0,2.692,8.5,,
1772800917.9897573,24852.0,9,-7.0,0.0,2315.1514,59.45,10.0,24874.25,32,0.511,,0.437,0,2.692,8.5,,
1772800919.068178,24852.0,10,-7.0,0.0,2315.1514,56.0,10.0,24874.25,32,0.511,,0.437,0,2.692,8.5,,
1772800915.0,24849.75,11,2.0,2.0,2315.1514,52.79,10.0,24874.25,32,0.511,,0.437,0,2.692,8.5,,
1772800905.0,24850.25,12,0.0,2.0,-103.5989,85.98,40.0,24874.25,32,0.511,,0.437,0,1.946,0.0,,
1772800920.164832,24850.25,13,0.0,2.0,-103.5989,84.64,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800921.241361,24850.25,14,0.0,2.0,-103.5989,83.32,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800922.3372636,24850.25,15,0.0,2.0,-103.5989,82.03,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800923.3944697,24850.25,16,0.0,2.0,-103.5989,80.75,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800924.4836211,24850.25,17,0.0,2.0,-103.5989,79.5,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800920.0,24850.0,18,1.0,2.0,-103.5989,78.28,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800925.574975,24850.0,19,1.0,2.0,-103.5989,77.07,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800926.653095,24850.0,20,1.0,2.0,-103.5989,75.88,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800927.7078524,24850.0,21,1.0,2.0,-103.5989,74.72,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800928.764279,24850.0,22,1.0,2.0,-103.5989,73.57,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800925.0,24859.25,23,-36.0,2.0,-103.5989,72.44,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800929.808111,24859.25,24,-36.0,2.0,-103.5989,71.34,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800930.8784904,24859.25,25,-36.0,2.0,-103.5989,70.25,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800931.881108,24859.25,26,-36.0,2.0,-103.5989,69.18,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800932.8841615,24859.25,27,-36.0,2.0,-103.5989,68.13,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800933.9635956,24859.25,28,-36.0,2.0,-103.5989,67.09,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800930.0,24856.25,29,-24.0,2.0,-103.5989,66.08,40.0,24874.25,32,0.555,,0.437,0,1.946,0.0,,
1772800920.0,24850.0,30,1.0,2.0,-20.4476,65.08,40.0,24874.25,32,0.555,,0.437,0,1.354,-0.25,,
1772800935.0578804,24850.0,31,1.0,2.0,-20.4476,64.1,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800936.0637894,24850.0,32,1.0,2.0,-20.4476,63.14,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800937.1103222,24850.0,33,1.0,2.0,-20.4476,62.19,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800938.154469,24850.0,34,1.0,2.0,-20.4476,61.26,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800939.2345,24850.0,35,1.0,2.0,-20.4476,60.34,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800935.0,24852.75,36,-10.0,2.0,-20.4476,59.45,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800940.287401,24852.75,37,-10.0,2.0,-20.4476,58.56,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800941.337773,24852.75,38,-10.0,2.0,-20.4476,57.69,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800942.3714683,24852.75,39,-10.0,2.0,-20.4476,56.84,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800943.447584,24852.75,40,-10.0,2.0,-20.4476,56.0,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800944.5387113,24852.75,41,-10.0,2.0,-20.4476,55.18,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800940.0,24852.0,42,-7.0,2.0,-20.4476,54.36,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800945.602698,24852.0,43,-7.0,2.0,-20.4476,53.57,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800946.6029105,24852.0,44,-7.0,2.0,-20.4476,52.79,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800947.6543164,24852.0,45,-7.0,2.0,-20.4476,52.02,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800948.7425299,24852.0,46,-7.0,2.0,-20.4476,51.26,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800949.7655745,24852.0,47,-7.0,2.0,-20.4476,50.52,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800945.0,24854.5,48,-17.0,2.0,-20.4476,49.79,40.0,24874.25,32,0.554,,0.437,0,1.354,-0.25,,
1772800935.0,24852.75,49,-10.0,2.0,187.4506,11.22,10.0,24874.25,32,0.554,,0.437,0,1.301,2.75,,
1772800950.811334,24852.75,50,-10.0,2.0,187.4506,11.0,10.0,24874.25,32,0.541,,0.437,0,1.301,2.75,,
1772800951.8454897,24852.75,51,-10.0,2.0,187.4506,10.8,10.0,24874.25,32,0.541,,0.437,0,1.301,2.75,,
1772800952.9306185,24852.75,52,-10.0,2.0,187.4506,10.61,10.0,24874.25,32,0.541,,0.437,0,1.301,2.75,,
1772800954.0109549,24852.75,53,-10.0,2.0,187.4506,10.44,10.0,24874.25,32,0.541,,0.437,0,1.301,2.75,,
1772800950.0,24853.25,54,-12.0,2.0,187.4506,10.27,10.0,24874.25,32,0.541,,0.437,0,1.301,2.75,envelope_breach,24853.25
