ts,price,bars_held,pnl_ticks,hwm_ticks,F_net,envelope_tol,t_half_eff,stop_level,trail_ticks,conviction,direction,wave_maturity,decay_score,z_score,velocity,exit_reason,exit_price
1772772145.580559,25133.5,1,0.0,0.0,4122.7586,46.66,5.0,25145.75,41,0.565,,0.348,0,3.393,9.0,,
1772772146.6059325,25133.5,2,0.0,0.0,4122.7586,41.14,5.0,25145.75,41,0.565,,0.348,0,3.393,9.0,,
1772772147.6404839,25133.5,3,0.0,0.0,4122.7586,36.33,5.0,25145.75,41,0.565,,0.348,0,3.393,9.0,,
1772772148.7110896,25133.5,4,0.0,0.0,4122.7586,32.14,5.0,25145.75,41,0.565,,0.348,0,3.393,9.0,,
1772772149.7669537,25133.5,5,0.0,0.0,4122.7586,28.5,5.0,25145.75,41,0.565,,0.348,0,3.393,9.0,,
1772772145.0,25136.0,6,-10.0,0.0,4122.7586,25.33,5.0,25145.75,41,0.565,,0.348,0,3.393,9.0,,
1772772135.0,25131.25,7,9.0,9.0,-709.0206,42.44,20.0,25145.75,41,0.565,,0.348,0,1.761,-2.25,,
1772772150.8068855,25131.25,8,9.0,9.0,-709.0206,41.14,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772151.859707,25131.25,9,9.0,9.0,-709.0206,39.87,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772152.9069133,25131.25,10,9.0,9.0,-709.0206,38.65,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772153.9164958,25131.25,11,9.0,9.0,-709.0206,37.47,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772155.0201364,25131.25,12,9.0,9.0,-709.0206,36.33,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772150.0,25137.25,13,-15.0,9.0,-709.0206,35.23,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772156.1142395,25137.25,14,-15.0,9.0,-709.0206,34.16,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772157.1650589,25137.25,15,-15.0,9.0,-709.0206,33.14,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772158.2665114,25137.25,16,-15.0,9.0,-709.0206,32.14,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772159.3221967,25137.25,17,-15.0,9.0,-709.0206,31.18,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772160.399929,25137.25,18,-15.0,9.0,-709.0206,30.26,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772155.0,25135.0,19,-6.0,9.0,-709.0206,29.36,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772161.4598098,25135.0,20,-6.0,9.0,-709.0206,28.5,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772162.4665332,25135.0,21,-6.0,9.0,-709.0206,27.67,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772163.5323892,25135.0,22,-6.0,9.0,-709.0206,26.86,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772164.6148763,25135.0,23,-6.0,9.0,-709.0206,26.08,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772160.0,25136.25,24,-11.0,9.0,-709.0206,25.33,20.0,25145.75,41,0.551,,0.348,0,1.761,-2.25,,
1772772150.0,25137.25,25,-15.0,9.0,540.9276,5.53,5.0,25145.75,41,0.551,,0.348,0,2.369,6.0,envelope_breach,25137.25
