entry_ts,exit_ts,gross_usd,net_usd,type
1970-01-01 00:00:01.704155213,1970-01-01 00:00:01.704155620,50.0,47.5,SHORT
1970-01-01 00:00:01.704156697,1970-01-01 00:00:01.704157633,195.0,192.5,LONG
1970-01-01 00:00:01.704158033,1970-01-01 00:00:01.704158039,-5.0,-7.5,LONG
1970-01-01 00:00:01.704158047,1970-01-01 00:00:01.704158049,0.0,-2.5,LONG
1970-01-01 00:00:01.704158121,1970-01-01 00:00:01.704158472,50.0,47.5,LONG
1970-01-01 00:00:01.704158537,1970-01-01 00:00:01.704158543,0.0,-2.5,SHORT
1970-01-01 00:00:01.704158545,1970-01-01 00:00:01.704158546,5.0,2.5,SHORT
1970-01-01 00:00:01.704158549,1970-01-01 00:00:01.704158556,-5.0,-7.5,SHORT
1970-01-01 00:00:01.704158564,1970-01-01 00:00:01.704158573,10.0,7.5,SHORT
1970-01-01 00:00:01.704158578,1970-01-01 00:00:01.704158588,-15.0,-17.5,SHORT
1970-01-01 00:00:01.704158756,1970-01-01 00:00:01.704158758,-5.0,-7.5,SHORT
1970-01-01 00:00:01.704158765,1970-01-01 00:00:01.704158768,-10.0,-12.5,SHORT
1970-01-01 00:00:01.704158776,1970-01-01 00:00:01.704158799,-10.0,-12.5,SHORT
1970-01-01 00:00:01.704158819,1970-01-01 00:00:01.704158820,5.0,2.5,SHORT
1970-01-01 00:00:01.704158826,1970-01-01 00:00:01.704158841,-10.0,-12.5,SHORT
1970-01-01 00:00:01.704158850,1970-01-01 00:00:01.704158876,0.0,-2.5,SHORT
1970-01-01 00:00:01.704158878,1970-01-01 00:00:01.704159032,30.0,27.5,SHORT
1970-01-01 00:00:01.704159201,1970-01-01 00:00:01.704159899,240.0,237.5,SHORT
1970-01-01 00:00:01.704160125,1970-01-01 00:00:01.704160446,-25.0,-27.5,SHORT
1970-01-01 00:00:01.704160768,1970-01-01 00:00:01.704160993,-50.0,-52.5,SHORT
1970-01-01 00:00:01.704160994,1970-01-01 00:00:01.704161002,-25.0,-27.5,LONG
1970-01-01 00:00:01.704161097,1970-01-01 00:00:01.704161098,0.0,-2.5,LONG
1970-01-01 00:00:01.704161122,1970-01-01 00:00:01.704161123,-10.0,-12.5,LONG
1970-01-01 00:00:01.704161129,1970-01-01 00:00:01.704161132,-5.0,-7.5,LONG
1970-01-01 00:00:01.704161147,1970-01-01 00:00:01.704161148,0.0,-2.5,LONG
1970-01-01 00:00:01.704161155,1970-01-01 00:00:01.704161162,-15.0,-17.5,LONG
1970-01-01 00:00:01.704161270,1970-01-01 00:00:01.704161280,-15.0,-17.5,LONG
1970-01-01 00:00:01.704161370,1970-01-01 00:00:01.704161387,5.0,2.5,LONG
1970-01-01 00:00:01.704161388,1970-01-01 00:00:01.704161402,-10.0,-12.5,LONG
