day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,pnl_pts,pnl_usd,r_price,atr_pts,exit_reason,extra_z_se,extra_reversion_prob,extra_entry_lambda_t,extra_entry_lambda_hat
2024_02_01,1706742060.0,SHORT,17271.5,1706742180.0,17268.25,3.25,1.5,40.0,10.0,z_se_reversal,1.5935860872268677,0.9257823824882507,-0.0532551035284996,-0.0031432067044079304
2024_02_01,1706743740.0,SHORT,17290.0,1706743745.0,17288.25,1.75,-1.5,40.0,10.0,z_15s_overshoot,1.5187938213348389,0.9328809976577759,-0.32769131660461426,-0.023946817964315414
2024_02_01,1706744880.0,LONG,17284.5,1706745000.0,17287.0,2.5,0.0,40.0,10.0,z_se_reversal,-1.6586426496505737,0.9188822507858276,7.778553485870361,0.1818864792585373
2024_02_01,1706746500.0,SHORT,17288.5,1706746635.0,17288.0,0.5,-4.0,40.0,10.0,z_15s_overshoot,1.6848074197769165,0.9158919453620911,0.7218063473701477,0.04262664541602135
2024_02_01,1706748060.0,LONG,17306.0,1706748240.0,17310.75,4.75,4.5,40.0,10.0,z_se_reversal,-1.5254813432693481,0.9322791695594788,0.44419968128204346,0.017440738156437874
2024_02_01,1706748540.0,LONG,17306.0,1706748780.0,17306.75,0.75,-3.5,40.0,10.0,z_se_reversal,-1.5930955410003662,0.9258317351341248,-0.15233062207698822,-0.010894502513110638
2024_02_01,1706751120.0,LONG,17292.5,1706751240.0,17299.25,6.75,8.5,40.0,10.0,z_se_reversal,-1.5148260593414307,0.9332351684570312,-0.6018691658973694,-0.03212359920144081
2024_02_01,1706753940.0,LONG,17311.25,1706754225.0,17313.0,1.75,-1.5,40.0,10.0,z_15s_overshoot,-1.686078429222107,0.915743350982666,1.3726152181625366,0.08072882890701294
2024_02_01,1706755440.0,LONG,17319.75,1706755455.0,17318.75,-1.0,-7.0,40.0,10.0,z_15s_overshoot,-1.6317696571350098,0.9218213558197021,0.2553330063819885,0.01263151504099369
2024_02_01,1706757480.0,LONG,17316.5,1706757540.0,17318.0,1.5,-2.0,40.0,10.0,z_se_reversal,-1.739235281944275,0.90923011302948,1.5764168500900269,0.057030316442251205
2024_02_01,1706757660.0,LONG,17315.5,1706757665.0,17315.5,0.0,-5.0,40.0,10.0,z_15s_overshoot,-1.644883155822754,0.9204033613204956,-0.6376791596412659,-0.02362251840531826
2024_02_01,1706758500.0,LONG,17307.25,1706758505.0,17307.5,0.25,-4.5,40.0,10.0,z_15s_overshoot,-1.778746247291565,0.903984546661377,0.9174792170524597,0.04485250636935234
2024_02_01,1706758680.0,LONG,17293.5,1706758800.0,17295.25,1.75,-1.5,40.0,10.0,z_15s_overshoot,-1.518481969833374,0.9329089522361755,1.195900321006775,0.055811069905757904
2024_02_01,1706760300.0,LONG,17311.5,1706760360.0,17313.75,2.25,-0.5,40.0,10.0,z_se_reversal,-1.6512664556503296,0.9197019934654236,2.7867777347564697,0.10047069936990738
2024_02_01,1706760960.0,LONG,17318.25,1706760965.0,17318.0,-0.25,-5.5,40.0,10.0,z_15s_overshoot,-1.5386574268341064,0.9310752749443054,1.4622327089309692,0.08548560738563538
2024_02_01,1706762760.0,LONG,17318.25,1706762765.0,17317.75,-0.5,-6.0,40.0,10.0,z_15s_overshoot,-1.7512996196746826,0.9076668620109558,0.8743760585784912,0.048499658703804016
2024_02_01,1706762820.0,LONG,17317.75,1706762940.0,17315.25,-2.5,-10.0,40.0,10.0,z_15s_overshoot,-1.7389378547668457,0.9092682600021362,1.742678165435791,0.0905376598238945
2024_02_01,1706765820.0,LONG,17303.25,1706765940.0,17306.0,2.75,0.5,40.0,10.0,z_se_reversal,-1.7574777603149414,0.906853437423706,2.066295623779297,0.11083277314901352
2024_02_01,1706767920.0,SHORT,17301.75,1706767995.0,17304.25,-2.5,-10.0,40.0,10.0,z_15s_overshoot,1.5412802696228027,0.9308326840400696,-1.0718927383422852,-0.07138464599847794
2024_02_01,1706768400.0,LONG,17296.75,1706768405.0,17296.5,-0.25,-5.5,40.0,10.0,z_15s_overshoot,-1.6395084857940674,0.9209882020950317,0.7416099905967712,0.0521705336868763
