day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,pnl_pts,pnl_usd,extra_z_se,exit_reason
2024_02_01,1706743080,SHORT,17288.25,1706743140,17286.0,2.25,5.365384615384615,1.8573596647751027,z_exit
2024_02_01,1706743320,LONG,17280.25,1706743560,17283.25,3.0,7.153846153846153,-1.8754773035924681,z_exit
2024_02_01,1706745420,LONG,17283.5,1706745965,17284.25,0.75,1.7884615384615383,-2.0072471434464108,z_exit
2024_02_01,1706746920,SHORT,17294.75,1706747100,17295.5,-0.75,-1.7884615384615383,1.9267468718016478,z_exit
2024_02_01,1706747220,SHORT,17302.25,1706747880,17310.75,-8.5,-20.26923076923077,2.407285790184305,z_exit
2024_02_01,1706749500,SHORT,17310.5,1706749680,17307.25,3.25,7.75,2.725603798874066,z_exit
2024_02_01,1706749800,LONG,17300.25,1706749920,17303.75,3.5,8.346153846153847,-2.1532934494767058,z_exit
2024_02_01,1706750340,LONG,17296.5,1706750640,17301.0,4.5,10.73076923076923,-1.9612921827969199,z_exit
2024_02_01,1706752020,SHORT,17302.5,1706752560,17303.75,-1.25,-2.980769230769231,2.001165234368727,z_exit
2024_02_01,1706753520,SHORT,17316.0,1706753700,17316.5,-0.5,-1.1923076923076923,2.1056392364241505,z_exit
2024_02_01,1706753880,LONG,17312.75,1706754120,17314.5,1.75,4.173076923076923,-1.859145245748921,z_exit
2024_02_01,1706755565,LONG,17317.75,1706755740,17318.0,0.25,0.5961538461538461,-1.9604856299060256,z_exit
2024_02_01,1706756460,SHORT,17318.5,1706756700,17318.5,0.0,0.0,2.227436272217859,z_exit
2024_02_01,1706757000,LONG,17320.0,1706757540,17317.5,-2.5,-5.961538461538462,-1.913784440805308,z_exit
2024_02_01,1706758560,LONG,17301.75,1706758740,17297.0,-4.75,-11.326923076923077,-2.2839998416845275,z_exit
2024_02_01,1706759460,LONG,17306.5,1706759760,17310.0,3.5,8.346153846153847,-1.863338878993937,z_exit
2024_02_01,1706760180,LONG,17311.5,1706760360,17313.5,2.0,4.769230769230769,-2.0035067317634945,z_exit
2024_02_01,1706760600,SHORT,17317.0,1706761080,17320.5,-3.5,-8.346153846153847,2.1602567848944876,z_exit
2024_02_01,1706761980,LONG,17318.5,1706762220,17319.5,1.0,2.3846153846153846,-2.0858045641653566,z_exit
2024_02_01,1706762400,SHORT,17320.75,1706763060,17319.0,1.75,4.173076923076923,1.990586289237943,z_exit
