ts,day,depth,pattern,micro_z,macro_z,gate,gate1_dist,gate3_conv,oracle_label,oracle_dir,oracle_pnl,template_id,tier,playbook,trade_direction,trade_result,trade_pnl,exit_reason,exit_signal_reason,exit_conviction,exit_wave_maturity
1735805700,2025_01,4,STRUCTURAL_DRIVE,2.25,0.0,score_loser,3.359,0.0,MEGA,LONG,286.5,1,3,,,,0.0,,,0.0,0.0
1735805700,2025_01,4,ROCHE_SNAP,2.25,0.0,traded,7.359,0.498,MEGA,LONG,286.5,1,3,Unknown,LONG,LOSS,-43.5,MAX_HOLD,aligned_fresh,0.49448413021405235,0.04664954601358677
1735812600,2025_01,5,ROCHE_SNAP,2.04,2.25,traded,7.029,0.559,MEGA,LONG,240.0,90,3,Unknown,SHORT,LOSS,-11.0,MAX_HOLD,aligned_fresh,0.5156499577044074,0.10534789776501356
1735817400,2025_01,3,STRUCTURAL_DRIVE,2.32,0.0,score_loser,3.094,0.0,MEGA,SHORT,127.0,1,3,,,,0.0,,,0.0,0.0
1735817400,2025_01,3,ROCHE_SNAP,2.32,0.0,traded,6.094,0.579,MEGA,SHORT,127.0,1,3,Unknown,SHORT,LOSS,-4.0,loss_watchdog,aligned_fresh,0.5179196100683109,0.11414509379633317
1735818300,2025_01,4,ROCHE_SNAP,2.3,0.0,score_loser,3.346,0.0,MEGA,SHORT,45.5,1,3,,,,0.0,,,0.0,0.0
1735818300,2025_01,4,STRUCTURAL_DRIVE,2.3,0.0,score_loser,3.346,0.0,MEGA,SHORT,45.5,1,3,,,,0.0,,,0.0,0.0
1735818300,2025_01,5,STRUCTURAL_DRIVE,3.0,2.3,score_loser,2.014,0.0,MEGA,SHORT,99.0,32,3,,,,0.0,,,0.0,0.0
1735818300,2025_01,6,ROCHE_SNAP,3.03,2.3,score_loser,2.137,0.0,MEGA,SHORT,98.0,640,3,,,,0.0,,,0.0,0.0
1735818300,2025_01,6,STRUCTURAL_DRIVE,3.03,2.3,score_loser,2.137,0.0,MEGA,SHORT,98.0,640,3,,,,0.0,,,0.0,0.0
1735818300,2025_01,5,ROCHE_SNAP,3.0,2.3,traded,7.014,0.517,MEGA,SHORT,99.0,32,3,Unknown,SHORT,LOSS,-10.5,loss_watchdog,aligned_fresh,0.5055498127012348,0.07156114334739126
1735818480,2025_01,6,ROCHE_SNAP,2.01,2.3,traded,8.054,0.518,MEGA,SHORT,99.5,402,3,Unknown,SHORT,LOSS,-15.5,trail_stop,aligned_fresh,0.5286937218831633,0.07156114334739126
1735818480,2025_01,6,ROCHE_SNAP,2.01,2.3,traded,8.054,0.529,MEGA,SHORT,99.5,402,3,Unknown,SHORT,WIN,8.5,trail_stop,aligned_fresh,0.5960060810602388,0.09569193674656871
1735818900,2025_01,5,STRUCTURAL_DRIVE,2.45,2.3,score_loser,1.229,0.0,MEGA,SHORT,45.5,30,3,,,,0.0,,,0.0,0.0
1735818900,2025_01,5,ROCHE_SNAP,2.45,2.3,traded,6.229,0.58,MEGA,SHORT,45.5,30,3,Unknown,SHORT,LOSS,-31.5,loss_watchdog,aligned_fresh,0.6020858102399811,0.17964474059224242
1735819200,2025_01,3,ROCHE_SNAP,2.01,0.0,traded,6.733,0.673,MEGA,SHORT,125.0,1,3,Unknown,SHORT,LOSS,-10.0,loss_watchdog,aligned_fresh,0.6135625467655446,0.21769781164040805
1735821600,2025_01,5,STRUCTURAL_DRIVE,2.25,2.3,score_loser,1.361,0.0,MEGA,SHORT,30.0,32,3,,,,0.0,,,0.0,0.0
1735821600,2025_01,7,ROCHE_SNAP,2.63,2.3,score_loser,2.251,0.0,MEGA,SHORT,14.5,8400,3,,,,0.0,,,0.0,0.0
1735821600,2025_01,7,STRUCTURAL_DRIVE,2.63,2.3,score_loser,2.251,0.0,MEGA,SHORT,14.5,8400,3,,,,0.0,,,0.0,0.0
1735821600,2025_01,5,ROCHE_SNAP,2.25,2.3,traded,6.361,0.528,MEGA,SHORT,30.0,32,3,Unknown,SHORT,WIN,101.0,trail_stop,aligned_fresh,0.489018908670726,0.2686642029171772
1735824000,2025_01,8,STRUCTURAL_DRIVE,2.32,2.3,score_loser,1.59,0.0,MEGA,SHORT,102.5,150,3,,,,0.0,,,0.0,0.0
1735824000,2025_01,8,ROCHE_SNAP,2.32,2.3,traded,9.59,0.558,MEGA,SHORT,102.5,150,3,Unknown,SHORT,WIN,19.0,MAX_HOLD,aligned_fresh,0.5151936731923489,0.1324195630757941
1735824600,2025_01,6,STRUCTURAL_DRIVE,2.16,2.3,score_loser,2.056,0.0,MEGA,SHORT,61.5,151,3,,,,0.0,,,0.0,0.0
1735824600,2025_01,6,ROCHE_SNAP,2.16,2.3,traded,8.056,0.515,MEGA,SHORT,61.5,151,3,Unknown,SHORT,LOSS,-87.5,trail_stop,aligned_fresh,0.48090037806260105,0.03841655485939674
1735825080,2025_01,7,STRUCTURAL_DRIVE,2.16,2.3,score_loser,1.612,0.0,MEGA,SHORT,35.5,122,3,,,,0.0,,,0.0,0.0
1735825080,2025_01,8,ROCHE_SNAP,2.35,2.3,score_loser,0.949,0.0,MEGA,SHORT,23.0,1200,3,,,,0.0,,,0.0,0.0
1735825080,2025_01,8,STRUCTURAL_DRIVE,2.35,2.3,score_loser,0.949,0.0,MEGA,SHORT,23.0,1200,3,,,,0.0,,,0.0,0.0
1735825080,2025_01,10,ROCHE_SNAP,2.86,2.3,score_loser,2.102,0.0,MEGA,SHORT,11.0,110,3,,,,0.0,,,0.0,0.0
1735825080,2025_01,10,STRUCTURAL_DRIVE,2.86,2.3,score_loser,2.102,0.0,MEGA,SHORT,11.0,110,3,,,,0.0,,,0.0,0.0
1735825080,2025_01,7,ROCHE_SNAP,2.16,2.3,traded,8.612,0.481,MEGA,SHORT,35.5,122,3,Unknown,SHORT,LOSS,-13.0,loss_watchdog,aligned_fresh,0.5022424335526906,0.042378176933766644
1735825500,2025_01,9,ROCHE_SNAP,2.75,2.3,score_loser,1.56,0.0,MEGA,SHORT,14.5,112,3,,,,0.0,,,0.0,0.0
1735825500,2025_01,9,STRUCTURAL_DRIVE,2.75,2.3,score_loser,1.56,0.0,MEGA,SHORT,14.5,112,3,,,,0.0,,,0.0,0.0
1735825500,2025_01,9,ROCHE_SNAP,2.06,2.3,traded,10.161,0.501,MEGA,SHORT,7.5,45000,3,Unknown,LONG,LOSS,-23.5,trail_stop,aligned_fresh,0.4882206933962196,0.042378176933766644
1735825500,2025_01,9,ROCHE_SNAP,2.75,2.3,score_loser,1.56,0.0,MEGA,SHORT,14.5,112,3,,,,0.0,,,0.0,0.0
1735825500,2025_01,9,STRUCTURAL_DRIVE,2.75,2.3,score_loser,1.56,0.0,MEGA,SHORT,14.5,112,3,,,,0.0,,,0.0,0.0
1735825500,2025_01,9,ROCHE_SNAP,2.06,2.3,traded,10.161,0.488,MEGA,SHORT,7.5,45000,3,Unknown,LONG,LOSS,-18.5,MAX_HOLD,aligned_fresh,0.5732591200380037,0.06693110571983717
1735825800,2025_01,8,STRUCTURAL_DRIVE,2.39,2.3,score_loser,1.766,0.0,MEGA,SHORT,24.5,502,3,,,,0.0,,,0.0,0.0
1735825800,2025_01,9,ROCHE_SNAP,2.12,2.3,score_loser,1.513,0.0,MEGA,SHORT,24.5,151,3,,,,0.0,,,0.0,0.0
1735825800,2025_01,9,STRUCTURAL_DRIVE,2.12,2.3,score_loser,1.513,0.0,MEGA,SHORT,24.5,151,3,,,,0.0,,,0.0,0.0
1735825800,2025_01,10,ROCHE_SNAP,2.56,2.3,score_loser,1.107,0.0,MEGA,SHORT,17.5,131,3,,,,0.0,,,0.0,0.0
1735825800,2025_01,10,STRUCTURAL_DRIVE,2.56,2.3,score_loser,1.107,0.0,MEGA,SHORT,17.5,131,3,,,,0.0,,,0.0,0.0
