
STRATEGY PERFORMANCE REPORT
ID         | Playbook                     | Tier | Trades | Win%  | Sharpe | PnL        | MaxDD      | Risk 
-------------------------------------------------------------------------------------------------------------------
1          | Unknown                      | 2    | 350    |  40.6 |   0.24 | $17294.50  | $1307.50   | 0.47
10         | Unknown                      | 2    | 121    |  44.6 |   0.44 | $14338.50  | $885.00    | 0.43
0          | Unknown                      | 3    | 251    |  36.7 |   0.11 | $4945.00   | $1541.50   | 0.51
11         | Unknown                      | 1    | 21     |  66.7 |   0.79 | $3283.50   | $241.00    | 0.24
551        | Unknown                      | 2    | 62     |  40.3 |   0.21 | $1957.50   | $432.50    | 0.48
751        | Unknown                      | 1    | 30     |  56.7 |   0.30 | $1949.50   | $316.50    | 0.34
572        | Unknown                      | 3    | 61     |  36.1 |   0.19 | $1877.00   | $390.00    | 0.43
880        | Unknown                      | 4    | 77     |  31.2 |   0.14 | $1467.50   | $792.50    | 0.53
21         | Unknown                      | 3    | 3      | 100.0 |   3.01 | $1192.50   | $0.00      | 0.00
870        | Unknown                      | 3    | 7      |  42.9 |   0.45 | $1109.00   | $72.00     | 0.25
502        | Unknown                      | 1    | 62     |  51.6 |   0.30 | $880.50    | $161.50    | 0.42
180        | Unknown                      | 3    | 4      |  25.0 |   0.31 | $642.00    | $38.00     | 0.31
710        | Unknown                      | 2    | 19     |  42.1 |   0.35 | $621.50    | $201.50    | 0.41
871        | Unknown                      | 3    | 5      |  60.0 |   0.45 | $550.50    | $183.00    | 0.32
620        | Unknown                      | 1    | 32     |  50.0 |   0.33 | $536.50    | $114.50    | 0.40
1200       | Unknown                      | 2    | 46     |  50.0 |   0.19 | $527.00    | $175.00    | 0.40
111        | Unknown                      | 4    | 42     |  31.0 |   0.07 | $498.50    | $568.50    | 0.57
5800       | Unknown                      | 3    | 36     |  36.1 |   0.16 | $478.50    | $200.50    | 0.42
1620       | Unknown                      | 2    | 18     |  66.7 |   0.35 | $461.00    | $20.00     | 0.23
550        | Unknown                      | 2    | 68     |  44.1 |   0.09 | $412.50    | $320.50    | 0.46
20         | Unknown                      | 2    | 31     |  41.9 |   0.36 | $374.50    | $40.00     | 0.32
400        | Unknown                      | 2    | 31     |  61.3 |   0.29 | $308.00    | $121.50    | 0.41
1020       | Unknown                      | 3    | 2      |  50.0 |   0.48 | $273.50    | $150.50    | 0.35
153        | Unknown                      | 2    | 60     |  41.7 |   0.17 | $262.00    | $92.00     | 0.48
571        | Unknown                      | 3    | 51     |  39.2 |   0.17 | $260.50    | $143.50    | 0.46
381        | Unknown                      | 3    | 3      |  66.7 |   0.62 | $247.00    | $0.00      | 0.20
142        | Unknown                      | 3    | 114    |  36.0 |   0.10 | $243.00    | $133.50    | 0.52
161        | Unknown                      | 2    | 37     |  59.5 |   0.10 | $237.00    | $254.50    | 0.54
8400       | Unknown                      | 2    | 10     |  90.0 |   1.17 | $232.00    | $10.00     | 0.17
481        | Unknown                      | 3    | 7      |  71.4 |   0.75 | $221.50    | $4.50      | 0.13
242        | Unknown                      | 2    | 12     |  50.0 |   0.28 | $213.50    | $23.50     | 0.26
700        | Unknown                      | 3    | 8      |  62.5 |   0.38 | $200.50    | $71.00     | 0.35
711        | Unknown                      | 3    | 3      |  33.3 |   0.40 | $172.00    | $30.50     | 0.29
452        | Unknown                      | 3    | 6      |  50.0 |   0.46 | $171.00    | $5.50      | 0.24
103        | Unknown                      | 3    | 30     |  36.7 |   0.13 | $167.00    | $108.00    | 0.45
471        | Unknown                      | 4    | 37     |  29.7 |   0.17 | $165.50    | $70.00     | 0.48
612        | Unknown                      | 3    | 10     |  40.0 |   0.22 | $165.00    | $69.50     | 0.36
164        | Unknown                      | 2    | 51     |  43.1 |   0.15 | $146.50    | $82.50     | 0.45
123        | Unknown                      | 3    | 9      |  22.2 |   0.22 | $122.50    | $117.50    | 0.51
5801       | Unknown                      | 2    | 14     |  50.0 |   0.29 | $118.50    | $40.00     | 0.37
552        | Unknown                      | 4    | 129    |  34.9 |   0.05 | $117.50    | $115.50    | 0.50
454        | Unknown                      | 2    | 16     |  56.2 |   0.31 | $113.50    | $42.00     | 0.39
500        | Unknown                      | 3    | 9      |  77.8 |   0.77 | $108.50    | $9.00      | 0.19
630        | Unknown                      | 3    | 7      |  71.4 |   0.65 | $106.50    | $11.50     | 0.21
2411       | Unknown                      | 3    | 3      | 100.0 |   1.40 | $98.50     | $0.00      | 0.00
152        | Unknown                      | 2    | 28     |  46.4 |   0.18 | $97.50     | $38.00     | 0.42
320        | Unknown                      | 3    | 1      | 100.0 |   0.00 | $96.50     | $0.00      | 0.00
81         | Unknown                      | 3    | 6      |  50.0 |   0.50 | $94.50     | $12.00     | 0.28
112        | Unknown                      | 2    | 11     |  54.5 |   0.21 | $89.00     | $55.50     | 0.44
302        | Unknown                      | 3    | 1      | 100.0 |   0.00 | $86.50     | $0.00      | 0.00
401        | Unknown                      | 3    | 5      |  40.0 |   0.27 | $85.00     | $30.00     | 0.34
4600       | Unknown                      | 3    | 4      | 100.0 |   3.69 | $84.00     | $0.00      | 0.00
641        | Unknown                      | 3    | 4      |  50.0 |   0.40 | $77.00     | $48.00     | 0.38
4112       | Unknown                      | 2    | 37     |  45.9 |   0.11 | $76.50     | $53.00     | 0.44
680        | Unknown                      | 3    | 8      |  37.5 |   0.17 | $73.00     | $108.00    | 0.45
193        | Unknown                      | 3    | 4      |  75.0 |   1.21 | $69.00     | $0.00      | 0.10
313        | Unknown                      | 3    | 2      | 100.0 |   1.26 | $68.00     | $0.00      | 0.00
530        | Unknown                      | 3    | 3      | 100.0 |   3.44 | $67.50     | $0.00      | 0.00
660        | Unknown                      | 3    | 1      | 100.0 |   0.00 | $64.00     | $0.00      | 0.00
591        | Unknown                      | 3    | 6      | 100.0 |   1.06 | $59.00     | $0.00      | 0.00
802        | Unknown                      | 3    | 5      |  40.0 |   0.35 | $50.00     | $39.00     | 0.42
482        | Unknown                      | 3    | 7      |  28.6 |   0.11 | $50.00     | $105.50    | 0.49
662        | Unknown                      | 3    | 2      | 100.0 |   5.75 | $46.00     | $0.00      | 0.00
651        | Unknown                      | 3    | 4      | 100.0 |   1.45 | $44.50     | $0.00      | 0.00
771        | Unknown                      | 3    | 5      |  20.0 |   0.25 | $44.50     | $23.50     | 0.41
851        | Unknown                      | 3    | 1      | 100.0 |   0.00 | $38.00     | $0.00      | 0.00
632        | Unknown                      | 3    | 3      | 100.0 |   1.68 | $37.50     | $0.00      | 0.00
622        | Unknown                      | 3    | 25     |  40.0 |   0.09 | $37.00     | $51.00     | 0.48
581        | Unknown                      | 3    | 1      | 100.0 |   0.00 | $36.50     | $0.00      | 0.00
30         | Unknown                      | 4    | 116    |  31.0 |   0.00 | $36.00     | $673.00    | 0.59
793        | Unknown                      | 3    | 1      | 100.0 |   0.00 | $34.50     | $0.00      | 0.00
230        | Unknown                      | 3    | 1      | 100.0 |   0.00 | $33.00     | $0.00      | 0.00
1021       | Unknown                      | 3    | 2      |  50.0 |   0.78 | $28.00     | $0.00      | 0.21
351        | Unknown                      | 3    | 8      |  62.5 |   0.24 | $27.50     | $24.00     | 0.50
160        | Unknown                      | 3    | 31     |  38.7 |   0.08 | $27.50     | $35.00     | 0.47
610        | Unknown                      | 3    | 6      |  33.3 |   0.29 | $26.50     | $9.00      | 0.34
354        | Unknown                      | 3    | 4      |  50.0 |   0.39 | $25.50     | $19.00     | 0.40
980        | Unknown                      | 3    | 2      | 100.0 |   2.50 | $25.00     | $0.00      | 0.00
371        | Unknown                      | 3    | 8      |  37.5 |   0.14 | $24.50     | $31.50     | 0.45
240        | Unknown                      | 4    | 12     |  33.3 |   0.05 | $22.50     | $56.50     | 0.46
573        | Unknown                      | 2    | 49     |  40.8 |   0.03 | $22.50     | $147.50    | 0.65
431        | Unknown                      | 3    | 2      |  50.0 |   0.10 | $22.00     | $0.00      | 0.42
914        | Unknown                      | 3    | 2      |  50.0 |   0.39 | $21.50     | $0.00      | 0.30
672        | Unknown                      | 3    | 1      | 100.0 |   0.00 | $19.50     | $0.00      | 0.00
262        | Unknown                      | 3    | 3      |  66.7 |   0.45 | $19.00     | $0.00      | 0.34
682        | Unknown                      | 3    | 6      |  16.7 |   0.11 | $19.00     | $50.00     | 0.54
561        | Unknown                      | 3    | 1      | 100.0 |   0.00 | $19.00     | $0.00      | 0.00
353        | Unknown                      | 4    | 14     |  28.6 |   0.07 | $17.50     | $36.00     | 0.47
310        | Unknown                      | 3    | 1      | 100.0 |   0.00 | $17.50     | $0.00      | 0.00
912        | Unknown                      | 3    | 4      |  25.0 |   0.36 | $16.00     | $4.50      | 0.33
4601       | Unknown                      | 3    | 1      | 100.0 |   0.00 | $15.50     | $0.00      | 0.00
931        | Unknown                      | 3    | 1      | 100.0 |   0.00 | $15.00     | $0.00      | 0.00
480        | Unknown                      | 2    | 10     |  50.0 |   0.12 | $11.50     | $8.50      | 0.45
850        | Unknown                      | 3    | 8      |  25.0 |   0.03 | $11.00     | $116.00    | 0.57
470        | Unknown                      | 2    | 15     |  46.7 |   0.02 | $10.00     | $120.00    | 0.57
621        | Unknown                      | 3    | 4      |  50.0 |   0.28 | $9.50      | $5.00      | 0.38
661        | Unknown                      | 3    | 3      |  33.3 |   0.07 | $9.00      | $52.50     | 0.54
45001      | Unknown                      | 3    | 3      |  33.3 |   0.12 | $8.00      | $15.00     | 0.44
33         | Unknown                      | 3    | 5      |  40.0 |   0.06 | $7.00      | $49.00     | 0.59
251        | Unknown                      | 3    | 1      | 100.0 |   0.00 | $7.00      | $0.00      | 0.00
1022       | Unknown                      | 3    | 2      |  50.0 |   0.32 | $6.50      | $0.00      | 0.33
4610       | Unknown                      | 3    | 2      |  50.0 |   0.30 | $6.00      | $0.00      | 0.33
331        | Unknown                      | 3    | 3      |  66.7 |   0.17 | $6.00      | $13.50     | 0.67
533        | Unknown                      | 3    | 5      |  60.0 |   0.04 | $5.00      | $60.50     | 0.76
412        | Unknown                      | 2    | 11     |  45.5 |   0.03 | $4.00      | $24.00     | 0.52
8011       | Unknown                      | 3    | 1      | 100.0 |   0.00 | $3.50      | $0.00      | 0.00
730        | Unknown                      | 3    | 5      |  20.0 |   0.02 | $3.00      | $43.50     | 0.56
891        | Unknown                      | 3    | 1      | 100.0 |   0.00 | $2.50      | $0.00      | 0.00
483        | Unknown                      | 3    | 4      |  75.0 |   0.04 | $2.00      | $19.50     | 0.88
690        | Unknown                      | 4    | 24     |  25.0 |   0.00 | $1.50      | $318.50    | 0.60
601        | Unknown                      | 3    | 1      | 100.0 |   0.00 | $1.50      | $0.00      | 0.00
804        | Unknown                      | 3    | 4      |  50.0 |   0.02 | $1.00      | $29.50     | 0.67
72         | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
5          | [24m] Singularity+Shock Trend | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
99         | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
4          | [30m] Singularity+Shock Trend | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
28         | [7s] Roche+Shock Trend       | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
104        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
360        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
361        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
362        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
363        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
364        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
311        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
312        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
314        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
510        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
511        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
343        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
250        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
231        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
232        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
560        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
562        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
563        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
430        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
390        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
391        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
392        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
393        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
523        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
441        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
442        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
443        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
220        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
221        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
222        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
223        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
603        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
