x,y,z,chord_purity,chord_signal,chord_entropy,n_cells
L2_1h_price_velocity_w,L1_4h_body,L3_4h_z_low_w,0.43670275595375696,27.45671641791045,2.034503258610641,27
L3_4h_z_high_w,L2_1D_vol_sigma_w,L3_4h_z_low_w,0.43630332130168487,23.121376811594203,1.9815731219606458,24
L2_1h_price_velocity_w,L1_4h_price_velocity_1b,L3_4h_z_low_w,0.4362292547602032,27.45671641791045,2.0340219741810825,27
L2_1h_price_velocity_w,L1_4h_body,L3_4h_z_high_w,0.4360422156706043,24.81615598885794,2.0089562551401907,27
L2_1h_price_velocity_w,L2_1D_price_velocity_w,L3_4h_z_low_w,0.4355004427694893,37.64170506912443,1.9598163755065239,27
L2_1h_price_velocity_w,L2_1D_vol_sigma_w,L3_4h_z_low_w,0.43517863822074476,23.828350515463917,1.9900010315870216,27
L2_1h_price_velocity_w,L2_1D_price_velocity_w,L3_4h_z_high_w,0.4350192174702613,28.22695035460993,1.9626525009019875,27
L2_1h_price_velocity_w,L1_4h_price_velocity_1b,L2_1D_vol_sigma_w,0.4345592852080276,24.218653648509765,2.010800317772037,27
L2_1h_price_velocity_w,L2_4h_price_velocity_w,L2_1D_vol_sigma_w,0.4336013989892965,45.736654804270465,1.9941353333850609,27
L2_1h_price_velocity_w,L3_4h_z_high_w,L2_1D_vol_sigma_w,0.43024820163354593,25.78038379530917,1.985533982822312,27
L2_4h_price_velocity_w,L2_1D_vol_sigma_w,L3_4h_z_low_w,0.4299687445173929,17.318181818181817,1.9785159523268292,27
L2_1h_price_velocity_w,L3_4h_z_se_w,L1_4h_price_velocity_1b,0.4298150956734843,17.344618055555557,2.032436891303874,27
L2_1h_price_velocity_w,L3_4h_z_se_w,L2_15m_price_velocity_w,0.42968842888834335,16.71725440806045,2.046936507368495,27
L3_4h_z_se_w,L1_4h_price_velocity_1b,L2_1D_vol_sigma_w,0.4295167155210229,11.60015608740895,2.0194840975467385,27
L3_4h_z_se_w,L1_4h_body,L2_1D_vol_sigma_w,0.42951202659465537,11.60015608740895,2.023000038047252,27
L1_4h_price_velocity_1b,L2_1D_price_velocity_w,L3_4h_z_low_w,0.4284641495727571,24.50487012987013,2.0239576668761843,27
L1_4h_body,L3_4h_z_high_w,L2_1D_vol_sigma_w,0.4276062117989415,15.227883781439722,2.0188145158417887,27
L3_4h_z_se_w,L2_4h_price_velocity_w,L2_1D_vol_sigma_w,0.4276035456352541,12.227927063339731,1.9519432102147318,27
L2_1h_price_velocity_w,L3_4h_z_se_w,L1_4h_body,0.4275901004969204,17.344618055555557,2.0362443772262404,27
L2_1h_price_velocity_w,L1_4h_price_velocity_1b,L2_4h_price_velocity_w,0.4275609051081312,15.677367205542724,2.054766017371176,27
L1_4h_price_velocity_1b,L3_4h_z_high_w,L2_1D_vol_sigma_w,0.4274800360492692,15.227883781439722,2.015200021030746,27
L2_1D_price_velocity_w,L2_15m_price_velocity_w,L2_1D_vol_sigma_w,0.4271572860780793,8.40032679738562,2.0107815173153756,27
L3_4h_z_high_w,L2_4h_price_velocity_w,L2_1D_vol_sigma_w,0.42683020451765,14.730047647409172,1.9823566567778652,27
L2_1h_price_velocity_w,L1_4h_body,L2_4h_price_velocity_w,0.426309618644524,15.677367205542724,2.062548859279618,27
L1_4h_price_velocity_1b,L3_4h_z_high_w,L2_4h_price_velocity_w,0.4261279465672449,17.277044854881268,2.1029425420242744,27
L1_4h_body,L2_1D_price_velocity_w,L3_4h_z_low_w,0.4257711541927758,24.91038812785388,2.046849946426632,27
L1_4h_body,L2_15m_price_velocity_w,L2_1D_vol_sigma_w,0.4256244711692937,10.93798828125,2.098705711291644,27
L2_1h_price_velocity_w,L1_4h_price_velocity_1b,L2_1D_price_velocity_w,0.4254345017882386,19.45275590551181,2.0425219472033227,27
L1_4h_body,L3_4h_z_high_w,L2_4h_price_velocity_w,0.42514959348164777,16.47201797385621,2.1003043472239087,27
L2_1h_price_velocity_w,L2_4h_price_velocity_w,L2_15m_price_velocity_w,0.4243921216900873,14.944997511199603,2.0843654087919257,27
L2_1h_price_velocity_w,L3_4h_z_high_w,L2_15m_price_velocity_w,0.4239435298181163,20.05105105105105,2.05313319035602,27
L2_1h_price_velocity_w,L1_4h_body,L2_1D_price_velocity_w,0.4235229784177335,16.72845417236662,2.0559826120453573,27
L3_4h_z_se_w,L2_1D_price_velocity_w,L2_1D_vol_sigma_w,0.42313345041603584,14.975160256410257,1.9592464574075328,27
L2_1D_price_velocity_w,L2_1D_vol_sigma_w,L3_4h_z_low_w,0.42279556964012494,20.14521144278607,1.9655193637655597,27
L3_4h_z_se_w,L1_4h_price_velocity_1b,L2_1D_price_velocity_w,0.4222930272137172,28.09331797235023,2.036160739037772,27
L1_4h_price_velocity_1b,L2_15m_price_velocity_w,L2_1D_vol_sigma_w,0.42217349219248357,10.708747514910536,2.1039019779360775,27
L3_4h_z_high_w,L2_4h_price_velocity_w,L2_15m_price_velocity_w,0.42208597601605147,14.942340791738381,2.1124092693181353,27
L1_4h_price_velocity_1b,L2_1D_price_velocity_w,L3_4h_z_high_w,0.42118949246396037,24.372818791946308,2.0496969570373667,27
L2_1h_price_velocity_w,L2_15m_price_velocity_w,L3_4h_z_low_w,0.4204838114748889,13.180973101265822,2.068656111057872,27
