**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

prior_day_range,prior_day_return,prior_day_close_pct,mean_range_5d,mean_range_20d,range_expansion,range_trajectory,variance_ratio_5_20,prior_dir_sign,dow,day_label,pnl_usd,n_trades
395.0,-180.5,-0.00845182227825636,358.15,334.42857142857144,1.1811191798376761,1.070931225971807,4.709527074480298,-1.0,4,2025_01_17,-23.0,18
91.5,-55.75,-0.002084274151526677,370.85,326.671875,0.2800975749748888,1.1352370019610658,6.193948656918307,-1.0,0,2025_01_20,-11.5,15
244.5,186.0,0.00866780380826393,345.65,321.8382352941176,0.759698423577793,1.0739867489147819,5.507881128222849,1.0,1,2025_01_21,-326.5,34
449.75,77.0,0.003566169703662858,326.8,328.94444444444446,1.3672521533524742,0.9934808309407195,3.3772987096398497,1.0,2,2025_01_22,-145.5,14
195.75,45.25,0.0020600487127540035,254.25,320.325,0.6110981034886444,0.7937251229220323,0.7212968655010394,1.0,4,2025_01_24,-163.0,17
329.75,160.0,0.007428558163288912,435.1,342.05,0.9640403449788042,1.2720362520099402,5.632383476237769,1.0,4,2025_01_31,-68.0,22
340.0,-167.0,-0.021231963840760315,379.7,359.875,0.9447724904480722,1.0550885724209795,5.441088992160095,-1.0,0,2025_02_03,-973.0,60
251.75,150.0,0.0068717806573810325,290.1,349.2375,0.7208561509001754,0.8306668098357135,2.9182268610410595,1.0,1,2025_02_11,176.5,16
201.75,15.5,0.0007226345189892402,257.15,354.75,0.5687103594080338,0.724876673713883,2.2615497828311977,1.0,2,2025_02_12,498.0,18
89.75,9.5,0.00040519550683204564,215.0,337.775,0.2657094219524832,0.6365183924209904,0.5185122064471415,1.0,1,2025_02_18,-204.0,19
217.0,30.25,0.0013501046331090283,180.65,341.5375,0.6353621491051494,0.5289316692896094,0.611713983030287,1.0,2,2025_02_19,42.0,18
278.75,-56.25,-0.0025205356138179313,162.25,295.825,0.9422800642271614,0.5484661539761684,0.13288507391603213,-1.0,4,2025_02_21,-437.5,26
803.25,-454.0,-0.02166318926974664,504.65,328.475,2.4453915823122,1.536342187381079,8.86906692311085,-1.0,1,2025_03_04,-572.0,84
645.75,-418.0,-0.020310111378030182,540.75,384.4,1.6798907388137359,1.4067377731529658,5.215862129580089,-1.0,4,2025_03_07,262.5,71
427.75,-317.5,-0.015993138590383982,381.1,488.2,0.8761777959852519,0.7806226956165506,4.417230725855349,-1.0,2,2025_03_19,-96.0,33
368.0,-139.25,-0.007024313962873285,363.45,485.2125,0.7584305845377026,0.74905324986475,3.2795783400031646,-1.0,4,2025_03_21,270.5,13
432.0,285.0,0.00955905026210302,411.35,466.8,0.9254498714652956,0.8812125107112254,3.7304342751957025,1.0,2,2025_04_02,580.5,45
1227.75,-763.5,-0.03887955609855431,571.35,503.9875,2.436072323222302,1.1336590689253205,7.054337267175717,-1.0,3,2025_04_03,-1095.5,86
673.75,-405.5,-0.04377725355636575,849.05,555.8875,1.212025814575791,1.527377392008275,6.8410552163407505,-1.0,0,2025_04_07,-2883.5,221
744.75,-325.75,-0.017393509804706775,568.8,834.6625,0.8922768184745331,0.6814730504844771,0.6037039724935847,-1.0,3,2025_04_17,-721.5,64
674.0,-310.75,-0.016981312366053714,485.3,847.6875,0.7951043279510432,0.5724987097249871,0.13532003062373157,-1.0,1,2025_04_22,135.5,36
852.0,758.5,0.042103509088636804,565.25,866.275,0.9835213990938213,0.6525064211711062,1.206381040938056,1.0,2,2025_04_23,-144.5,60
541.5,78.0,0.004170830834832495,524.6,874.95,0.6188925081433224,0.5995771186924967,1.003766464604405,1.0,3,2025_04_24,-209.5,40
841.0,573.25,0.03041481992621886,614.65,899.5625,0.9348989091919683,0.6832765927881609,1.2146298280841723,1.0,4,2025_04_25,-397.0,57
313.25,34.75,0.0017794505466368626,397.15,778.225,0.4025185518326962,0.5103279899771916,0.43010737552586026,1.0,2,2025_04_30,27.0,46
