**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

x_q,y_q,n,mean_fwd,win_rate,interaction,regime_2d
0,0,612,12.812091503267974,0.6454248366013072,-13.9013644447439,UP_SMOOTH
0,1,558,49.221326164874554,0.6827956989247311,11.550801869808623,UP_SMOOTH
0,2,1152,39.679904513888886,0.6484375,-0.4837856741920774,UP_SMOOTH
1,0,1008,12.97296626984127,0.6825396825396826,7.505901297436987,UP_SMOOTH
1,1,1008,16.482886904761905,0.6686507936507936,0.05875358530356678,UP_SMOOTH
1,2,312,6.647435897435898,0.592948717948718,-12.269863315037473,UP_SMOOTH
2,0,696,8.745330459770114,0.6020114942528736,5.907131466747272,UP_SMOOTH
2,1,696,10.17169540229885,0.5402298850574713,-3.623571937778051,UP_SMOOTH
2,2,936,13.332532051282051,0.6121794871794872,-2.9559011818098746,UP_SMOOTH
0,0,312,15.488782051282051,0.5993589743589743,-6.011088741443281,UP_CHOPPY
0,1,180,23.320833333333333,0.5666666666666667,5.022177200784,UP_CHOPPY
0,2,792,24.416666666666668,0.571969696969697,-1.315584987424618,UP_CHOPPY
1,0,408,10.873774509803921,0.678921568627451,4.028909576062841,UP_CHOPPY
1,1,564,7.851950354609929,0.5957446808510638,4.208300081044845,UP_CHOPPY
1,2,336,2.5736607142857144,0.47619047619047616,-8.50358508082132,UP_CHOPPY
2,0,588,7.355442176870748,0.5816326530612245,4.1849597678562285,UP_CHOPPY
2,1,432,-0.390625,0.5069444444444444,-0.3598927488385222,UP_CHOPPY
2,2,312,2.749198717948718,0.5416666666666666,-4.6536645524317555,UP_CHOPPY
0,0,360,-28.599305555555556,0.41388888888888886,0.8282837347451526,DOWN_SMOOTH
0,1,420,-34.64404761904762,0.3904761904761905,0.7884428653746767,DOWN_SMOOTH
0,2,768,-33.1650390625,0.44140625,-0.6263705904975083,DOWN_SMOOTH
1,0,624,-16.762419871794872,0.35096153846153844,-2.983470192377279,DOWN_SMOOTH
1,1,534,-24.18679775280899,0.37453183520599254,-4.402946879269809,DOWN_SMOOTH
1,2,372,-6.489247311827957,0.45698924731182794,10.40078154929142,DOWN_SMOOTH
2,0,468,-13.801816239316238,0.3995726495726496,-0.705926943142849,DOWN_SMOOTH
2,1,552,-17.76086956521739,0.35144927536231885,1.3399209250775854,DOWN_SMOOTH
2,2,564,-16.58599290780142,0.43439716312056736,-0.37902442992624685,DOWN_SMOOTH
0,0,252,-15.51388888888889,0.3968253968253968,-5.61487888281521,DOWN_CHOPPY
0,1,252,-5.308531746031746,0.48412698412698413,10.404144853222412,DOWN_CHOPPY
0,2,456,-20.35142543859649,0.35964912280701755,-0.7515960615645518,DOWN_CHOPPY
1,0,456,-2.4259868421052633,0.4824561403508772,4.115260267143016,DOWN_CHOPPY
1,1,360,-22.48472222222222,0.4638888888888889,-10.129808519793459,DOWN_CHOPPY
1,2,192,-13.8984375,0.40625,2.343628980206539,DOWN_CHOPPY
2,0,264,-11.792613636363637,0.36742424242424243,-3.0744553459762347,DOWN_CHOPPY
2,1,396,-12.267676767676768,0.4823232323232323,2.264148115891116,DOWN_CHOPPY
2,2,360,-17.388194444444444,0.39166666666666666,1.03078321690122,DOWN_CHOPPY
0,0,1092,1.8005952380952381,0.5283882783882784,0.8177800707653364,FLAT_SMOOTH
0,1,1326,-3.050339366515837,0.49547511312217196,-0.44504209456820076,FLAT_SMOOTH
0,2,684,2.154970760233918,0.554093567251462,1.0203327863900278,FLAT_SMOOTH
1,0,984,0.10721544715447154,0.516260162601626,-2.990400839620653,FLAT_SMOOTH
1,1,1536,-1.0633138020833333,0.490234375,-0.572817649580921,FLAT_SMOOTH
1,2,624,12.121794871794872,0.6105769230769231,8.872355778505758,FLAT_SMOOTH
2,0,888,1.3721846846846846,0.5472972972972973,2.1170237598035406,FLAT_SMOOTH
2,1,360,-6.40625,0.38055555555555554,-2.0732984856036065,FLAT_SMOOTH
2,2,1908,-2.6099318658280923,0.4968553459119497,-2.016915597223225,FLAT_SMOOTH
0,0,889,7.5264341957255345,0.5433070866141733,4.735222508817898,FLAT_CHOPPY
0,1,1560,3.4149038461538463,0.5455128205128205,1.374120587777711,FLAT_CHOPPY
0,2,3529,-1.0216066874468688,0.5004250495891187,-0.5142011888115849,FLAT_CHOPPY
1,0,2256,0.636968085106383,0.5478723404255319,0.733272255413485,FLAT_CHOPPY
1,1,2386,-0.4731768650461023,0.5,0.3735557337925011,FLAT_CHOPPY
1,2,1390,-6.644964028776978,0.4906474820143885,-3.2500426729269556,FLAT_CHOPPY
2,0,2664,-0.8739677177177178,0.5142642642642643,-1.1940438007885879,FLAT_CHOPPY
2,1,2116,-1.2736294896030245,0.497164461247637,-0.8432771441423932,FLAT_CHOPPY
2,2,1285,-1.1118677042801557,0.5035019455252918,1.866673398191895,FLAT_CHOPPY
