x_q,y_q,n,mean_fwd,win_rate,interaction,regime_2d
0,0,599,39.67070116861436,0.7529215358931552,9.281716223980464,UP_SMOOTH
0,1,756,16.377645502645503,0.6838624338624338,-2.412689287072645,UP_SMOOTH
0,2,949,12.772391991570073,0.6396206533192834,-1.306611697206277,UP_SMOOTH
1,0,661,15.773449319213313,0.5975794251134644,-10.164587246542514,UP_SMOOTH
1,1,1002,25.858532934131738,0.6696606786427146,11.519146523291656,UP_SMOOTH
1,2,647,2.739953632148377,0.5378670788253478,-6.888101677749906,UP_SMOOTH
2,0,984,32.02413617886179,0.6056910569105691,0.5640461378164439,UP_SMOOTH
2,1,648,6.552083333333333,0.5725308641975309,-13.309356552796274,UP_SMOOTH
2,2,732,22.263319672131146,0.6584699453551912,7.113210886943346,UP_SMOOTH
0,0,276,30.232789855072465,0.6739130434782609,8.29011170603783,UP_CHOPPY
0,1,564,5.81959219858156,0.5833333333333334,-0.8392482774528407,UP_CHOPPY
0,2,455,4.116483516483516,0.5274725274725275,-0.18392445014187508,UP_CHOPPY
1,0,384,7.6953125,0.5260416666666666,-12.57705201989748,UP_CHOPPY
1,1,384,13.552083333333334,0.6536458333333334,8.56355648643609,UP_CHOPPY
1,2,541,6.099815157116451,0.5674676524953789,3.4697208196282183,UP_CHOPPY
2,0,516,29.392926356589147,0.562015503875969,4.121921016727324,UP_CHOPPY
2,1,444,3.526463963963964,0.5,-6.460703702897629,UP_CHOPPY
2,2,360,3.9472222222222224,0.6055555555555555,-3.6815129352303573,UP_CHOPPY
0,0,660,-42.342424242424244,0.38181818181818183,2.427083564169827,DOWN_SMOOTH
0,1,360,-34.84791666666667,0.3638888888888889,-2.3755491916557787,DOWN_SMOOTH
0,2,468,-19.88888888888889,0.38247863247863245,4.82697731020011,DOWN_SMOOTH
1,0,324,-7.960648148148148,0.4537037037037037,15.0045487478524,DOWN_SMOOTH
1,1,581,-13.421256454388985,0.37005163511187605,-2.753199889971615,DOWN_SMOOTH
1,2,588,-11.965561224489797,0.3979591836734694,-9.054005935994319,DOWN_SMOOTH
2,0,408,-38.1452205882353,0.42401960784313725,-6.50434308993033,DOWN_SMOOTH
2,1,517,-19.345261121856865,0.4119922630560928,-0.001523955135077415,DOWN_SMOOTH
2,2,576,-8.6171875,0.4149305555555556,2.970048390799903,DOWN_SMOOTH
0,0,408,-1.5098039215686274,0.4730392156862745,5.128278935303005,DOWN_CHOPPY
0,1,240,-30.832291666666666,0.35,-14.94149539516089,DOWN_CHOPPY
0,2,324,-2.8333333333333335,0.5370370370370371,3.171575257013022,DOWN_CHOPPY
1,0,312,-21.450320512820515,0.3301282051282051,-5.90051390020327,DOWN_CHOPPY
1,1,373,-15.957774798927614,0.39946380697050937,8.844745228323783,DOWN_CHOPPY
1,2,324,-17.348765432098766,0.46296296296296297,-2.432133086006795,DOWN_CHOPPY
2,0,264,-13.480113636363637,0.5151515151515151,-2.6982259421599135,DOWN_CHOPPY
2,1,287,-17.125435540069688,0.43205574912891986,2.9091655687681808,DOWN_CHOPPY
2,2,456,-10.865131578947368,0.36622807017543857,-0.7164181512689218,DOWN_CHOPPY
0,0,1152,5.190104166666667,0.5911458333333334,1.4828914684373267,FLAT_SMOOTH
0,1,853,-0.14654161781946073,0.5158264947245017,-1.5852307992796706,FLAT_SMOOTH
0,2,1104,1.7463768115942029,0.5543478260869565,-0.6066007958831927,FLAT_SMOOTH
1,0,1128,-1.6283244680851063,0.499113475177305,-2.150150096476162,FLAT_SMOOTH
1,1,1176,-0.5833333333333334,0.4923469387755102,1.1633645550447413,FLAT_SMOOTH
1,2,840,0.4494047619047619,0.5142857142857142,1.2818142242656507,FLAT_SMOOTH
2,0,840,-0.7098214285714286,0.5273809523809524,0.07792370927292946,FLAT_SMOOTH
2,1,1049,-2.548379408960915,0.451858913250715,0.5078892456525739,FLAT_SMOOTH
2,2,1260,-2.3833333333333333,0.4777777777777778,-0.2413531047370303,FLAT_SMOOTH
0,0,2294,12.992044463818658,0.5501307759372276,6.46680108066831,FLAT_CHOPPY
0,1,1786,5.838465845464726,0.5604703247480403,-5.13241755967162,FLAT_CHOPPY
0,2,1885,7.461936339522547,0.560212201591512,-2.240338441952826,FLAT_CHOPPY
1,0,1296,-12.413387345679013,0.4506172839506173,-8.395684267456717,FLAT_CHOPPY
1,1,2424,2.713593234323432,0.5363036303630363,2.2856562905597304,FLAT_CHOPPY
1,2,2315,0.3531317494600432,0.5183585313174947,1.1938034293573148,FLAT_CHOPPY
2,0,2266,-13.718446601941748,0.43998234774933803,-2.4113752171388327,FLAT_CHOPPY
2,1,1934,-4.092812823164426,0.5139607032057911,2.7686185396524916,FLAT_CHOPPY
2,2,1827,-7.4507389162561575,0.47126436781609193,0.6793010702217339,FLAT_CHOPPY
