**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

x_q,y_q,n,mean_fwd,win_rate,interaction,regime_2d
0,0,534,41.14325842696629,0.700374531835206,8.074794070031437,UP_SMOOTH
0,1,672,15.515997023809524,0.6294642857142857,-13.754578848032123,UP_SMOOTH
0,2,1116,43.566756272401435,0.6505376344086021,1.3115312203749028,UP_SMOOTH
1,0,1176,14.28890306122449,0.6768707482993197,2.4668296798972253,UP_SMOOTH
1,1,648,10.774305555555555,0.6604938271604939,2.7501206593215013,UP_SMOOTH
1,2,504,15.833333333333334,0.6408730158730159,-5.175500743085619,UP_SMOOTH
2,0,576,4.180555555555555,0.5902777777777778,-5.012651846390268,UP_SMOOTH
2,1,1020,15.548529411764706,0.6264705882352941,10.153210494912093,UP_SMOOTH
2,2,732,10.079234972677595,0.5314207650273224,-8.300733124359914,UP_SMOOTH
0,0,108,28.662037037037038,0.7129629629629629,11.541711130808999,UP_CHOPPY
0,1,288,6.769965277777778,0.5208333333333334,-12.718111993597454,UP_CHOPPY
0,2,888,26.26463963963964,0.579954954954955,-2.773605371939567,UP_CHOPPY
1,0,696,5.036997126436781,0.5373563218390804,2.5716770791929937,UP_CHOPPY
1,1,444,11.70382882882883,0.6981981981981982,6.870757416437845,UP_CHOPPY
1,2,168,6.116071428571429,0.5297619047619048,-8.26716772402353,UP_CHOPPY
2,0,444,2.03490990990991,0.536036036036036,3.2439723873926845,UP_CHOPPY
2,1,564,6.588209219858156,0.5833333333333334,5.429520332193732,UP_CHOPPY
2,2,324,1.2183641975308641,0.5030864197530864,-9.49049243033753,UP_CHOPPY
0,0,84,-1.244047619047619,0.5,26.58075241505474,DOWN_SMOOTH
0,1,420,-15.441666666666666,0.4380952380952381,11.412815185617507,DOWN_SMOOTH
0,2,1044,-41.88409961685824,0.40804597701149425,0.09662554442837035,DOWN_SMOOTH
1,0,786,-17.41284987277354,0.3486005089058524,-5.236689449554287,DOWN_SMOOTH
1,1,588,-15.394557823129253,0.413265306122449,-4.188715581728188,DOWN_SMOOTH
1,2,156,-19.557692307692307,0.46153846153846156,6.7743932427111915,DOWN_SMOOTH
2,0,648,-18.869984567901234,0.36574074074074076,-7.376884527926194,DOWN_SMOOTH
2,1,492,-17.71798780487805,0.3719512195121951,-7.195205946721195,DOWN_SMOOTH
2,2,444,-10.524211711711711,0.46396396396396394,15.124813455447576,DOWN_SMOOTH
0,0,276,-7.061594202898551,0.43478260869565216,0.6675201712647674,DOWN_CHOPPY
0,1,228,-14.466008771929825,0.4473684210526316,4.686602057189123,DOWN_CHOPPY
0,2,456,-20.35142543859649,0.35964912280701755,-1.8197508234693096,DOWN_CHOPPY
1,0,456,-2.4259868421052633,0.4824561403508772,1.9453646352326595,DOWN_CHOPPY
1,1,324,-26.41358024691358,0.44135802469135804,-10.618732314620031,DOWN_CHOPPY
1,2,228,-9.671052631578947,0.4473684210526316,5.502859086722832,DOWN_CHOPPY
2,0,264,-11.792613636363637,0.36742424242424243,-5.244350977886592,DOWN_CHOPPY
2,1,420,-12.541071428571428,0.46904761904761905,5.43068768486124,DOWN_CHOPPY
2,2,336,-17.41220238095238,0.4017857142857143,-0.061379481511480094,DOWN_CHOPPY
0,0,1272,-0.08608490566037735,0.5078616352201258,0.9138107511704836,FLAT_SMOOTH
0,1,666,-1.2184684684684686,0.506006006006006,-2.148038182421338,FLAT_SMOOTH
0,2,1164,0.27190721649484534,0.5412371134020618,0.8029364842730333,FLAT_SMOOTH
1,0,1356,-1.4389749262536873,0.5221238938053098,-2.55388038886805,FLAT_SMOOTH
1,1,1344,3.6651785714285716,0.5238095238095238,0.6208077380304791,FLAT_SMOOTH
1,2,444,6.89527027027027,0.5180180180180181,5.311498418603234,FLAT_SMOOTH
2,0,444,-1.3963963963963963,0.44819819819819817,1.3311535028832222,FLAT_SMOOTH
2,1,1140,-0.6890350877192982,0.5114035087719299,0.10904944077658996,FLAT_SMOOTH
2,2,1572,-2.9656488549618323,0.5019083969465649,-0.7069653447348867,FLAT_SMOOTH
0,0,924,7.2186147186147185,0.5811688311688312,5.076773650280681,FLAT_CHOPPY
0,1,1442,3.469140083217753,0.5180305131761442,2.346124867960093,FLAT_CHOPPY
0,2,3612,-0.9024086378737541,0.5027685492801772,-1.8640233610809396,FLAT_CHOPPY
1,0,2902,-1.018263266712612,0.5368711233631978,-0.27258847783191054,FLAT_CHOPPY
1,1,1871,-4.8029128808124,0.4917156600748263,-3.0384122388553214,FLAT_CHOPPY
1,2,1259,2.392970611596505,0.5027799841143765,4.318871745604058,FLAT_CHOPPY
2,0,2197,-0.7340691852526172,0.5143377332726445,-0.4047746497498878,FLAT_CHOPPY
2,1,2559,0.01983196561156702,0.49550605705353656,1.3679523541906735,FLAT_CHOPPY
2,2,1309,-3.7356760886172653,0.5126050420168067,-2.226155207987684,FLAT_CHOPPY
