**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

x_q,y_q,n,mean_fwd,win_rate,interaction,regime_2d
0,0,600,27.107916666666668,0.6916666666666667,-1.6516340981486515,UP_SMOOTH
0,1,758,17.519129287598943,0.7282321899736148,0.35822867769936195,UP_SMOOTH
0,2,960,15.872135416666667,0.6104166666666667,3.4225659077088846,UP_SMOOTH
1,0,792,23.5479797979798,0.6679292929292929,-8.964739604219794,UP_SMOOTH
1,1,977,29.479273285568066,0.6663254861821903,8.565204038284215,UP_SMOOTH
1,2,565,11.326106194690265,0.5982300884955752,-4.876631951651781,UP_SMOOTH
2,0,852,36.13380281690141,0.5845070422535211,9.583754287757866,UP_SMOOTH
2,1,671,0.6807004470938898,0.5305514157973175,-14.270697927133906,UP_SMOOTH
2,2,803,10.65255292652553,0.638854296388543,0.412485653239532,UP_SMOOTH
0,0,348,33.305316091954026,0.5948275862068966,6.002176334522005,UP_CHOPPY
0,1,564,9.629875886524824,0.6223404255319149,-2.3894261979069675,UP_CHOPPY
0,2,396,9.154040404040405,0.5606060606060606,-0.5068291709823729,UP_CHOPPY
1,0,372,4.540994623655914,0.5295698924731183,-15.275906601666021,UP_CHOPPY
1,1,396,16.71590909090909,0.6439393939393939,12.18284553858739,UP_CHOPPY
1,2,540,4.714351851851852,0.6129629629629629,2.5397208089391636,UP_CHOPPY
2,0,456,28.917763157894736,0.6008771929824561,8.522498018199716,UP_CHOPPY
2,1,432,-4.626736111111111,0.4537037037037037,-9.738163577805897,UP_CHOPPY
2,2,420,1.0077380952380952,0.5047619047619047,-1.7452568620476818,UP_CHOPPY
0,0,804,-26.702114427860696,0.42412935323383083,5.402662250575322,DOWN_SMOOTH
0,1,444,-13.585585585585585,0.38738738738738737,6.222050761267253,DOWN_SMOOTH
0,2,228,-14.052631578947368,0.35526315789473684,-2.0014965080164213,DOWN_SMOOTH
1,0,384,-43.876953125,0.4010416666666667,-5.837324605530604,DOWN_SMOOTH
1,1,387,-38.81072351421189,0.32041343669250644,-13.06823532632567,DOWN_SMOOTH
1,2,732,-11.363046448087431,0.4453551912568306,6.622940463876894,DOWN_SMOOTH
2,0,204,-38.09436274509804,0.37745098039215685,-8.928154052641283,DOWN_SMOOTH
2,1,627,-14.82097288676236,0.4194577352472089,2.048095474111216,DOWN_SMOOTH
2,2,672,-14.561755952380953,0.3645833333333333,-5.4491888674292674,DOWN_SMOOTH
0,0,492,-7.957825203252033,0.41260162601626016,3.245682934991998,DOWN_CHOPPY
0,1,300,-31.855,0.4066666666666667,-11.398778447121817,DOWN_CHOPPY
0,2,204,-1.1262254901960784,0.5931372549019608,9.444108381522678,DOWN_CHOPPY
1,0,336,-9.538690476190476,0.47619047619047616,-0.5450216953761604,DOWN_CHOPPY
1,1,180,-12.781944444444445,0.34444444444444444,5.4644377510040165,DOWN_CHOPPY
1,2,480,-12.4890625,0.45208333333333334,-4.12856798571096,DOWN_CHOPPY
2,0,156,-24.01923076923077,0.4423076923076923,-11.084547932191557,DOWN_CHOPPY
2,1,420,-15.261309523809524,0.4119047619047619,6.926086727863838,DOWN_CHOPPY
2,2,420,-12.545238095238096,0.36428571428571427,-0.24372952472415932,DOWN_CHOPPY
0,0,1260,4.91765873015873,0.5825396825396826,-2.5998561271904164,FLAT_SMOOTH
0,1,1033,3.54622458857696,0.5343659244917716,-1.7027667520030558,FLAT_SMOOTH
0,2,840,11.809821428571428,0.5714285714285714,5.646541661974227,FLAT_SMOOTH
1,0,924,-1.9502164502164503,0.5238095238095238,-2.484239060522126,FLAT_SMOOTH
1,1,1085,-1.2059907834101382,0.535483870967742,0.5285101230533167,FLAT_SMOOTH
1,2,1115,0.9121076233183857,0.5479820627802691,1.7323201037646547,FLAT_SMOOTH
2,0,936,-0.90625,0.5010683760683761,3.715348113604195,FLAT_SMOOTH
2,1,960,-6.082291666666666,0.375,0.8078299637066593,FLAT_SMOOTH
2,2,1249,-9.315252201761409,0.44435548438751,-3.339418997405269,FLAT_SMOOTH
0,0,2615,10.630210325047802,0.5453154875717017,3.347167166140606,FLAT_CHOPPY
0,1,1802,8.05826859045505,0.5993340732519423,-3.6704145904381438,FLAT_CHOPPY
0,2,1584,10.639678030303031,0.5858585858585859,0.17960347307081115,FLAT_CHOPPY
1,0,1490,-16.665436241610738,0.42818791946308726,-10.41521852544533,FLAT_CHOPPY
1,1,2170,4.596198156682028,0.5705069124423963,6.400775850861439,FLAT_CHOPPY
1,2,2352,-3.0712159863945576,0.49489795918367346,0.0019703314458277,FLAT_CHOPPY
2,0,1751,-11.614220445459738,0.4448886350656768,-1.7038922745580845,FLAT_CHOPPY
2,1,2172,-7.092541436464089,0.4498158379373849,-1.627853287548433,FLAT_CHOPPY
2,2,2091,-3.997608799617408,0.49019607843137253,2.73568797295922,FLAT_CHOPPY
