**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,seg_idx,shape_class,cluster_id,ride_pnl_pts,resolved_as_cascade,length_min,peak_abs_z
2025_01_14,8,EXPONENTIAL_DOWN,1,50.0,False,195.0,2.794
2025_01_14,9,LINEAR_UP,0,-100.75,False,75.0,2.654
2025_01_14,10,LOGARITHMIC_DOWN,-1,37.5,False,45.0,2.371
2025_01_14,11,LINEAR_UP,-1,156.0,False,60.0,1.019
2025_01_14,12,LINEAR_DOWN,0,42.25,False,134.92,0.796
2025_01_15,1,NOISE,1,-1.25,False,30.08,1.233
2025_01_15,2,EXPONENTIAL_DOWN,1,8.5,False,209.92,3.139
2025_01_15,3,EXPONENTIAL_UP,0,12.0,False,120.0,2.846
2025_01_15,4,EXPONENTIAL_DOWN,-1,30.0,False,45.0,4.784
2025_01_15,5,NOISE,1,21.25,False,30.08,3.128
2025_01_15,6,NOISE,1,10.5,False,74.92,2.52
2025_01_15,7,EXPONENTIAL_UP,0,368.75,True,390.0,20.893
2025_01_15,8,STEP_DOWN,0,57.5,False,30.0,1.521
2025_01_15,9,EXPONENTIAL_UP,0,87.25,False,45.0,1.173
2025_01_15,10,EXPONENTIAL_DOWN,0,-29.25,False,45.0,1.538
2025_01_15,11,LINEAR_UP,0,-12.0,False,165.0,1.887
2025_01_15,12,LINEAR_DOWN,1,-41.25,False,164.92,1.488
2025_01_16,2,LINEAR_DOWN,1,17.75,True,285.0,4.363
2025_01_16,3,LINEAR_UP,0,77.25,True,225.0,4.112
2025_01_16,4,LINEAR_DOWN,0,12.0,False,150.0,2.657
2025_01_16,5,LINEAR_DOWN,1,72.5,False,315.0,3.709
2025_01_16,6,EXPONENTIAL_UP,0,2.0,False,30.0,0.728
2025_01_16,7,EXPONENTIAL_DOWN,1,46.0,False,75.0,3.248
2025_01_16,8,EXPONENTIAL_DOWN,1,108.75,False,269.92,3.795
2025_01_17,0,NOISE,0,0.0,True,420.0,8.244
2025_01_17,1,LOGARITHMIC_DOWN,1,-3.5,True,105.0,4.38
2025_01_17,2,LINEAR_UP,0,30.25,True,195.0,4.564
2025_01_17,3,STEP_DOWN,0,-23.25,False,30.0,5.029
2025_01_17,4,LINEAR_UP,0,256.0,True,285.0,10.46
2025_01_17,5,LOGARITHMIC_UP,0,3.25,False,180.0,2.7
2025_01_17,6,STEP_DOWN,0,-13.0,False,30.0,2.111
2025_01_17,7,LINEAR_DOWN,-1,31.25,False,74.92,2.98
2025_01_20,2,LINEAR_UP,-1,-6.75,False,164.92,1.837
2025_01_20,3,EXPAND_OSCILLATOR,0,-2.75,False,30.33,1.2
2025_01_20,4,LINEAR_UP,0,63.0,False,389.67,3.614
2025_01_20,5,EXPONENTIAL_UP,0,4.5,False,60.0,3.375
2025_01_20,6,EXPONENTIAL_DOWN,1,33.25,True,90.0,10.589
2025_01_20,7,LINEAR_UP,0,96.75,False,225.0,3.536
2025_01_20,8,LINEAR_DOWN,0,-23.5,False,360.0,2.539
2025_01_20,9,LINEAR_UP,0,18.25,False,44.92,2.56
2025_01_21,0,NOISE,1,0.0,True,225.0,10.965
2025_01_21,1,LOGARITHMIC_UP,0,-35.75,False,135.0,2.3
2025_01_21,2,LINEAR_DOWN,0,-25.75,False,90.0,2.457
2025_01_21,3,LINEAR_UP,0,49.25,False,270.0,3.995
2025_01_21,4,NOISE,0,28.0,False,45.0,3.179
2025_01_21,5,EXPONENTIAL_DOWN,0,-12.5,False,60.0,1.606
2025_01_21,6,LINEAR_UP,0,4.0,False,45.0,3.166
2025_01_21,7,LINEAR_DOWN,1,14.75,True,180.0,6.284
2025_01_21,8,LOGARITHMIC_UP,0,21.25,False,195.0,2.164
2025_01_21,9,EXPONENTIAL_UP,0,93.75,False,194.92,3.481
2025_01_22,1,EXPONENTIAL_UP,0,24.0,False,345.08,3.247
2025_01_22,2,LOGARITHMIC_DOWN,-1,-5.75,False,45.0,3.913
2025_01_22,3,EXPONENTIAL_DOWN,0,-2.0,False,44.92,1.634
2025_01_22,4,LINEAR_UP,0,33.5,True,210.0,4.025
2025_01_22,5,EXPONENTIAL_UP,-1,136.5,True,450.0,5.993
2025_01_22,6,LINEAR_DOWN,1,67.25,False,284.92,3.407
2025_01_23,1,LOGARITHMIC_UP,0,7.0,False,45.0,1.379
2025_01_23,2,LINEAR_DOWN,1,5.25,True,60.0,4.352
2025_01_23,3,NOISE,-1,1.0,False,30.0,1.561
2025_01_23,4,EXPONENTIAL_UP,0,1.0,False,45.33,1.68
2025_01_23,5,EXPONENTIAL_UP,0,8.25,False,104.75,2.248
2025_01_23,6,LINEAR_DOWN,1,80.5,True,344.92,4.849
2025_01_23,7,LINEAR_UP,0,19.0,False,90.0,1.695
2025_01_23,8,STEP_DOWN,-1,-2.0,False,30.0,1.822
2025_01_23,9,EXPONENTIAL_UP,0,52.25,True,330.0,4.688
2025_01_23,10,STEP_DOWN,1,6.75,False,30.0,1.398
2025_01_23,11,EXPONENTIAL_UP,0,63.75,True,269.92,7.383
2025_01_24,2,STEP_DOWN,1,4.75,False,30.0,1.1
2025_01_24,3,LINEAR_UP,0,-4.25,True,90.0,4.443
