level,parent_motif_idx,seg_idx,start_ts,end_ts,start_iso,end_iso,length_min,slope_pts_per_min,mean_sigma,sigma_rank_mid,r2adj,shape_class,shape_pearson_r,peak_abs_z,tod_start_hour_utc,net_move_pts,day,split,sequence_position,prev_seg_shape,next_seg_idx,next_seg_continued,ride_pnl_pts,fade_pnl_pts,max_mfe_ride_pts,max_mae_ride_pts,max_mfe_fade_pts,max_mae_fade_pts,time_to_max_z_min,time_to_revert_min,resolved_as_cascade,extended_60m,extended_120m
motif,-1,6,1736249400,1736253000,2025-01-07T11:30:00+00:00,2025-01-07T12:30:00+00:00,60.0,-0.1288,12.065,0.459,0.019,FLATLINE,0.0,2.944,11,-33.25,2025_01_07,IS,6,LINEAR_UP,3,False,33.25,-33.25,44.25,-0.0,0.0,-44.25,32.5,35.67,False,True,False
motif,-1,7,1736253000,1736254800,2025-01-07T12:30:00+00:00,2025-01-07T13:00:00+00:00,30.0,0.05,14.339,0.999,0.19,FLATLINE,0.0,1.352,12,12.25,2025_01_07,IS,7,FLATLINE,2,False,12.25,-12.25,31.75,-1.75,1.75,-31.75,21.33,24.0,False,False,False
motif,-1,8,1736254800,1736257500,2025-01-07T13:00:00+00:00,2025-01-07T13:45:00+00:00,45.0,-0.0708,12.642,0.061,0.06,FLATLINE,0.0,1.333,13,6.0,2025_01_07,IS,8,FLATLINE,1,False,-6.0,6.0,10.25,-15.0,15.0,-10.25,19.33,19.92,False,False,False
motif,-1,9,1736257500,1736261100,2025-01-07T13:45:00+00:00,2025-01-07T14:45:00+00:00,60.0,0.1479,15.945,0.999,0.071,FLATLINE,0.0,3.628,13,16.5,2025_01_07,IS,9,FLATLINE,0,False,16.5,-16.5,51.25,-51.5,51.5,-51.25,54.83,45.58,False,True,False
motif,-1,10,1736261100,1736294395,2025-01-07T14:45:00+00:00,2025-01-07T23:59:55+00:00,554.92,-0.6984,63.825,0.265,0.656,LOGARITHMIC_DOWN,0.985,8.393,14,-373.75,2025_01_07,IS,10,FLATLINE,-1,False,373.75,-373.75,485.25,-28.0,28.0,-485.25,352.5,,True,True,True
motif,-1,0,1736294400,1736303400,2025-01-08T00:00:00+00:00,2025-01-08T02:30:00+00:00,150.0,,4.805,0.501,0.749,NOISE,-999.0,6.537,0,29.5,2025_01_08,IS,0,NONE,19,False,0.0,-0.0,39.75,-7.25,7.25,-39.75,127.92,,True,True,True
motif,-1,1,1736303400,1736305200,2025-01-08T02:30:00+00:00,2025-01-08T03:00:00+00:00,30.0,0.0083,11.138,0.894,0.189,FLATLINE,0.0,1.24,2,-6.0,2025_01_08,IS,1,NOISE,18,False,-6.0,6.0,1.75,-22.75,22.75,-1.75,9.5,10.0,False,False,False
motif,-1,2,1736305200,1736308800,2025-01-08T03:00:00+00:00,2025-01-08T04:00:00+00:00,60.0,-0.0101,10.561,0.202,0.208,FLATLINE,0.0,2.06,3,-11.25,2025_01_08,IS,2,FLATLINE,17,False,11.25,-11.25,26.75,-4.25,4.25,-26.75,17.58,17.83,False,True,False
motif,-1,3,1736308800,1736310610,2025-01-08T04:00:00+00:00,2025-01-08T04:30:10+00:00,30.17,0.0449,10.815,0.909,0.019,FLATLINE,0.0,0.614,4,5.75,2025_01_08,IS,3,FLATLINE,16,False,5.75,-5.75,10.75,-1.0,1.0,-10.75,9.08,12.5,False,False,False
motif,-1,4,1736310610,1736314200,2025-01-08T04:30:10+00:00,2025-01-08T05:30:00+00:00,59.83,-0.1253,10.338,0.994,0.012,FLATLINE,0.0,2.324,4,-5.0,2025_01_08,IS,4,FLATLINE,15,False,5.0,-5.0,25.25,-3.0,3.0,-25.25,22.67,23.42,False,False,False
motif,-1,5,1736314200,1736318700,2025-01-08T05:30:00+00:00,2025-01-08T06:45:00+00:00,75.0,0.0825,9.565,0.594,0.035,FLATLINE,0.0,2.801,5,-2.25,2025_01_08,IS,5,FLATLINE,14,False,-2.25,2.25,25.25,-8.5,8.5,-25.25,39.75,65.17,False,True,False
motif,-1,6,1736318700,1736326800,2025-01-08T06:45:00+00:00,2025-01-08T09:00:00+00:00,135.0,-0.0975,17.099,0.931,0.28,FLATLINE,0.0,3.413,6,2.0,2025_01_08,IS,6,FLATLINE,13,True,-2.0,2.0,44.75,-13.5,13.5,-44.75,38.5,131.67,False,True,True
motif,-1,7,1736326800,1736328600,2025-01-08T09:00:00+00:00,2025-01-08T09:30:00+00:00,30.0,-0.0125,17.683,0.117,0.064,FLATLINE,0.0,1.829,9,13.0,2025_01_08,IS,7,FLATLINE,12,False,-13.0,13.0,1.75,-24.0,24.0,-1.75,10.58,12.17,False,False,False
motif,-1,8,1736328600,1736334900,2025-01-08T09:30:00+00:00,2025-01-08T11:15:00+00:00,105.0,0.2353,17.773,0.951,0.661,EXPONENTIAL_UP,0.986,1.969,9,9.75,2025_01_08,IS,8,FLATLINE,11,False,9.75,-9.75,26.0,-9.75,9.75,-26.0,88.08,91.0,False,True,False
motif,-1,9,1736334900,1736346600,2025-01-08T11:15:00+00:00,2025-01-08T14:30:00+00:00,195.0,-0.5394,51.136,0.937,-0.0,LINEAR_DOWN,0.992,8.576,11,-81.75,2025_01_08,IS,9,EXPONENTIAL_UP,10,True,81.75,-81.75,208.75,-0.0,0.0,-208.75,78.5,82.75,True,True,True
motif,-1,10,1736346600,1736349300,2025-01-08T14:30:00+00:00,2025-01-08T15:15:00+00:00,45.0,-0.0773,40.944,0.314,0.005,FLATLINE,0.0,1.986,14,-99.0,2025_01_08,IS,10,LINEAR_DOWN,9,False,99.0,-99.0,105.5,-52.0,52.0,-105.5,44.92,,False,False,False
motif,-1,11,1736349300,1736352900,2025-01-08T15:15:00+00:00,2025-01-08T16:15:00+00:00,60.0,0.2632,41.713,0.251,0.456,FLATLINE,0.0,1.776,15,89.5,2025_01_08,IS,11,FLATLINE,8,True,89.5,-89.5,113.5,-16.5,16.5,-113.5,22.83,25.33,False,True,False
motif,-1,12,1736352900,1736355600,2025-01-08T16:15:00+00:00,2025-01-08T17:00:00+00:00,45.0,0.1412,38.347,0.064,0.631,FLATLINE,0.0,2.412,16,42.5,2025_01_08,IS,12,FLATLINE,7,False,42.5,-42.5,77.25,-19.25,19.25,-77.25,28.0,28.92,False,False,False
motif,-1,13,1736355600,1736359200,2025-01-08T17:00:00+00:00,2025-01-08T18:00:00+00:00,60.0,-0.5562,53.187,1.0,0.47,FLATLINE,0.0,3.42,17,-114.0,2025_01_08,IS,13,FLATLINE,6,False,114.0,-114.0,214.25,-1.0,1.0,-214.25,31.33,38.08,False,True,False
motif,-1,14,1736359200,1736361900,2025-01-08T18:00:00+00:00,2025-01-08T18:45:00+00:00,45.0,0.4759,62.793,0.438,0.754,FLATLINE,0.0,1.512,18,106.5,2025_01_08,IS,14,FLATLINE,5,False,106.5,-106.5,136.25,-2.5,2.5,-136.25,28.33,,False,False,False
motif,-1,15,1736361900,1736363700,2025-01-08T18:45:00+00:00,2025-01-08T19:15:00+00:00,30.0,-0.1104,65.276,0.75,0.022,FLATLINE,0.0,1.081,18,-43.25,2025_01_08,IS,15,FLATLINE,4,True,43.25,-43.25,90.75,-18.5,18.5,-90.75,9.33,12.33,False,False,False
motif,-1,16,1736363700,1736366400,2025-01-08T19:15:00+00:00,2025-01-08T20:00:00+00:00,45.0,-0.0778,66.999,0.938,0.462,FLATLINE,0.0,1.619,19,10.25,2025_01_08,IS,16,FLATLINE,3,False,-10.25,10.25,11.75,-96.0,96.0,-11.75,13.08,13.25,False,False,False
motif,-1,17,1736366400,1736370900,2025-01-08T20:00:00+00:00,2025-01-08T21:15:00+00:00,75.0,0.4194,48.577,0.064,0.272,FLATLINE,0.0,1.278,20,10.5,2025_01_08,IS,17,FLATLINE,2,False,10.5,-10.5,47.0,-39.0,39.0,-47.0,61.58,62.08,False,True,False
motif,-1,18,1736370900,1736372700,2025-01-08T21:15:00+00:00,2025-01-08T21:45:00+00:00,30.0,-0.1958,29.88,0.001,0.512,FLATLINE,0.0,1.428,21,-26.0,2025_01_08,IS,18,FLATLINE,1,False,26.0,-26.0,45.0,-12.5,12.5,-45.0,23.83,26.08,False,False,False
motif,-1,19,1736372700,1736378100,2025-01-08T21:45:00+00:00,2025-01-08T23:15:00+00:00,90.0,0.0093,28.401,0.111,0.245,FLATLINE,0.0,0.982,21,10.0,2025_01_08,IS,19,FLATLINE,0,False,10.0,-10.0,16.0,-9.25,9.25,-16.0,87.83,89.5,False,True,False
motif,-1,20,1736378100,1736380790,2025-01-08T23:15:00+00:00,2025-01-08T23:59:50+00:00,44.83,-0.1399,20.308,0.044,0.605,FLATLINE,0.0,1.629,23,-21.75,2025_01_08,IS,20,FLATLINE,-1,False,21.75,-21.75,23.75,-9.5,9.5,-23.75,44.25,,False,False,False
