day,seg_idx,original_shape,absorbed_to
2025_01_01,0,NOISE,NOISE
2025_01_02,0,NOISE,NOISE
2025_01_02,1,FLATLINE,FLATLINE
2025_01_02,2,FLATLINE,FLATLINE
2025_01_02,3,FLATLINE,FLATLINE
2025_01_02,4,LINEAR_UP,LINEAR_UP
2025_01_02,5,LINEAR_DOWN,LINEAR_DOWN
2025_01_02,6,LINEAR_UP,LINEAR_UP
2025_01_03,0,NOISE,NOISE
2025_01_03,1,FLATLINE,FLATLINE
2025_01_03,2,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_03,3,FLATLINE,FLATLINE
2025_01_03,4,LINEAR_DOWN,LINEAR_DOWN
2025_01_03,5,FLATLINE,FLATLINE
2025_01_03,6,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_03,7,FLATLINE,FLATLINE
2025_01_03,8,FLATLINE,FLATLINE
2025_01_03,9,FLATLINE,FLATLINE
2025_01_03,10,FLATLINE,FLATLINE
2025_01_03,11,LINEAR_UP,LINEAR_UP
2025_01_03,12,FLATLINE,FLATLINE
2025_01_05,0,FLATLINE,FLATLINE
2025_01_06,0,NOISE,NOISE
2025_01_06,1,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_06,2,LINEAR_DOWN,LINEAR_DOWN
2025_01_06,3,FLATLINE,FLATLINE
2025_01_06,4,FLATLINE,FLATLINE
2025_01_07,0,NOISE,NOISE
2025_01_07,1,FLATLINE,FLATLINE
2025_01_07,2,FLATLINE,FLATLINE
2025_01_07,3,LINEAR_DOWN,LINEAR_DOWN
2025_01_07,4,FLATLINE,FLATLINE
2025_01_07,5,LINEAR_UP,LINEAR_UP
2025_01_07,6,FLATLINE,FLATLINE
2025_01_07,7,FLATLINE,FLATLINE
2025_01_07,8,FLATLINE,FLATLINE
2025_01_07,9,FLATLINE,FLATLINE
2025_01_07,10,LOGARITHMIC_DOWN,LOGARITHMIC_DOWN
2025_01_08,0,NOISE,NOISE
2025_01_08,1,FLATLINE,FLATLINE
2025_01_08,2,FLATLINE,FLATLINE
2025_01_08,3,FLATLINE,FLATLINE
2025_01_08,4,FLATLINE,FLATLINE
2025_01_08,5,FLATLINE,FLATLINE
2025_01_08,6,FLATLINE,FLATLINE
2025_01_08,7,FLATLINE,FLATLINE
