day,bars,fires,topk,entries,zz_confirms,R
2026_06_22,406,2771,1675,201,16,299
2026_06_23,406,3240,1949,250,8,410
2026_06_24,406,3621,2192,325,11,416
2026_06_25,406,3948,2399,343,28,318
2026_06_26,406,3553,2114,301,9,516
2026_06_29,406,2887,1754,209,11,351
2026_06_30,406,2246,1401,134,8,294
2026_07_01,406,2717,1718,230,6,472
2026_07_02,406,3468,2089,329,13,419
2026_07_03,210,827,556,23,1,178
2026_07_06,406,2399,1482,172,10,313
2026_07_07,406,2847,1726,229,7,348
2026_07_08,406,3064,1847,247,8,439
2026_07_09,406,2246,1436,140,7,309
2026_07_10,406,2361,1452,147,11,249
2026_07_13,406,2775,1680,234,14,318
2026_07_14,406,2565,1594,197,11,327
2026_07_15,406,2733,1720,231,25,187
2026_07_16,406,2754,1671,222,14,315
2026_07_17,390,3072,1880,270,9,396
