leaf_id,n_trades,actual_total,actual_avg,same_best_total,counter_best_total,optimal_total,avg_regret,total_regret,dominant_action,dominant_pct,avg_same_best_bar,avg_counter_best_bar
55,626,-1285.5,-2.053514376996805,153284.5,144703.5,248412.5,398.8785942492013,249698.0,counter_extended,50.0,168.0335463258786,168.59744408945687
101,855,1261.0,1.4748538011695906,153120.0,150787.0,239592.0,278.7497076023392,238331.0,counter_extended,47.134502923976605,157.27602339181286,161.29005847953218
237,579,1600.5,2.7642487046632125,127480.5,124804.0,204811.5,350.96891191709847,203211.0,same_extended,51.98618307426598,227.82901554404145,213.11917098445596
240,784,747.0,0.9528061224489796,113299.5,111647.0,176998.5,224.81058673469389,176251.5,counter_extended,49.234693877551024,173.43239795918367,177.82780612244898
230,304,-427.0,-1.4046052631578947,87887.5,95523.5,167372.0,551.9703947368421,167799.0,counter_extended,51.973684210526315,193.27302631578948,192.53618421052633
37,385,-35.5,-0.09220779220779221,70298.0,98774.0,148131.0,384.84805194805193,148166.5,counter_extended,58.96103896103896,170.06233766233765,184.1038961038961
248,361,-2390.5,-6.621883656509695,80978.5,77312.5,134269.5,378.5595567867036,136660.0,counter_extended,50.96952908587258,135.37673130193906,133.4847645429363
9,193,1189.0,6.160621761658031,72854.5,72221.5,127915.0,656.6113989637306,126726.0,counter_extended,51.813471502590666,156.54922279792746,165.74093264248705
82,190,506.0,2.663157894736842,59470.5,60269.0,104954.5,549.728947368421,104448.5,counter_extended,50.0,194.58947368421053,208.20526315789473
26,272,-1021.5,-3.755514705882353,64570.0,66903.0,102148.5,379.3014705882353,103170.0,counter_extended,51.470588235294116,185.41544117647058,166.6764705882353
110,320,8.0,0.025,64695.0,57086.0,100040.5,312.6015625,100032.5,counter_extended,48.125,147.0875,134.996875
85,126,275.0,2.1825396825396823,57593.0,61105.0,94050.5,744.25,93775.5,counter_extended,53.17460317460318,197.5952380952381,196.53174603174602
98,538,345.0,0.6412639405204461,52608.0,50894.5,81915.0,151.6171003717472,81570.0,same_extended,50.92936802973978,216.63940520446096,214.44237918215615
105,278,442.5,1.591726618705036,55645.0,49767.5,81151.5,290.3201438848921,80709.0,same_extended,53.597122302158276,216.08273381294964,200.31294964028777
97,401,242.0,0.6034912718204489,50528.5,49205.0,80360.5,199.79675810473816,80118.5,same_extended,53.36658354114713,233.8428927680798,225.76807980049875
215,374,368.0,0.983957219251337,45931.0,43627.5,73177.0,194.6764705882353,72809.0,counter_extended,45.72192513368984,161.25935828877004,154.9090909090909
15,127,33.0,0.25984251968503935,40043.0,40136.0,67678.5,532.6417322834645,67645.5,counter_extended,49.60629921259843,175.07874015748033,183.41732283464566
120,147,-760.0,-5.170068027210885,38497.0,40268.5,62673.5,431.5204081632653,63433.5,counter_extended,48.97959183673469,162.41496598639455,152.77551020408163
27,260,11.5,0.04423076923076923,39860.0,40177.5,60504.0,232.66346153846155,60492.5,counter_extended,46.15384615384615,165.6769230769231,163.80769230769232
39,90,-189.0,-2.1,29419.0,31899.5,57693.0,643.1333333333333,57882.0,counter_extended,55.55555555555556,147.42222222222222,166.65555555555557
51,177,810.0,4.576271186440678,25469.5,46183.5,56492.0,314.5875706214689,55682.0,counter_extended,64.97175141242938,162.90395480225988,233.49717514124293
141,100,-927.5,-9.275,39160.5,29874.5,53471.5,543.99,54399.0,same_extended,60.0,262.36,171.87
102,228,236.0,1.0350877192982457,32002.5,30915.0,51512.0,224.89473684210526,51276.0,counter_extended,46.05263157894737,145.62280701754386,141.9780701754386
54,180,367.5,2.0416666666666665,31135.0,23623.5,45119.5,248.62222222222223,44752.0,same_extended,55.55555555555556,242.2,216.23888888888888
112,89,-949.0,-10.662921348314606,27380.0,23560.0,40894.0,470.14606741573033,41843.0,same_extended,53.93258426966292,222.64044943820224,201.41573033707866
95,211,-78.5,-0.37203791469194314,25601.0,25634.0,41761.0,198.29146919431278,41839.5,counter_extended,51.18483412322274,209.11848341232226,210.0568720379147
183,175,-172.5,-0.9857142857142858,24747.0,28113.5,40967.5,235.0857142857143,41140.0,counter_extended,52.0,145.2,151.05142857142857
160,146,-125.0,-0.8561643835616438,28003.5,24040.0,38992.0,267.9246575342466,39117.0,counter_extended,47.94520547945205,234.1095890410959,181.52739726027397
231,113,19.0,0.168141592920354,20837.5,21814.5,36917.5,326.5353982300885,36898.5,counter_extended,46.902654867256636,154.97345132743362,160.1946902654867
24,82,288.5,3.518292682926829,25008.5,23045.5,36945.5,447.0365853658537,36657.0,counter_extended,51.21951219512195,267.5731707317073,225.35365853658536
