split,tf,anchor,side,k_sigma,total_entries,days_active,split_days,frac_days_active,mean_per_day,median_per_day,max_per_day,q90_per_day
IS,1m,close,above,1.0,75571,277,277,1.0,272.82,319.0,471,372.8
IS,1m,close,above,2.0,43139,277,277,1.0,155.74,181.0,259,222.0
IS,1m,close,above,3.0,11099,268,277,0.968,40.07,45.0,86,61.0
IS,1m,close,below,1.0,74602,277,277,1.0,269.32,311.0,462,370.4
IS,1m,close,below,2.0,44355,276,277,0.996,160.13,184.0,263,228.4
IS,1m,close,below,3.0,13651,268,277,0.968,49.28,54.0,105,76.0
IS,1m,high,above,1.0,58525,277,277,1.0,211.28,244.0,342,293.4
IS,1m,high,above,2.0,24024,273,277,0.986,86.73,98.0,153,125.0
IS,1m,high,above,3.0,5858,260,277,0.939,21.15,24.0,46,33.0
IS,1m,high,below,1.0,72808,277,277,1.0,262.84,304.0,430,354.4
IS,1m,high,below,2.0,66882,277,277,1.0,241.45,280.0,388,327.4
IS,1m,high,below,3.0,37579,275,277,0.993,135.66,156.0,236,194.0
IS,1m,low,above,1.0,73923,277,277,1.0,266.87,311.0,430,368.0
IS,1m,low,above,2.0,66454,277,277,1.0,239.91,277.0,419,332.4
IS,1m,low,above,3.0,32378,274,277,0.989,116.89,130.0,206,170.0
IS,1m,low,below,1.0,54796,276,277,0.996,197.82,223.0,331,278.0
IS,1m,low,below,2.0,23986,270,277,0.975,86.59,99.0,161,125.0
IS,1m,low,below,3.0,6779,261,277,0.942,24.47,27.0,49,40.0
IS,5m,close,above,1.0,43386,274,277,0.989,156.63,174.0,302,234.4
IS,5m,close,above,2.0,23408,268,277,0.968,84.51,93.0,191,132.8
IS,5m,close,above,3.0,6822,257,277,0.928,24.63,25.0,70,40.400000000000006
IS,5m,close,below,1.0,41708,273,277,0.986,150.57,168.0,319,215.4
IS,5m,close,below,2.0,24727,267,277,0.964,89.27,99.0,192,137.4
IS,5m,close,below,3.0,8227,254,277,0.917,29.7,32.0,69,50.0
IS,5m,high,above,1.0,29999,263,277,0.949,108.3,122.0,224,168.0
IS,5m,high,above,2.0,12271,256,277,0.924,44.3,49.0,115,71.0
IS,5m,high,above,3.0,3732,245,277,0.884,13.47,13.0,44,25.400000000000006
IS,5m,high,below,1.0,40193,277,277,1.0,145.1,165.0,273,206.0
IS,5m,high,below,2.0,37859,269,277,0.971,136.68,152.0,267,202.20000000000002
IS,5m,high,below,3.0,24102,258,277,0.931,87.01,96.0,183,134.0
IS,5m,low,above,1.0,41558,277,277,1.0,150.03,169.0,270,215.4
IS,5m,low,above,2.0,37582,275,277,0.993,135.68,153.0,278,201.8
IS,5m,low,above,3.0,21642,269,277,0.971,78.13,87.0,161,123.0
IS,5m,low,below,1.0,27170,260,277,0.939,98.09,109.0,268,152.4
IS,5m,low,below,2.0,11745,251,277,0.906,42.4,44.0,99,71.0
IS,5m,low,below,3.0,3956,243,277,0.877,14.28,15.0,41,26.0
IS,15m,close,above,1.0,22901,268,277,0.968,82.68,86.0,182,141.4
IS,15m,close,above,2.0,11743,262,277,0.946,42.39,42.0,140,77.0
IS,15m,close,above,3.0,3597,241,277,0.87,12.99,11.0,56,28.0
IS,15m,close,below,1.0,20274,258,277,0.931,73.19,76.0,204,124.0
IS,15m,close,below,2.0,11888,251,277,0.906,42.92,43.0,129,78.0
IS,15m,close,below,3.0,4533,243,277,0.877,16.36,15.0,60,31.400000000000006
IS,15m,high,above,1.0,16336,248,277,0.895,58.97,59.0,152,110.4
IS,15m,high,above,2.0,6464,246,277,0.888,23.34,22.0,84,44.0
IS,15m,high,above,3.0,2049,217,277,0.783,7.4,6.0,36,17.0
IS,15m,high,below,1.0,20577,270,277,0.975,74.29,81.0,149,120.0
IS,15m,high,below,2.0,17585,262,277,0.946,63.48,63.0,162,116.0
IS,15m,high,below,3.0,11091,250,277,0.903,40.04,40.0,137,72.80000000000001
IS,15m,low,above,1.0,21260,276,277,0.996,76.75,83.0,166,127.4
IS,15m,low,above,2.0,18648,269,277,0.971,67.32,69.0,168,118.0
IS,15m,low,above,3.0,9745,258,277,0.931,35.18,34.0,102,66.4
IS,15m,low,below,1.0,13301,248,277,0.895,48.02,49.0,173,88.0
IS,15m,low,below,2.0,6060,242,277,0.874,21.88,21.0,92,42.0
IS,15m,low,below,3.0,2150,227,277,0.819,7.76,6.0,39,17.0
IS,1h,close,above,1.0,12411,228,277,0.823,44.81,45.0,148,88.4
IS,1h,close,above,2.0,8011,211,277,0.762,28.92,22.0,113,68.4
IS,1h,close,above,3.0,3110,170,277,0.614,11.23,6.0,71,30.0
IS,1h,close,below,1.0,11527,227,277,0.819,41.61,39.0,169,82.4
IS,1h,close,below,2.0,7222,217,277,0.783,26.07,22.0,119,61.400000000000006
IS,1h,close,below,3.0,3515,197,277,0.711,12.69,8.0,78,31.0
IS,1h,high,above,1.0,9404,218,277,0.787,33.95,29.0,139,78.4
IS,1h,high,above,2.0,4408,196,277,0.708,15.91,10.0,73,43.400000000000006
IS,1h,high,above,3.0,1621,153,277,0.552,5.85,2.0,52,18.0
IS,1h,high,below,1.0,10172,231,277,0.834,36.72,34.0,127,76.4
IS,1h,high,below,2.0,9953,224,277,0.809,35.93,35.0,118,76.4
IS,1h,high,below,3.0,7762,212,277,0.765,28.02,23.0,147,62.400000000000006
IS,1h,low,above,1.0,10711,231,277,0.834,38.67,37.0,143,79.0
IS,1h,low,above,2.0,10094,226,277,0.816,36.44,33.0,135,78.4
IS,1h,low,above,3.0,6713,211,277,0.762,24.23,18.0,120,64.0
IS,1h,low,below,1.0,6978,208,277,0.751,25.19,21.0,113,59.0
IS,1h,low,below,2.0,3910,188,277,0.679,14.12,10.0,83,37.0
IS,1h,low,below,3.0,1810,158,277,0.57,6.53,2.0,64,19.0
OOS,1m,close,above,1.0,18820,67,68,0.985,276.76,325.5,430,377.8
OOS,1m,close,above,2.0,10308,67,68,0.985,151.59,177.0,257,218.0
OOS,1m,close,above,3.0,2684,63,68,0.926,39.47,43.0,84,59.300000000000004
OOS,1m,close,below,1.0,19065,68,68,1.0,280.37,331.0,429,387.3
OOS,1m,close,below,2.0,11172,68,68,1.0,164.29,192.5,271,234.3
OOS,1m,close,below,3.0,3126,64,68,0.941,45.97,52.0,83,68.0
OOS,1m,high,above,1.0,13989,67,68,0.985,205.72,245.0,334,279.5
OOS,1m,high,above,2.0,5721,65,68,0.956,84.13,99.5,154,120.0
OOS,1m,high,above,3.0,1439,58,68,0.853,21.16,23.5,40,34.0
OOS,1m,high,below,1.0,18567,68,68,1.0,273.04,327.5,416,372.3
OOS,1m,high,below,2.0,17642,68,68,1.0,259.44,307.0,430,358.3
OOS,1m,high,below,3.0,9528,68,68,1.0,140.12,163.5,236,198.60000000000002
OOS,1m,low,above,1.0,18356,67,68,0.985,269.94,315.5,450,376.3
OOS,1m,low,above,2.0,16292,67,68,0.985,239.59,281.0,385,331.6
OOS,1m,low,above,3.0,8186,67,68,0.985,120.38,136.0,213,175.3
OOS,1m,low,below,1.0,14579,68,68,1.0,214.4,247.5,388,306.6
OOS,1m,low,below,2.0,6205,67,68,0.985,91.25,108.5,153,128.0
OOS,1m,low,below,3.0,1488,63,68,0.926,21.88,24.0,46,37.0
OOS,5m,close,above,1.0,11118,68,68,1.0,163.5,189.0,280,233.60000000000002
OOS,5m,close,above,2.0,5722,65,68,0.956,84.15,89.5,159,129.00000000000006
OOS,5m,close,above,3.0,1648,61,68,0.897,24.24,25.5,66,42.300000000000004
OOS,5m,close,below,1.0,11039,66,68,0.971,162.34,183.0,292,232.0
OOS,5m,close,below,2.0,6393,64,68,0.941,94.01,106.0,209,140.60000000000002
OOS,5m,close,below,3.0,2012,60,68,0.882,29.59,32.5,74,48.0
OOS,5m,high,above,1.0,7102,66,68,0.971,104.44,120.0,190,157.30000000000004
OOS,5m,high,above,2.0,2964,61,68,0.897,43.59,47.0,94,69.30000000000001
OOS,5m,high,above,3.0,915,58,68,0.853,13.46,14.0,36,24.0
OOS,5m,high,below,1.0,10153,68,68,1.0,149.31,175.0,245,209.3
OOS,5m,high,below,2.0,9897,66,68,0.971,145.54,168.5,266,207.0
