day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,pnl_pts,pnl_usd,r_price,atr_pts,exit_reason,extra_z_se,extra_reversion_prob,extra_entry_lambda_t,extra_entry_lambda_hat
2026_03_19,1773957659.0,LONG,24650.5,1773957839.0,24624.0,-26.5,-58.0,26.0,6.5,z_se_reversal,,,,
2026_03_19,1773958139.0,SHORT,24615.75,1773958144.0,24615.0,0.75,-3.5,26.0,6.5,z_15s_overshoot,1.5655242204666138,0.9285432696342468,0.0,
2026_03_19,1773958199.0,SHORT,24619.75,1773958424.0,24620.5,-0.75,-6.5,26.0,6.5,z_15s_overshoot,1.6994143724441528,0.9141644239425659,0.0,
2026_03_19,1773958979.0,SHORT,24639.5,1773959099.0,24635.75,3.75,2.5,26.0,6.5,z_se_reversal,1.5389596223831177,0.9310473799705505,0.1966443955898285,0.01302826777100563
2026_03_19,1773960719.0,LONG,24627.5,1773960779.0,24630.5,3.0,1.0,26.0,6.5,z_se_reversal,-1.5597549676895142,0.9290959239006042,0.23536264896392822,0.017087221145629883
2026_03_19,1773960839.0,SHORT,24628.5,1773961124.0,24633.5,-5.0,-15.0,26.0,6.5,z_15s_overshoot,1.5804417133331299,0.9270908832550049,1.1746019124984741,0.0727570503950119
2026_03_19,1773962639.0,LONG,24612.25,1773962879.0,24617.5,5.25,5.5,26.0,6.5,z_se_reversal,-1.5099998712539673,0.9336631298065186,-1.5339107513427734,-0.11104733496904373
2026_03_19,1773962939.0,SHORT,24619.5,1773963059.0,24624.0,-4.5,-14.0,26.0,6.5,z_15s_overshoot,1.658090353012085,0.9189440011978149,2.5455169677734375,0.1581461876630783
2026_03_19,1773964139.0,SHORT,24618.25,1773964229.0,24618.5,-0.25,-5.5,26.0,6.5,z_15s_overshoot,1.5841152667999268,0.9267279505729675,1.9385643005371094,0.08639445900917053
2026_03_19,1773964379.0,LONG,24609.5,1773964544.0,24619.5,10.0,15.0,26.0,6.5,z_15s_overshoot,-1.6114357709884644,0.9239611029624939,0.22979217767715454,0.012864994816482067
2026_03_19,1773965159.0,LONG,24595.0,1773965279.0,24604.0,9.0,13.0,26.0,6.5,z_15s_overshoot,-1.6425557136535645,0.9206572771072388,1.8104753494262695,0.08479268103837967
2026_03_19,1773965999.0,LONG,24628.75,1773966059.0,24616.5,-12.25,-29.5,26.0,6.5,z_15s_overshoot,-1.6773972511291504,0.9167521595954895,0.5036081075668335,0.024608179926872253
2026_03_19,1773966119.0,LONG,24617.25,1773966194.0,24601.25,-16.0,-37.0,26.0,6.5,z_15s_overshoot,-1.7202494144439697,0.9116249084472656,0.346468985080719,0.014802191406488419
2026_03_19,1773966239.0,LONG,24596.75,1773966419.0,24599.5,2.75,0.5,26.0,6.5,z_15s_overshoot,-1.601163387298584,0.9250156283378601,1.9029004573822021,0.06753228604793549
2026_03_19,1773966719.0,SHORT,24592.0,1773966839.0,24588.75,3.25,1.5,26.0,6.5,z_15s_overshoot,1.6903791427612305,0.9152380228042603,-0.9370601773262024,-0.06070011109113693
2026_03_19,1773967199.0,SHORT,24598.75,1773967229.0,24602.0,-3.25,-11.5,26.0,6.5,z_15s_overshoot,1.781360149383545,0.903624415397644,1.5735011100769043,0.07710088789463043
2026_03_19,1773967259.0,SHORT,24605.0,1773967264.0,24603.25,1.75,-1.5,26.0,6.5,z_15s_overshoot,1.724905014038086,0.9110448956489563,0.8594611883163452,0.025442758575081825
2026_03_19,1773968759.0,SHORT,24627.25,1773968774.0,24626.75,0.5,-4.0,26.0,6.5,z_15s_overshoot,1.6058783531188965,0.9245337247848511,2.6798434257507324,0.0982094332575798
2026_03_19,1773969119.0,LONG,24618.0,1773969134.0,24620.75,2.75,0.5,26.0,6.5,z_15s_overshoot,-1.576417088508606,0.9274860620498657,-0.21704214811325073,-0.009255494922399521
2026_03_19,1773969599.0,LONG,24614.25,1773969659.0,24607.25,-7.0,-19.0,26.0,6.5,z_15s_overshoot,-1.7285577058792114,0.9105865955352783,0.8388170003890991,0.05096609890460968
2026_03_19,1773969779.0,LONG,24602.0,1773969899.0,24605.25,3.25,1.5,26.0,6.5,z_se_reversal,-1.6420631408691406,0.9207108616828918,-0.1380411833524704,-0.010171924717724323
2026_03_19,1773970139.0,SHORT,24613.75,1773970244.0,24625.5,-11.75,-28.5,26.0,6.5,z_15s_overshoot,1.5764938592910767,0.927478551864624,0.2105373591184616,0.014890419319272041
2026_03_19,1773970319.0,SHORT,24623.75,1773970424.0,24632.0,-8.25,-21.5,26.0,6.5,z_15s_overshoot,1.6708950996398926,0.9174982309341431,2.5442352294921875,0.13375698029994965
2026_03_19,1773971579.0,LONG,24638.25,1773971654.0,24632.25,-6.0,-17.0,26.0,6.5,z_15s_overshoot,-1.5010792016983032,0.9344460368156433,0.6622648239135742,0.026606228202581406
2026_03_19,1773971759.0,LONG,24619.5,1773971774.0,24621.0,1.5,-2.0,26.0,6.5,z_15s_overshoot,-1.7526440620422363,0.907490611076355,2.873136043548584,0.08136152476072311
2026_03_19,1773971819.0,LONG,24614.25,1773971834.0,24613.25,-1.0,-7.0,26.0,6.5,z_15s_overshoot,-1.7800861597061157,0.9038001298904419,3.9343512058258057,0.09965446591377258
2026_03_19,1773971879.0,LONG,24609.75,1773971999.0,24617.5,7.75,10.5,26.0,6.5,z_se_reversal,-1.5170559883117676,0.9330363869667053,3.3219799995422363,0.08749425411224365
