day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,gross_usd,net_usd,mfe_usd,mae_usd
2024_01_02,1704150437,LONG,0.9633912037037037,1704153600,0.0,-19.267824074074074,-21.767824074074074,0.7319444444444456,-19.267824074074074
2024_01_02,1704153601,SHORT,1.1574074074074073e-05,1704153634,0.0003935185185185185,-0.0076388888888888895,-2.5076388888888888,0.0,-0.0076388888888888895
2024_01_02,1704154577,LONG,0.011307870370370371,1704232799,0.9166550925925926,18.106944444444444,15.606944444444444,18.106712962962963,0.0
2024_01_03,1704236890,LONG,0.9640046296296296,1704240000,0.0,-19.28009259259259,-21.78009259259259,0.7185185185185183,-19.28009259259259
2024_01_03,1704240001,SHORT,1.1574074074074073e-05,1704240022,0.0002546296296296296,-0.00486111111111111,-2.504861111111111,0.0,-0.00486111111111111
2024_01_03,1704240903,LONG,0.010451388888888889,1704319199,0.9166550925925926,18.124074074074073,15.624074074074073,18.123842592592595,0.0
2024_01_04,1704323111,LONG,0.9619328703703703,1704326400,0.0,-19.238657407407405,-21.738657407407405,0.7608796296296294,-19.238657407407405
2024_01_04,1704326401,SHORT,1.1574074074074073e-05,1704326417,0.00019675925925925926,-0.0037037037037037034,-2.5037037037037035,0.0,-0.0037037037037037034
2024_01_04,1704326868,LONG,0.005416666666666667,1704405598,0.9166435185185186,18.224537037037038,15.724537037037038,18.224305555555556,0.0
2024_01_05,1704409625,LONG,0.9632523148148148,1704412800,0.0,-19.265046296296294,-21.765046296296294,0.7347222222222238,-19.265046296296294
2024_01_05,1704412801,SHORT,1.1574074074074073e-05,1704412820,0.0002314814814814815,-0.004398148148148148,-2.504398148148148,0.0,-0.004398148148148148
2024_01_05,1704413338,LONG,0.0062268518518518515,1704491999,0.9166550925925926,18.208564814814814,15.708564814814814,18.208333333333332,0.0
2024_01_08,1704668698,LONG,0.9617824074074074,1704672000,0.0,-19.235648148148147,-21.735648148148147,0.7638888888888884,-19.235648148148147
2024_01_08,1704672001,SHORT,1.1574074074074073e-05,1704672021,0.00024305555555555555,-0.004629629629629629,-2.5046296296296298,0.0,-0.004629629629629629
2024_01_08,1704672582,LONG,0.006736111111111111,1704751199,0.9166550925925926,18.198379629629628,15.698379629629628,18.19814814814815,0.0
2024_01_09,1704755148,LONG,0.9623611111111111,1704758400,0.0,-19.247222222222224,-21.747222222222224,0.752314814814814,-19.247222222222224
2024_01_09,1704758401,SHORT,1.1574074074074073e-05,1704758436,0.0004166666666666667,-0.008101851851851853,-2.5081018518518516,0.0,-0.008101851851851853
2024_01_09,1704758940,LONG,0.00625,1704837599,0.9166550925925926,18.20810185185185,15.70810185185185,18.207870370370372,0.0
2024_01_10,1704841624,LONG,0.9632407407407407,1704844800,0.0,-19.264814814814816,-21.764814814814816,0.7349537037037046,-19.264814814814816
2024_01_10,1704844801,SHORT,1.1574074074074073e-05,1704844823,0.0002662037037037037,-0.005092592592592593,-2.5050925925925926,0.0,-0.005092592592592593
2024_01_10,1704845200,LONG,0.004629629629629629,1704923999,0.9166550925925926,18.24050925925926,15.740509259259259,18.240277777777777,0.0
2024_01_11,1704927974,LONG,0.962662037037037,1704931200,0.0,-19.25324074074074,-21.75324074074074,0.746296296296296,-19.25324074074074
2024_01_11,1704931201,SHORT,1.1574074074074073e-05,1704931230,0.00034722222222222224,-0.006712962962962964,-2.506712962962963,0.0,-0.006712962962962964
2024_01_11,1704931775,LONG,0.006655092592592593,1705010398,0.9166435185185186,18.19976851851852,15.699768518518521,18.199305555555554,0.0
2024_01_12,1705014339,LONG,0.9622569444444444,1705017600,0.0,-19.24513888888889,-21.74513888888889,0.7546296296296306,-19.24513888888889
2024_01_12,1705017601,SHORT,1.1574074074074073e-05,1705017619,0.0002199074074074074,-0.004166666666666667,-2.504166666666667,0.0,-0.004166666666666667
2024_01_12,1705018018,LONG,0.004837962962962963,1705096799,0.9166550925925926,18.236342592592592,15.736342592592592,18.23587962962963,0.0
2024_01_15,1705273572,LONG,0.9626388888888889,1705276800,0.0,-19.25277777777778,-21.75277777777778,0.7469907407407406,-19.25277777777778
2024_01_15,1705276801,SHORT,1.1574074074074073e-05,1705276818,0.00020833333333333335,-0.003935185185185186,-2.503935185185185,0.0,-0.003935185185185186
2024_01_15,1705277352,LONG,0.006388888888888889,1705341599,0.749988425925926,14.871990740740742,12.371990740740742,14.871759259259258,0.0
2024_01_16,1705359973,LONG,0.962650462962963,1705363200,0.0,-19.253009259259258,-21.753009259259258,0.746296296296296,-19.253009259259258
2024_01_16,1705363201,SHORT,1.1574074074074073e-05,1705363222,0.0002546296296296296,-0.00486111111111111,-2.504861111111111,0.0,-0.00486111111111111
2024_01_16,1705363522,LONG,0.003726851851851852,1705442399,0.9166550925925926,18.258564814814815,15.758564814814815,18.258333333333333,0.0
2024_01_17,1705446451,LONG,0.9635532407407408,1705449600,0.0,-19.271064814814814,-21.771064814814814,0.7287037037037036,-19.271064814814814
2024_01_17,1705449601,SHORT,1.1574074074074073e-05,1705449618,0.00020833333333333335,-0.003935185185185186,-2.503935185185185,0.0,-0.003935185185185186
2024_01_17,1705449993,LONG,0.004548611111111111,1705528799,0.9166550925925926,18.24212962962963,15.74212962962963,18.24189814814815,0.0
2024_01_18,1705532737,LONG,0.9622337962962964,1705536000,0.0,-19.244675925925925,-21.744675925925925,0.7550925925925922,-19.244675925925925
2024_01_18,1705536001,SHORT,1.1574074074074073e-05,1705536020,0.0002314814814814815,-0.004398148148148148,-2.504398148148148,0.0,-0.004398148148148148
2024_01_18,1705536419,LONG,0.004849537037037037,1705615199,0.9166550925925926,18.23611111111111,15.73611111111111,18.235416666666666,0.0
2024_01_19,1705619197,LONG,0.9629282407407408,1705622400,0.0,-19.258564814814815,-21.758564814814815,0.7412037037037034,-19.258564814814815
2024_01_19,1705622401,SHORT,1.1574074074074073e-05,1705622416,0.00018518518518518518,-0.003472222222222222,-2.5034722222222223,0.0,-0.003472222222222222
2024_01_19,1705622739,LONG,0.003923611111111111,1705701599,0.9166550925925926,18.25462962962963,15.75462962962963,18.254398148148148,0.0
2024_01_22,1705878294,LONG,0.9617361111111111,1705881600,0.0,-19.234722222222224,-21.734722222222224,0.7650462962962967,-19.234722222222224
2024_01_22,1705881601,SHORT,1.1574074074074073e-05,1705881620,0.0002314814814814815,-0.004398148148148148,-2.504398148148148,0.0,-0.004398148148148148
2024_01_22,1705882045,LONG,0.005150462962962963,1705960799,0.9166550925925926,18.23009259259259,15.730092592592591,18.229861111111113,0.0
2024_01_23,1705964786,LONG,0.9628009259259259,1705968000,0.0,-19.25601851851852,-21.75601851851852,0.7437500000000008,-19.25601851851852
2024_01_23,1705968001,SHORT,1.1574074074074073e-05,1705968017,0.00019675925925925926,-0.0037037037037037034,-2.5037037037037035,0.0,-0.0037037037037037034
2024_01_23,1705968564,LONG,0.006527777777777778,1706047199,0.9166550925925926,18.202546296296298,15.702546296296298,18.202314814814816,0.0
2024_01_24,1706051122,LONG,0.9620601851851852,1706054400,0.0,-19.241203703703704,-21.741203703703704,0.7578703703703704,-19.241203703703704
2024_01_24,1706054401,SHORT,1.1574074074074073e-05,1706054420,0.0002314814814814815,-0.004398148148148148,-2.504398148148148,0.0,-0.004398148148148148
2024_01_24,1706054945,LONG,0.006307870370370371,1706133599,0.9166550925925926,18.206944444444446,15.706944444444446,18.206712962962964,0.0
2024_01_25,1706137542,LONG,0.9622916666666667,1706140800,0.0,-19.245833333333334,-21.745833333333334,0.7532407407407415,-19.245833333333334
