tod_hour,n,P_cat_60m,cilo,cihi
0,14933,0.0001,0.0,0.0002
1,14706,0.2527,0.2457,0.2597
2,13692,0.0749,0.0705,0.0793
3,12939,0.0278,0.0251,0.0307
4,12147,0.0211,0.0186,0.0237
5,12983,0.0349,0.0318,0.0381
6,13835,0.033,0.0301,0.0361
7,14951,0.0181,0.016,0.0203
8,15481,0.0188,0.0167,0.021
9,14910,0.0204,0.0182,0.0227
10,14664,0.0113,0.0096,0.013
11,15176,0.018,0.0159,0.0202
12,16031,0.0275,0.025,0.0301
13,16635,0.0692,0.0654,0.0731
14,16866,0.0759,0.0719,0.0799
15,16840,0.0192,0.0172,0.0214
16,16789,0.0129,0.0112,0.0146
17,16545,0.0074,0.0062,0.0088
18,16227,0.007,0.0057,0.0083
19,16223,0.0025,0.0018,0.0034
20,15488,0.0049,0.0039,0.0061
21,6740,0.0001,0.0,0.0005
22,5823,0.0002,0.0,0.0006
23,10671,0.0012,0.0006,0.002
