sigma_rank_q,n,P_cat_60m,cilo,cihi
0,82711,0.0275,0.0264,0.0286
1,73130,0.0368,0.0354,0.0381
2,70397,0.0457,0.0442,0.0473
3,57133,0.0298,0.0284,0.0312
4,49755,0.0292,0.0277,0.0307
