base_tf,n_test,long_pct,short_pct,flat_pct,active_acc,median_only_acc,baseline_acc,lift_active
5m,15641,0.0,0.0,100.0,,0.49766638961703213,0.5035483664727319,
15m,5213,0.0,0.0,100.0,,0.49223096105889125,0.500287742183004,
1h,1304,0.0,0.0,100.0,,0.4677914110429448,0.5145705521472392,
