**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

concept,tf,tf_idx,n,mean,std,p10,p90,cohen_d_up_vs_down,cohen_d_smooth_vs_choppy,corr_concurrent_signed,corr_concurrent_abs,corr_lookback_return,corr_forward_return
price_velocity_1b,5s,0,46928,-0.023152488919195365,2.0210992293094074,-1.75,1.75,0.05431445261435785,0.01003831380155321,0.05870829106406941,-0.0031698632583710236,0.03531984876983151,-0.006864060716258107
price_velocity_1b,15s,1,46928,-0.020302378111148996,3.343067289915399,-2.75,2.75,0.03626814955263153,0.0012713222142571238,0.08603253169306772,0.0004978075283500066,0.043655918861274096,0.010337259851533016
price_velocity_1b,1m,2,46928,-0.035879432321854754,7.59524388139291,-6.0,5.75,0.10774500363876706,0.00820343664395477,0.18175407324769846,-0.00582640788573769,0.10533973081779162,0.028944244558739844
price_velocity_1b,5m,3,46927,0.04459586165746798,19.739292710771444,-14.75,14.75,0.16832250120053527,0.005235189854378371,0.45609008731532763,0.025500292948070116,0.2949146803761164,0.012024727779529546
price_velocity_1b,15m,4,46923,0.20430279393900647,35.28565838139389,-26.0,26.0,0.28815995359826724,0.010976922718279323,0.5350904867047296,0.03835754838472789,0.4961328831156579,-0.00016829753323809336
price_velocity_1b,1h,5,46905,0.8230092740645987,68.11735635936859,-55.5,54.75,0.5152046200058281,0.019920966768004547,0.12975672046457187,-0.019194181252993523,0.39392766042557853,-0.0001566779459174218
price_velocity_1b,4h,6,46821,2.7471166784135326,132.0031949236085,-111.75,110.5,0.8976865974243564,0.029120468727575812,0.019618352400123756,-0.050165051695400815,0.050781673747908096,0.01714865175956175
price_velocity_1b,1D,7,46641,21.588902467785854,319.4427181202789,-317.0,268.25,0.3859252998557775,0.06786160354357776,-0.056793807120159974,-0.07092021456044052,-0.0652534323878359,-0.08253555584772033
price_accel_1b,5s,0,46928,-0.02628494715308558,3.022673307423069,-2.75,2.5,0.035677706220771745,0.01185157844667876,0.00993966279906655,-0.010384831636710603,0.007452191371884713,-0.01611380968811152
price_accel_1b,15s,1,46928,-0.011709427207637232,5.1449066639996595,-4.25,4.25,-0.02695219658649231,-0.012335901060858792,0.002231961739561973,0.00271733522438863,-0.012306740490329716,-0.019566022556487418
price_accel_1b,1m,2,46928,-0.08159307875894987,11.124888501934622,-8.75,8.5,0.03911187047519404,0.0069936435415316614,0.006107461247412516,-0.006203487672152342,0.01195076986780924,0.0377457448184534
