tier,measure_shape,n_is,n_oos,mean_is,mean_oos,sum_is,sum_oos,sign_match
CASCADE,FLATLINE,189,45,0.63,3.66,119.0,164.0,1
CASCADE,GENTLE_CONCAVE_UP,29,2,-0.93,9.25,-27.0,18.0,0
CASCADE,GENTLE_CONVEX_DOWN,41,1,-1.15,0.0,-47.0,0.0,0
CASCADE,GENTLE_LINEAR_DOWN,17,2,-0.21,0.0,-4.0,0.0,0
CASCADE,GENTLE_LINEAR_UP,32,5,1.03,1.7,33.0,8.0,1
CASCADE,NOISE,368,69,1.79,5.46,657.0,376.0,1
CASCADE,STEEP_CONCAVE_DOWN,65,21,-0.56,2.26,-36.0,48.0,0
CASCADE,STEEP_CONCAVE_UP,323,66,0.46,-1.46,148.0,-96.0,0
CASCADE,STEEP_CONVEX_DOWN,441,90,0.48,-0.27,210.0,-24.0,0
CASCADE,STEEP_CONVEX_UP,32,7,-1.97,0.21,-63.0,2.0,0
CASCADE,STEEP_LINEAR_DOWN,491,135,-0.89,-1.85,-439.0,-250.0,1
CASCADE,STEEP_LINEAR_UP,326,109,-1.62,-5.51,-528.0,-600.0,1
FADE_AGAINST,FLATLINE,98,24,1.16,3.62,114.0,87.0,1
FADE_AGAINST,GENTLE_CONCAVE_UP,29,5,-0.26,-2.3,-8.0,-12.0,1
FADE_AGAINST,GENTLE_CONVEX_DOWN,19,1,0.68,0.0,13.0,0.0,0
FADE_AGAINST,GENTLE_LINEAR_DOWN,12,2,3.62,0.5,44.0,1.0,1
FADE_AGAINST,GENTLE_LINEAR_UP,25,5,0.34,-1.3,8.0,-6.0,0
FADE_AGAINST,NOISE,267,49,3.29,2.7,878.0,132.0,1
FADE_AGAINST,STEEP_CONCAVE_DOWN,37,17,-1.3,-2.03,-48.0,-34.0,1
FADE_AGAINST,STEEP_CONCAVE_UP,387,95,1.26,1.38,487.0,132.0,1
FADE_AGAINST,STEEP_CONVEX_DOWN,367,76,1.38,0.76,506.0,58.0,1
FADE_AGAINST,STEEP_CONVEX_UP,50,9,-2.57,0.89,-128.0,8.0,0
FADE_AGAINST,STEEP_LINEAR_DOWN,373,108,-0.51,-0.58,-188.0,-62.0,1
FADE_AGAINST,STEEP_LINEAR_UP,508,133,-1.04,-1.36,-526.0,-180.0,1
FADE_AT_BAND,FLATLINE,1911,541,0.38,0.85,728.0,461.0,1
FADE_AT_BAND,GENTLE_CONCAVE_DOWN,45,0,-0.03,,-2.0,0.0,-1
FADE_AT_BAND,GENTLE_CONCAVE_UP,262,38,0.34,0.58,90.0,22.0,1
FADE_AT_BAND,GENTLE_CONVEX_DOWN,208,25,0.48,1.1,100.0,28.0,1
FADE_AT_BAND,GENTLE_CONVEX_UP,59,15,0.01,-0.4,0.0,-6.0,0
FADE_AT_BAND,GENTLE_LINEAR_DOWN,56,4,1.33,2.25,74.0,9.0,1
FADE_AT_BAND,GENTLE_LINEAR_UP,103,15,0.75,2.73,77.0,41.0,1
FADE_AT_BAND,NOISE,2674,710,0.88,2.34,2354.0,1660.0,1
FADE_AT_BAND,STEEP_CONCAVE_DOWN,534,168,-1.01,-1.7,-542.0,-285.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,4314,1289,0.38,0.3,1622.0,388.0,1
FADE_AT_BAND,STEEP_CONVEX_DOWN,4026,1111,0.7,1.58,2808.0,1750.0,1
FADE_AT_BAND,STEEP_CONVEX_UP,537,135,-0.89,0.51,-476.0,68.0,0
FADE_AT_BAND,STEEP_LINEAR_DOWN,4407,1285,-1.48,-1.24,-6515.0,-1600.0,1
FADE_AT_BAND,STEEP_LINEAR_UP,4372,1107,-1.0,-0.55,-4358.0,-606.0,1
FADE_CALM,FLATLINE,1036,159,0.95,1.91,980.0,303.0,1
FADE_CALM,GENTLE_CONCAVE_DOWN,59,4,0.08,-1.12,5.0,-4.0,0
FADE_CALM,GENTLE_CONCAVE_UP,376,21,-0.22,1.55,-82.0,32.0,0
FADE_CALM,GENTLE_CONVEX_DOWN,398,26,0.32,-0.17,129.0,-4.0,0
FADE_CALM,GENTLE_CONVEX_UP,76,3,-0.68,2.0,-52.0,6.0,0
FADE_CALM,GENTLE_LINEAR_DOWN,315,19,0.67,-0.84,212.0,-16.0,0
FADE_CALM,GENTLE_LINEAR_UP,320,27,0.31,0.67,100.0,18.0,1
FADE_CALM,NOISE,3431,297,1.92,3.1,6572.0,920.0,1
FADE_CALM,STEEP_CONCAVE_DOWN,504,58,-1.05,-2.38,-528.0,-138.0,1
FADE_CALM,STEEP_CONCAVE_UP,2791,448,0.38,0.61,1067.0,273.0,1
FADE_CALM,STEEP_CONVEX_DOWN,2744,413,0.42,0.74,1156.0,305.0,1
FADE_CALM,STEEP_CONVEX_UP,426,45,-1.86,0.22,-794.0,10.0,0
FADE_CALM,STEEP_LINEAR_DOWN,2853,456,-1.16,-1.66,-3311.0,-758.0,1
FADE_CALM,STEEP_LINEAR_UP,2922,462,-1.71,-1.62,-4998.0,-750.0,1
FADE_MOMENTUM,FLATLINE,512,152,4.19,3.23,2144.0,490.0,1
FADE_MOMENTUM,GENTLE_CONCAVE_UP,26,1,-2.67,-1.0,-70.0,-1.0,1
FADE_MOMENTUM,GENTLE_CONVEX_DOWN,14,1,1.14,-5.5,16.0,-6.0,0
FADE_MOMENTUM,GENTLE_LINEAR_UP,12,2,-1.0,0.0,-12.0,0.0,0
FADE_MOMENTUM,NOISE,745,196,7.22,9.64,5376.0,1889.0,1
FADE_MOMENTUM,STEEP_CONCAVE_DOWN,171,53,-1.12,-1.73,-192.0,-92.0,1
FADE_MOMENTUM,STEEP_CONCAVE_UP,1831,528,0.89,-1.27,1622.0,-670.0,0
FADE_MOMENTUM,STEEP_CONVEX_DOWN,1811,511,0.96,1.81,1739.0,924.0,1
FADE_MOMENTUM,STEEP_CONVEX_UP,129,34,0.74,2.54,95.0,86.0,1
FADE_MOMENTUM,STEEP_LINEAR_DOWN,2460,763,-2.18,-1.8,-5366.0,-1372.0,1
FADE_MOMENTUM,STEEP_LINEAR_UP,2036,559,-1.46,-2.04,-2975.0,-1141.0,1
KILL_SHOT,FLATLINE,831,168,1.5,2.3,1246.0,387.0,1
KILL_SHOT,GENTLE_CONCAVE_DOWN,30,3,0.3,-2.0,9.0,-6.0,0
KILL_SHOT,GENTLE_CONCAVE_UP,153,14,-0.13,2.0,-20.0,28.0,0
KILL_SHOT,GENTLE_CONVEX_DOWN,187,6,0.13,0.5,25.0,3.0,1
KILL_SHOT,GENTLE_CONVEX_UP,33,1,0.47,6.5,16.0,6.0,1
KILL_SHOT,GENTLE_LINEAR_DOWN,141,12,1.17,-2.92,164.0,-35.0,0
KILL_SHOT,GENTLE_LINEAR_UP,148,18,0.12,0.22,18.0,4.0,1
KILL_SHOT,NOISE,1789,224,2.47,4.19,4422.0,940.0,1
KILL_SHOT,STEEP_CONCAVE_DOWN,343,46,-1.55,-1.68,-532.0,-78.0,1
KILL_SHOT,STEEP_CONCAVE_UP,1430,290,0.39,0.12,557.0,35.0,1
KILL_SHOT,STEEP_CONVEX_DOWN,1731,314,0.25,-0.61,438.0,-191.0,0
KILL_SHOT,STEEP_CONVEX_UP,253,47,0.12,-1.09,30.0,-51.0,0
KILL_SHOT,STEEP_LINEAR_DOWN,1875,403,-1.41,-2.59,-2644.0,-1043.0,1
KILL_SHOT,STEEP_LINEAR_UP,1685,332,-1.4,-1.95,-2367.0,-648.0,1
NMP_FADE_RAW,FLATLINE,3181,635,1.52,1.8,4851.0,1143.0,1
NMP_FADE_RAW,GENTLE_CONCAVE_DOWN,97,11,-0.57,-1.95,-56.0,-22.0,1
NMP_FADE_RAW,GENTLE_CONCAVE_UP,715,60,-0.3,0.43,-212.0,26.0,0
NMP_FADE_RAW,GENTLE_CONVEX_DOWN,736,56,0.34,-0.04,247.0,-2.0,0
NMP_FADE_RAW,GENTLE_CONVEX_UP,135,12,0.02,1.5,2.0,18.0,1
NMP_FADE_RAW,GENTLE_LINEAR_DOWN,518,33,0.47,-0.62,242.0,-20.0,0
NMP_FADE_RAW,GENTLE_LINEAR_UP,535,74,0.46,0.45,248.0,34.0,1
NMP_FADE_RAW,NOISE,7576,1067,2.8,4.22,21214.0,4502.0,1
NMP_FADE_RAW,STEEP_CONCAVE_DOWN,1300,233,-1.29,-2.52,-1673.0,-586.0,1
NMP_FADE_RAW,STEEP_CONCAVE_UP,9407,1924,0.47,-0.1,4431.0,-200.0,0
