tier,sub_motif_shape,measure_shape,n_is,n_oos,mean_is,mean_oos,sum_is,sum_oos,sign_match
FADE_CALM,FLATLINE,NOISE,374,30,1.12,-0.37,418.0,-11.0,0
FADE_CALM,FLATLINE,STEEP_CONCAVE_DOWN,94,18,-3.57,-6.83,-336.0,-123.0,1
FADE_CALM,FLATLINE,STEEP_CONCAVE_UP,328,40,-0.14,-2.83,-44.0,-113.0,1
FADE_CALM,FLATLINE,STEEP_CONVEX_DOWN,287,42,0.44,0.38,126.0,16.0,1
FADE_CALM,FLATLINE,STEEP_CONVEX_UP,73,11,-2.34,-3.77,-170.0,-42.0,1
FADE_CALM,FLATLINE,STEEP_LINEAR_DOWN,465,75,-1.17,-3.12,-546.0,-234.0,1
FADE_CALM,FLATLINE,STEEP_LINEAR_UP,449,58,-1.88,0.28,-844.0,16.0,0
FADE_CALM,GENTLE_CONCAVE_DOWN,FLATLINE,19,1,0.39,0.0,8.0,0.0,0
FADE_CALM,GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_UP,10,1,0.95,16.5,10.0,16.0,1
FADE_CALM,GENTLE_CONCAVE_DOWN,NOISE,30,1,1.18,5.5,36.0,6.0,1
FADE_CALM,GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,15,1,0.43,-2.0,6.0,-2.0,0
FADE_CALM,GENTLE_CONCAVE_DOWN,STEEP_CONVEX_DOWN,31,0,-0.39,,-12.0,0.0,-1
FADE_CALM,GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,117,9,-1.7,-3.11,-198.0,-28.0,1
FADE_CALM,GENTLE_CONCAVE_UP,FLATLINE,143,14,0.16,2.32,22.0,32.0,1
FADE_CALM,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_DOWN,16,1,1.0,0.0,16.0,0.0,0
FADE_CALM,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,80,0,0.31,,24.0,0.0,-1
FADE_CALM,GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,78,9,-0.06,-0.06,-4.0,-0.0,1
FADE_CALM,GENTLE_CONCAVE_UP,GENTLE_LINEAR_DOWN,51,5,1.15,-1.9,58.0,-10.0,0
FADE_CALM,GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,93,2,0.06,1.75,6.0,4.0,1
FADE_CALM,GENTLE_CONCAVE_UP,NOISE,481,34,0.98,1.57,472.0,54.0,1
FADE_CALM,GENTLE_CONCAVE_UP,STEEP_CONCAVE_DOWN,114,10,-1.01,-1.5,-116.0,-15.0,1
FADE_CALM,GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,232,22,-0.27,-0.16,-64.0,-4.0,1
FADE_CALM,GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,486,66,0.68,-0.8,329.0,-53.0,0
FADE_CALM,GENTLE_CONCAVE_UP,STEEP_CONVEX_UP,23,0,-0.89,,-20.0,0.0,-1
FADE_CALM,GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,443,55,-1.5,0.12,-664.0,6.0,0
FADE_CALM,GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,147,22,-0.3,0.3,-44.0,6.0,0
FADE_CALM,GENTLE_CONVEX_DOWN,FLATLINE,136,13,0.53,1.15,72.0,15.0,1
FADE_CALM,GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_UP,49,0,-0.03,,-2.0,0.0,-1
FADE_CALM,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,49,4,0.69,0.0,34.0,0.0,0
FADE_CALM,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_UP,14,2,-0.43,-0.25,-6.0,-0.0,1
FADE_CALM,GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,54,1,-0.34,0.0,-18.0,0.0,0
FADE_CALM,GENTLE_CONVEX_DOWN,GENTLE_LINEAR_UP,36,6,0.08,-0.17,3.0,-1.0,0
FADE_CALM,GENTLE_CONVEX_DOWN,NOISE,461,35,1.42,1.73,656.0,60.0,1
FADE_CALM,GENTLE_CONVEX_DOWN,STEEP_CONCAVE_DOWN,18,0,1.94,,35.0,0.0,-1
FADE_CALM,GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,415,69,0.07,0.89,27.0,62.0,1
FADE_CALM,GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,219,30,-0.33,3.85,-72.0,116.0,0
FADE_CALM,GENTLE_CONVEX_DOWN,STEEP_CONVEX_UP,72,9,-1.31,-1.11,-94.0,-10.0,1
FADE_CALM,GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,138,23,0.08,-0.91,10.0,-21.0,0
FADE_CALM,GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,464,89,-1.68,-1.06,-778.0,-94.0,1
FADE_CALM,GENTLE_CONVEX_UP,FLATLINE,16,1,1.16,0.0,18.0,0.0,0
FADE_CALM,GENTLE_CONVEX_UP,NOISE,42,3,1.67,0.67,70.0,2.0,1
FADE_CALM,GENTLE_CONVEX_UP,STEEP_CONCAVE_UP,31,8,-1.16,-1.38,-36.0,-11.0,1
FADE_CALM,GENTLE_CONVEX_UP,STEEP_CONVEX_UP,20,3,-0.1,0.0,-2.0,0.0,0
FADE_CALM,GENTLE_CONVEX_UP,STEEP_LINEAR_DOWN,15,4,0.37,-1.5,6.0,-6.0,0
FADE_CALM,GENTLE_CONVEX_UP,STEEP_LINEAR_UP,100,11,-3.2,-0.36,-320.0,-4.0,1
FADE_CALM,GENTLE_LINEAR_DOWN,FLATLINE,84,10,1.85,-2.7,156.0,-27.0,0
FADE_CALM,GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,10,0,-1.1,,-11.0,0.0,-1
FADE_CALM,GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_UP,31,3,-0.23,4.17,-7.0,12.0,0
FADE_CALM,GENTLE_LINEAR_DOWN,GENTLE_CONVEX_DOWN,38,0,0.42,,16.0,0.0,-1
FADE_CALM,GENTLE_LINEAR_DOWN,GENTLE_CONVEX_UP,11,0,-0.73,,-8.0,0.0,-1
FADE_CALM,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,40,2,-0.61,-0.25,-24.0,-0.0,1
FADE_CALM,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_UP,33,3,-0.21,-1.17,-7.0,-4.0,1
FADE_CALM,GENTLE_LINEAR_DOWN,NOISE,298,19,1.32,1.21,392.0,23.0,1
FADE_CALM,GENTLE_LINEAR_DOWN,STEEP_CONCAVE_DOWN,17,1,-0.26,0.0,-4.0,0.0,0
FADE_CALM,GENTLE_LINEAR_DOWN,STEEP_CONCAVE_UP,194,34,0.47,0.25,90.0,8.0,1
FADE_CALM,GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,238,20,-0.6,-0.57,-142.0,-12.0,1
FADE_CALM,GENTLE_LINEAR_DOWN,STEEP_CONVEX_UP,43,4,-0.42,0.0,-18.0,0.0,0
FADE_CALM,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,205,18,-0.12,-1.67,-26.0,-30.0,1
FADE_CALM,GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,199,24,-1.34,-1.33,-268.0,-32.0,1
FADE_CALM,GENTLE_LINEAR_UP,FLATLINE,77,11,1.01,2.5,78.0,28.0,1
FADE_CALM,GENTLE_LINEAR_UP,GENTLE_CONCAVE_UP,58,4,-0.12,-1.38,-7.0,-6.0,1
FADE_CALM,GENTLE_LINEAR_UP,GENTLE_CONVEX_DOWN,46,5,-0.05,0.8,-2.0,4.0,0
FADE_CALM,GENTLE_LINEAR_UP,GENTLE_CONVEX_UP,13,0,-0.96,,-12.0,0.0,-1
FADE_CALM,GENTLE_LINEAR_UP,GENTLE_LINEAR_DOWN,31,3,-0.42,-2.67,-13.0,-8.0,1
FADE_CALM,GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,26,3,0.48,3.33,12.0,10.0,1
FADE_CALM,GENTLE_LINEAR_UP,NOISE,336,19,0.82,4.92,276.0,94.0,1
FADE_CALM,GENTLE_LINEAR_UP,STEEP_CONCAVE_DOWN,38,3,-1.3,0.83,-50.0,2.0,0
FADE_CALM,GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,221,24,-0.91,-0.5,-200.0,-12.0,1
FADE_CALM,GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,231,27,0.44,1.8,100.0,48.0,1
FADE_CALM,GENTLE_LINEAR_UP,STEEP_CONVEX_UP,21,0,0.0,,0.0,0.0,-1
FADE_CALM,GENTLE_LINEAR_UP,STEEP_LINEAR_DOWN,180,24,-1.56,-2.79,-280.0,-67.0,1
FADE_CALM,GENTLE_LINEAR_UP,STEEP_LINEAR_UP,260,25,-0.61,-3.16,-160.0,-79.0,1
FADE_CALM,NOISE,FLATLINE,90,23,-0.01,3.09,-1.0,71.0,0
FADE_CALM,NOISE,GENTLE_CONCAVE_UP,37,1,-0.61,3.5,-22.0,4.0,0
FADE_CALM,NOISE,GENTLE_CONVEX_DOWN,27,1,0.7,0.0,19.0,0.0,0
FADE_CALM,NOISE,GENTLE_LINEAR_DOWN,48,1,0.29,0.0,14.0,0.0,0
FADE_CALM,NOISE,GENTLE_LINEAR_UP,24,0,1.35,,32.0,0.0,-1
FADE_CALM,NOISE,NOISE,394,33,1.53,3.18,603.0,105.0,1
FADE_CALM,NOISE,STEEP_CONCAVE_DOWN,43,3,-2.14,0.33,-92.0,1.0,0
FADE_CALM,NOISE,STEEP_CONCAVE_UP,227,31,0.93,0.58,210.0,18.0,1
FADE_CALM,NOISE,STEEP_CONVEX_DOWN,190,32,0.35,2.34,67.0,75.0,1
FADE_CALM,NOISE,STEEP_CONVEX_UP,52,5,-6.04,8.7,-314.0,44.0,0
FADE_CALM,NOISE,STEEP_LINEAR_DOWN,249,30,-1.81,-6.1,-452.0,-183.0,1
FADE_CALM,NOISE,STEEP_LINEAR_UP,271,39,-2.85,-1.24,-773.0,-48.0,1
FADE_CALM,STEEP_CONCAVE_DOWN,FLATLINE,10,2,2.35,5.0,24.0,10.0,1
FADE_CALM,STEEP_CONCAVE_DOWN,NOISE,42,4,5.02,11.12,211.0,44.0,1
FADE_CALM,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,16,2,-0.09,1.25,-2.0,2.0,0
FADE_CALM,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_UP,19,4,10.21,-11.75,194.0,-47.0,0
FADE_CALM,STEEP_CONCAVE_DOWN,STEEP_CONVEX_DOWN,14,1,-3.11,0.0,-44.0,0.0,0
FADE_CALM,STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,47,2,-6.26,-5.75,-294.0,-12.0,1
FADE_CALM,STEEP_CONCAVE_DOWN,STEEP_LINEAR_UP,10,0,10.35,,104.0,0.0,-1
FADE_CALM,STEEP_CONCAVE_UP,FLATLINE,96,20,2.47,-2.55,238.0,-51.0,0
FADE_CALM,STEEP_CONCAVE_UP,GENTLE_CONCAVE_UP,17,5,-1.91,3.3,-32.0,16.0,0
FADE_CALM,STEEP_CONCAVE_UP,GENTLE_CONVEX_DOWN,35,3,0.17,0.0,6.0,0.0,0
FADE_CALM,STEEP_CONCAVE_UP,GENTLE_LINEAR_DOWN,13,3,0.38,0.5,5.0,2.0,1
FADE_CALM,STEEP_CONCAVE_UP,GENTLE_LINEAR_UP,14,1,0.04,-1.0,0.0,-1.0,0
FADE_CALM,STEEP_CONCAVE_UP,NOISE,215,29,1.78,1.28,382.0,37.0,1
FADE_CALM,STEEP_CONCAVE_UP,STEEP_CONCAVE_DOWN,67,9,0.54,-3.22,36.0,-29.0,0
FADE_CALM,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,166,36,-0.11,-0.12,-18.0,-4.0,1
FADE_CALM,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,394,98,1.1,1.44,435.0,141.0,1
FADE_CALM,STEEP_CONCAVE_UP,STEEP_CONVEX_UP,22,2,0.59,0.0,13.0,0.0,0
FADE_CALM,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,360,90,-0.64,-0.24,-232.0,-22.0,1
FADE_CALM,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,143,32,-0.3,-2.48,-44.0,-80.0,1
FADE_CALM,STEEP_CONVEX_DOWN,FLATLINE,73,16,-0.5,-0.69,-36.0,-11.0,1
FADE_CALM,STEEP_CONVEX_DOWN,GENTLE_LINEAR_DOWN,12,1,1.21,6.0,14.0,6.0,1
FADE_CALM,STEEP_CONVEX_DOWN,GENTLE_LINEAR_UP,15,0,2.03,,30.0,0.0,-1
FADE_CALM,STEEP_CONVEX_DOWN,NOISE,199,29,3.46,1.41,688.0,41.0,1
FADE_CALM,STEEP_CONVEX_DOWN,STEEP_CONCAVE_DOWN,13,1,0.27,1.0,4.0,1.0,1
FADE_CALM,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,398,92,1.11,1.47,444.0,136.0,1
FADE_CALM,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,129,17,0.76,-2.47,98.0,-42.0,0
FADE_CALM,STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,37,4,-4.3,-0.5,-159.0,-2.0,1
FADE_CALM,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,120,28,-1.5,-2.59,-180.0,-72.0,1
FADE_CALM,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,295,77,-2.7,-3.77,-796.0,-290.0,1
FADE_CALM,STEEP_CONVEX_UP,NOISE,36,2,8.5,-3.75,306.0,-8.0,0
FADE_CALM,STEEP_CONVEX_UP,STEEP_CONCAVE_UP,26,4,-0.62,-5.62,-16.0,-22.0,1
FADE_CALM,STEEP_CONVEX_UP,STEEP_CONVEX_DOWN,21,2,3.24,5.0,68.0,10.0,1
FADE_CALM,STEEP_CONVEX_UP,STEEP_LINEAR_DOWN,15,1,0.37,0.0,6.0,0.0,0
FADE_CALM,STEEP_CONVEX_UP,STEEP_LINEAR_UP,62,6,-2.55,1.92,-158.0,12.0,0
FADE_CALM,STEEP_LINEAR_DOWN,FLATLINE,89,18,1.59,9.31,142.0,168.0,1
FADE_CALM,STEEP_LINEAR_DOWN,GENTLE_CONCAVE_UP,27,0,-0.85,,-23.0,0.0,-1
FADE_CALM,STEEP_LINEAR_DOWN,GENTLE_CONVEX_DOWN,19,1,0.32,-22.0,6.0,-22.0,0
FADE_CALM,STEEP_LINEAR_DOWN,GENTLE_LINEAR_UP,13,1,1.35,0.5,18.0,0.0,1
FADE_CALM,STEEP_LINEAR_DOWN,NOISE,243,30,4.63,8.6,1124.0,258.0,1
FADE_CALM,STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,21,8,1.29,1.0,27.0,8.0,1
FADE_CALM,STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,269,62,2.21,3.98,594.0,246.0,1
FADE_CALM,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,188,36,-0.6,2.42,-114.0,87.0,0
FADE_CALM,STEEP_LINEAR_DOWN,STEEP_CONVEX_UP,25,3,-1.24,2.5,-31.0,8.0,0
FADE_CALM,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,251,38,-1.29,-0.54,-323.0,-20.0,1
FADE_CALM,STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,243,52,-2.24,-2.43,-546.0,-126.0,1
FADE_CALM,STEEP_LINEAR_UP,FLATLINE,90,19,2.12,3.58,190.0,68.0,1
FADE_CALM,STEEP_LINEAR_UP,GENTLE_CONCAVE_UP,12,0,-0.17,,-2.0,0.0,-1
FADE_CALM,STEEP_LINEAR_UP,GENTLE_CONVEX_DOWN,35,0,0.87,,30.0,0.0,-1
FADE_CALM,STEEP_LINEAR_UP,GENTLE_LINEAR_DOWN,20,0,5.92,,118.0,0.0,-1
FADE_CALM,STEEP_LINEAR_UP,GENTLE_LINEAR_UP,11,3,-0.45,1.0,-5.0,3.0,0
FADE_CALM,STEEP_LINEAR_UP,NOISE,280,29,3.35,7.43,938.0,216.0,1
FADE_CALM,STEEP_LINEAR_UP,STEEP_CONCAVE_DOWN,42,2,-0.56,8.0,-24.0,16.0,0
FADE_CALM,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,256,21,-0.43,0.79,-109.0,16.0,0
FADE_CALM,STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,310,39,0.97,-2.12,300.0,-82.0,0
FADE_CALM,STEEP_LINEAR_UP,STEEP_CONVEX_UP,31,4,0.79,3.12,24.0,12.0,1
FADE_CALM,STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,248,59,-0.56,-1.17,-139.0,-69.0,1
FADE_CALM,STEEP_LINEAR_UP,STEEP_LINEAR_UP,273,25,-1.43,-0.96,-390.0,-24.0,1
FADE_MOMENTUM,FLATLINE,FLATLINE,15,6,9.13,0.58,137.0,4.0,1
FADE_MOMENTUM,FLATLINE,NOISE,26,7,11.77,11.21,306.0,78.0,1
FADE_MOMENTUM,FLATLINE,STEEP_CONCAVE_DOWN,12,2,-3.79,13.25,-46.0,26.0,0
FADE_MOMENTUM,FLATLINE,STEEP_CONCAVE_UP,20,8,2.83,9.94,56.0,80.0,1
FADE_MOMENTUM,FLATLINE,STEEP_CONVEX_DOWN,27,17,-0.61,9.94,-16.0,169.0,0
FADE_MOMENTUM,FLATLINE,STEEP_LINEAR_DOWN,72,23,-1.74,-9.72,-126.0,-224.0,1
FADE_MOMENTUM,FLATLINE,STEEP_LINEAR_UP,70,25,-8.21,0.3,-574.0,8.0,0
FADE_MOMENTUM,GENTLE_CONCAVE_UP,NOISE,13,1,3.15,0.0,41.0,0.0,0
FADE_MOMENTUM,GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,13,0,-0.12,,-2.0,0.0,-1
FADE_MOMENTUM,GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,14,3,0.96,2.67,14.0,8.0,1
FADE_MOMENTUM,NOISE,FLATLINE,21,5,0.45,-4.6,10.0,-23.0,0
FADE_MOMENTUM,NOISE,NOISE,54,19,9.84,8.92,532.0,170.0,1
FADE_MOMENTUM,NOISE,STEEP_CONCAVE_DOWN,13,3,-6.73,0.0,-88.0,0.0,0
FADE_MOMENTUM,NOISE,STEEP_CONCAVE_UP,36,5,1.21,11.3,44.0,56.0,1
FADE_MOMENTUM,NOISE,STEEP_CONVEX_DOWN,27,7,0.65,0.36,18.0,2.0,1
FADE_MOMENTUM,NOISE,STEEP_LINEAR_DOWN,59,14,-10.77,-13.46,-636.0,-188.0,1
FADE_MOMENTUM,NOISE,STEEP_LINEAR_UP,50,11,2.42,-2.77,121.0,-30.0,0
FADE_MOMENTUM,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,20,3,-6.33,2.83,-126.0,8.0,0
FADE_MOMENTUM,STEEP_CONCAVE_DOWN,STEEP_CONVEX_DOWN,40,7,-1.09,10.14,-44.0,71.0,0
FADE_MOMENTUM,STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,180,35,-5.19,2.26,-935.0,79.0,0
FADE_MOMENTUM,STEEP_CONCAVE_DOWN,STEEP_LINEAR_UP,10,0,-9.65,,-96.0,0.0,-1
FADE_MOMENTUM,STEEP_CONCAVE_UP,FLATLINE,139,32,0.43,-3.3,60.0,-106.0,0
FADE_MOMENTUM,STEEP_CONCAVE_UP,NOISE,207,43,7.74,8.67,1602.0,373.0,1
FADE_MOMENTUM,STEEP_CONCAVE_UP,STEEP_CONCAVE_DOWN,42,14,5.39,-1.86,226.0,-26.0,0
FADE_MOMENTUM,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,678,208,1.4,-1.44,946.0,-300.0,0
FADE_MOMENTUM,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,205,69,2.36,4.6,484.0,318.0,1
FADE_MOMENTUM,STEEP_CONCAVE_UP,STEEP_CONVEX_UP,11,6,13.91,-0.92,153.0,-6.0,0
FADE_MOMENTUM,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,235,83,-6.28,-4.81,-1476.0,-400.0,1
FADE_MOMENTUM,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,450,115,0.41,0.83,186.0,95.0,1
FADE_MOMENTUM,STEEP_CONVEX_DOWN,FLATLINE,106,26,3.66,6.63,388.0,172.0,1
FADE_MOMENTUM,STEEP_CONVEX_DOWN,NOISE,149,51,8.84,6.8,1318.0,347.0,1
FADE_MOMENTUM,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,218,60,-1.08,-5.8,-234.0,-348.0,1
FADE_MOMENTUM,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,629,179,1.18,-0.37,740.0,-67.0,0
FADE_MOMENTUM,STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,29,7,-0.67,6.29,-20.0,44.0,0
FADE_MOMENTUM,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,390,141,1.19,1.92,462.0,271.0,1
FADE_MOMENTUM,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,241,63,-4.71,-2.91,-1135.0,-184.0,1
FADE_MOMENTUM,STEEP_CONVEX_UP,STEEP_CONCAVE_UP,35,8,-3.99,-8.75,-140.0,-70.0,1
FADE_MOMENTUM,STEEP_CONVEX_UP,STEEP_CONVEX_UP,11,1,-6.32,16.5,-70.0,16.0,0
FADE_MOMENTUM,STEEP_CONVEX_UP,STEEP_LINEAR_UP,78,20,-3.27,-3.4,-255.0,-68.0,1
FADE_MOMENTUM,STEEP_LINEAR_DOWN,FLATLINE,128,39,6.7,4.42,857.0,172.0,1
FADE_MOMENTUM,STEEP_LINEAR_DOWN,NOISE,165,40,4.33,12.01,715.0,480.0,1
FADE_MOMENTUM,STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,42,22,-0.37,-5.3,-16.0,-116.0,1
FADE_MOMENTUM,STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,176,53,5.53,1.22,974.0,64.0,1
FADE_MOMENTUM,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,719,202,0.03,2.16,22.0,437.0,1
FADE_MOMENTUM,STEEP_LINEAR_DOWN,STEEP_CONVEX_UP,24,10,-0.31,-1.25,-8.0,-12.0,1
FADE_MOMENTUM,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,1379,411,-1.37,-1.35,-1888.0,-555.0,1
FADE_MOMENTUM,STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,141,58,-4.21,-4.43,-594.0,-257.0,1
FADE_MOMENTUM,STEEP_LINEAR_UP,FLATLINE,85,38,6.42,6.5,546.0,247.0,1
FADE_MOMENTUM,STEEP_LINEAR_UP,GENTLE_CONCAVE_UP,10,0,-4.0,,-40.0,0.0,-1
FADE_MOMENTUM,STEEP_LINEAR_UP,NOISE,115,32,6.97,10.89,801.0,348.0,1
FADE_MOMENTUM,STEEP_LINEAR_UP,STEEP_CONCAVE_DOWN,34,4,-4.01,-5.25,-136.0,-21.0,1
FADE_MOMENTUM,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,645,178,-0.19,-1.32,-120.0,-234.0,1
FADE_MOMENTUM,STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,132,23,3.49,1.39,460.0,32.0,1
FADE_MOMENTUM,STEEP_LINEAR_UP,STEEP_CONVEX_UP,31,6,6.94,11.75,215.0,70.0,1
FADE_MOMENTUM,STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,119,47,-6.14,-7.56,-731.0,-356.0,1
FADE_MOMENTUM,STEEP_LINEAR_UP,STEEP_LINEAR_UP,968,259,-0.72,-2.84,-696.0,-735.0,1
KILL_SHOT,FLATLINE,FLATLINE,67,17,-0.86,-0.97,-58.0,-16.0,1
KILL_SHOT,FLATLINE,GENTLE_CONCAVE_UP,15,1,-1.0,0.0,-15.0,0.0,0
KILL_SHOT,FLATLINE,GENTLE_CONVEX_DOWN,19,0,1.21,,23.0,0.0,-1
KILL_SHOT,FLATLINE,GENTLE_LINEAR_DOWN,10,2,1.3,-2.75,13.0,-6.0,0
KILL_SHOT,FLATLINE,GENTLE_LINEAR_UP,14,1,0.39,-1.5,6.0,-2.0,0
KILL_SHOT,FLATLINE,NOISE,182,17,1.24,6.29,225.0,107.0,1
KILL_SHOT,FLATLINE,STEEP_CONCAVE_DOWN,52,15,-3.53,-4.77,-184.0,-72.0,1
KILL_SHOT,FLATLINE,STEEP_CONCAVE_UP,120,26,0.48,3.5,58.0,91.0,1
KILL_SHOT,FLATLINE,STEEP_CONVEX_DOWN,155,24,0.84,0.04,130.0,1.0,1
KILL_SHOT,FLATLINE,STEEP_CONVEX_UP,53,5,-0.09,-10.1,-5.0,-50.0,1
KILL_SHOT,FLATLINE,STEEP_LINEAR_DOWN,225,51,-1.31,-2.78,-295.0,-142.0,1
KILL_SHOT,FLATLINE,STEEP_LINEAR_UP,225,36,-2.53,-3.26,-570.0,-118.0,1
KILL_SHOT,GENTLE_CONCAVE_DOWN,FLATLINE,12,1,1.29,0.0,16.0,0.0,0
KILL_SHOT,GENTLE_CONCAVE_DOWN,NOISE,18,1,2.86,5.5,52.0,6.0,1
KILL_SHOT,GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,17,2,3.24,-1.0,55.0,-2.0,0
KILL_SHOT,GENTLE_CONCAVE_DOWN,STEEP_CONVEX_DOWN,13,0,-1.69,,-22.0,0.0,-1
KILL_SHOT,GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,74,6,-1.41,-6.42,-104.0,-38.0,1
KILL_SHOT,GENTLE_CONCAVE_UP,FLATLINE,85,13,-0.57,0.54,-48.0,7.0,0
KILL_SHOT,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,41,0,0.66,,27.0,0.0,-1
KILL_SHOT,GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,23,2,1.78,1.5,41.0,3.0,1
KILL_SHOT,GENTLE_CONCAVE_UP,GENTLE_LINEAR_DOWN,21,2,1.0,1.0,21.0,2.0,1
KILL_SHOT,GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,49,1,0.55,3.5,27.0,4.0,1
KILL_SHOT,GENTLE_CONCAVE_UP,NOISE,234,15,1.53,0.83,359.0,12.0,1
KILL_SHOT,GENTLE_CONCAVE_UP,STEEP_CONCAVE_DOWN,62,4,-2.41,0.12,-150.0,0.0,0
KILL_SHOT,GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,131,12,0.41,0.38,54.0,4.0,1
KILL_SHOT,GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,139,24,0.97,-0.17,135.0,-4.0,0
KILL_SHOT,GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,159,20,-0.18,-2.12,-29.0,-42.0,1
KILL_SHOT,GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,114,4,-0.34,10.0,-38.0,40.0,0
KILL_SHOT,GENTLE_CONVEX_DOWN,FLATLINE,73,8,0.62,2.62,46.0,21.0,1
KILL_SHOT,GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_UP,16,2,-2.88,-1.0,-46.0,-2.0,1
KILL_SHOT,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,27,1,0.22,3.5,6.0,4.0,1
KILL_SHOT,GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,21,2,-0.26,-9.25,-6.0,-18.0,1
KILL_SHOT,GENTLE_CONVEX_DOWN,GENTLE_LINEAR_UP,14,8,0.36,1.44,5.0,12.0,1
KILL_SHOT,GENTLE_CONVEX_DOWN,NOISE,200,25,1.65,1.04,330.0,26.0,1
