tier,sub_motif_shape,measure_shape,n_is,n_oos,mean_is,mean_oos,sum_is,sum_oos,sign_match,total_bleed
FADE_CALM,STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,248,59,-0.56,-1.17,-139.0,-69.0,1,-208.0
KILL_SHOT,STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,85,23,-0.62,-5.35,-53.0,-123.0,1,-176.0
CASCADE,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,39,12,-0.33,-13.54,-13.0,-162.0,1,-175.0
CASCADE,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,97,26,-1.43,-1.37,-138.0,-36.0,1,-174.0
NMP_FADE_RAW,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,1233,252,-0.06,-0.36,-74.0,-90.0,1,-164.0
KILL_SHOT,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,251,43,-0.37,-1.56,-93.0,-67.0,1,-160.0
FADE_CALM,FLATLINE,STEEP_CONCAVE_UP,328,40,-0.14,-2.83,-44.0,-113.0,1,-157.0
NMP_FADE_RAW,STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,114,47,-0.34,-2.51,-38.0,-118.0,1,-156.0
FADE_CALM,GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,238,20,-0.6,-0.57,-142.0,-12.0,1,-154.0
KILL_SHOT,GENTLE_LINEAR_UP,STEEP_LINEAR_DOWN,75,10,-1.77,-2.0,-132.0,-20.0,1,-152.0
FADE_AT_BAND,STEEP_CONVEX_UP,STEEP_CONCAVE_UP,79,12,-0.87,-6.54,-69.0,-78.0,1,-147.0
CASCADE,FLATLINE,STEEP_LINEAR_DOWN,53,19,-2.27,-1.05,-120.0,-20.0,1,-140.0
CASCADE,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,91,24,-0.26,-4.79,-24.0,-115.0,1,-139.0
NMP_FADE_RAW,STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,144,35,-0.91,-0.1,-130.0,-4.0,1,-134.0
FADE_MOMENTUM,STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,42,22,-0.37,-5.3,-16.0,-116.0,1,-132.0
FADE_CALM,GENTLE_CONCAVE_UP,STEEP_CONCAVE_DOWN,114,10,-1.01,-1.5,-116.0,-15.0,1,-131.0
FADE_AGAINST,FLATLINE,STEEP_LINEAR_UP,41,16,-2.27,-2.31,-93.0,-37.0,1,-130.0
FADE_AT_BAND,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,29,22,-1.26,-4.25,-36.0,-94.0,1,-130.0
FADE_CALM,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,143,32,-0.3,-2.48,-44.0,-80.0,1,-124.0
NMP_FADE_RAW,STEEP_LINEAR_DOWN,STEEP_CONVEX_UP,115,44,-0.54,-1.39,-62.0,-61.0,1,-123.0
FADE_AGAINST,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,45,24,-0.72,-3.58,-32.0,-86.0,1,-118.0
FADE_AGAINST,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,49,13,-0.71,-6.31,-35.0,-82.0,1,-117.0
CASCADE,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,89,13,-0.71,-3.88,-64.0,-50.0,1,-114.0
KILL_SHOT,GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,165,53,-0.38,-0.87,-62.0,-46.0,1,-108.0
