tier,measure_shape,n_is,n_oos,mean_is,mean_oos,sum_is,sum_oos,sign_match,total_bleed
NMP_FADE_RAW,STEEP_LINEAR_DOWN,10373,2281,-1.36,-1.47,-14152.0,-3362.0,1,-17514.0
NMP_FADE_RAW,STEEP_LINEAR_UP,10152,1977,-1.35,-1.6,-13672.0,-3160.0,1,-16832.0
FADE_AT_BAND,STEEP_LINEAR_DOWN,4407,1285,-1.48,-1.24,-6515.0,-1600.0,1,-8115.0
FADE_MOMENTUM,STEEP_LINEAR_DOWN,2460,763,-2.18,-1.8,-5366.0,-1372.0,1,-6738.0
FADE_CALM,STEEP_LINEAR_UP,2922,462,-1.71,-1.62,-4998.0,-750.0,1,-5748.0
FADE_AT_BAND,STEEP_LINEAR_UP,4372,1107,-1.0,-0.55,-4358.0,-606.0,1,-4964.0
FADE_MOMENTUM,STEEP_LINEAR_UP,2036,559,-1.46,-2.04,-2975.0,-1141.0,1,-4116.0
FADE_CALM,STEEP_LINEAR_DOWN,2853,456,-1.16,-1.66,-3311.0,-758.0,1,-4069.0
KILL_SHOT,STEEP_LINEAR_DOWN,1875,403,-1.41,-2.59,-2644.0,-1043.0,1,-3687.0
KILL_SHOT,STEEP_LINEAR_UP,1685,332,-1.4,-1.95,-2367.0,-648.0,1,-3015.0
NMP_FADE_RAW,STEEP_CONCAVE_DOWN,1300,233,-1.29,-2.52,-1673.0,-586.0,1,-2259.0
RIDE_AGAINST,STEEP_CONVEX_DOWN,123,29,-8.44,-7.86,-1038.0,-228.0,1,-1266.0
CASCADE,STEEP_LINEAR_UP,326,109,-1.62,-5.51,-528.0,-600.0,1,-1128.0
NMP_FADE_RAW,STEEP_CONVEX_UP,1127,193,-0.62,-1.11,-694.0,-214.0,1,-908.0
FADE_AT_BAND,STEEP_CONCAVE_DOWN,534,168,-1.01,-1.7,-542.0,-285.0,1,-827.0
FADE_AGAINST,STEEP_LINEAR_UP,508,133,-1.04,-1.36,-526.0,-180.0,1,-706.0
CASCADE,STEEP_LINEAR_DOWN,491,135,-0.89,-1.85,-439.0,-250.0,1,-689.0
FADE_CALM,STEEP_CONCAVE_DOWN,504,58,-1.05,-2.38,-528.0,-138.0,1,-666.0
KILL_SHOT,STEEP_CONCAVE_DOWN,343,46,-1.55,-1.68,-532.0,-78.0,1,-610.0
FADE_MOMENTUM,STEEP_CONCAVE_DOWN,171,53,-1.12,-1.73,-192.0,-92.0,1,-284.0
FADE_AGAINST,STEEP_LINEAR_DOWN,373,108,-0.51,-0.58,-188.0,-62.0,1,-250.0
FADE_AGAINST,STEEP_CONCAVE_DOWN,37,17,-1.3,-2.03,-48.0,-34.0,1,-82.0
NMP_FADE_RAW,GENTLE_CONCAVE_DOWN,97,11,-0.57,-1.95,-56.0,-22.0,1,-78.0
