tf,c1,c2,regime_min,regime_max,d2_r_min,d2_r_max,min_h1,min_h2,max_h1,max_h2,confirmed
1h,price_velocity_w,price_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.8375531557001195,0.8872957470571535,-0.9105639902390493,-0.43452729554950353,0.9010227132109555,0.7122156785992415,True
15m,price_velocity_w,price_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.8077892226610971,0.8461087583218551,-0.8124521661516874,-0.7731252265740675,0.8567552676424164,0.77194913704499,True
1h,price_velocity_w,swing_noise_w,DOWN_SMOOTH,UP_SMOOTH,-0.7510253569156315,0.7664648976615622,-0.826307653861246,-0.28778457433816007,0.8061045253675732,0.3004656504072593,True
15m,price_velocity_w,SE_low_w,DOWN_SMOOTH,UP_SMOOTH,-0.7340753062552551,0.7605053732901337,-0.7471484693004996,-0.6126179047362149,0.7954913721075549,0.5628144130371754,True
1h,price_velocity_w,SE_low_w,DOWN_SMOOTH,UP_SMOOTH,-0.6852153412026505,0.8010091734498316,-0.8000070074083231,0.011250252773346384,0.8386906716921505,0.3674938044381662,False
15m,price_velocity_w,SE_high_w,DOWN_SMOOTH,UP_SMOOTH,-0.6988279965587822,0.787214068736512,-0.7137013381703161,-0.558942183988047,0.8099749638383811,0.6240000692024732,True
1h,price_velocity_w,SE_high_w,DOWN_SMOOTH,UP_SMOOTH,-0.6405956783087119,0.8245052929244543,-0.76712409000886,0.0565257487510124,0.857086901646405,0.41165256100085035,False
5m,price_velocity_w,price_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.624167136031266,0.7033909717447528,-0.635368854483787,-0.5576550848870255,0.7244783559292112,0.6161865042058203,True
1h,bar_range,body,DOWN_SMOOTH,UP_SMOOTH,-0.5902457798963615,0.7124664536738344,-0.6144245869850934,-0.48211985550482767,0.7380447263860715,0.597499906499471,True
1h,price_velocity_1b,bar_range,DOWN_SMOOTH,UP_SMOOTH,-0.5997344811708337,0.6960084615130614,-0.6205780017114072,-0.48701414606161925,0.7192062085443798,0.5828030100236492,True
1h,price_velocity_w,vol_mean_w,DOWN_SMOOTH,UP_SMOOTH,-0.6822117692361835,0.5480840976736608,-0.7384559213886904,-0.3980697243769274,0.6426706141510569,0.27920693369623667,True
15m,price_velocity_w,swing_noise_w,DOWN_SMOOTH,UP_SMOOTH,-0.5646444959621644,0.6154844797727159,-0.562960417324532,-0.5301092521218279,0.621447008827911,0.5202599367286166,True
5m,price_velocity_w,SE_high_w,DOWN_SMOOTH,UP_SMOOTH,-0.4821724862674416,0.6292951873702396,-0.5054582416319688,-0.31461844046057436,0.6537906433059936,0.5074418463448381,True
5m,price_velocity_w,SE_low_w,DOWN_SMOOTH,UP_SMOOTH,-0.5311447915641064,0.5666458381348465,-0.5557965213578064,-0.3409310105397084,0.5963890816759798,0.4220039700790412,True
1m,price_velocity_w,price_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.4984958864675218,0.5348318225482117,-0.5177335795162458,-0.3740947818924735,0.5598704911892444,0.4297703119016157,True
