vol_q,var_q,n,dominant_regime,dominant_pct,mean_fwd,std_fwd,win_rate,pct_UP_SMOOTH,pct_UP_CHOPPY,pct_DOWN_SMOOTH,pct_DOWN_CHOPPY,pct_FLAT_SMOOTH,pct_FLAT_CHOPPY
0,0,10834,FLAT_CHOPPY,0.3644083441019014,0.4426804504338195,30.41871084693091,0.5230755030459664,0.17648144729555104,0.08279490492892745,0.07107254938157652,0.05011999261583903,0.25512276167620457,0.3644083441019014
0,1,4271,FLAT_CHOPPY,0.43994380707094355,-0.05982205572465465,37.422565533590415,0.5008194802154062,0.12292203231093421,0.055958791852025284,0.09178178412549755,0.060173261531257315,0.22922032310934207,0.43994380707094355
0,2,513,FLAT_CHOPPY,0.5360623781676414,27.27485380116959,171.5025082702762,0.5769980506822612,0.09746588693957114,0.07212475633528265,0.050682261208576995,0.037037037037037035,0.20662768031189083,0.5360623781676414
1,0,3494,FLAT_CHOPPY,0.3222667429879794,1.522610188895249,46.92714051564832,0.5403548941041786,0.18946765884373212,0.08013737836290784,0.10646823125357756,0.06239267315397825,0.23926731539782484,0.3222667429879794
1,1,7184,FLAT_CHOPPY,0.3517538975501114,-3.0172953786191536,54.45609513457634,0.49568485523385303,0.13335189309576836,0.09131403118040089,0.11943207126948775,0.07321826280623608,0.23092984409799555,0.3517538975501114
1,2,4953,FLAT_CHOPPY,0.42459115687462146,-0.2661518271754492,84.06216262113634,0.49202503533212194,0.13688673531193216,0.08782556026650515,0.11689884918231375,0.07631738340399757,0.15748031496062992,0.42459115687462146
2,0,1298,FLAT_CHOPPY,0.3066255778120185,1.525231124807396,39.05342120642561,0.5493066255778121,0.15947611710323575,0.12018489984591679,0.06702619414483821,0.05778120184899846,0.2889060092449923,0.3066255778120185
2,1,4167,FLAT_CHOPPY,0.36453083753299736,2.203323734101272,54.77659214627589,0.5399568034557235,0.15670746340292777,0.09503239740820735,0.07751379889608831,0.04967602591792657,0.25653947684185263,0.36453083753299736
2,2,10167,FLAT_CHOPPY,0.44536244713288087,2.420182944821481,102.73460300779941,0.5393921510770139,0.1476345037867611,0.08143995278843316,0.12343857578440051,0.07524343464148717,0.1268810858660372,0.44536244713288087
