feature,d_IS,d_OOS,d_all,sign_match,min_abs_d
prior_range,0.6378029887197058,0.881115711220046,0.7181734151793863,True,0.6378029887197058
prior_intraday_range,0.6378029887197058,1.8943562319288991,0.7108803793916476,True,0.6378029887197058
range_compression,0.49641562003364176,0.8810814683330749,0.6080716033224813,True,0.49641562003364176
prior_vr_60_240,0.4620561485714068,0.6975005470084789,0.4706595529734766,True,0.4620561485714068
mean_range_5d,0.44186955511762216,0.9606844023042378,0.5411100120545229,True,0.44186955511762216
variance_ratio_5_20,0.34998878888924995,0.3933972254048954,0.35835469150202875,True,0.34998878888924995
mean_range_20d,0.22905473668936746,0.9744138931477672,0.22274751233130793,True,0.22905473668936746
dow,0.19595333421763242,0.8314746800909221,0.3882119019935594,True,0.19595333421763242
cum_drift_5d_sign,0.17563189017533473,-0.1500468969841066,0.06990065230831323,False,0.1500468969841066
mean_efficiency_5d,-0.1075236348144535,-0.3055873526960674,-0.18597228567064078,True,0.1075236348144535
prior_vr_5_60,0.09602878691651714,0.8936398232968362,0.11851422472440869,True,0.09602878691651714
prior_intraday_atr_5m,-0.08314602703025244,-0.06433326156115315,-0.08101977429866757,True,0.06433326156115315
prior_efficiency,0.04393210686485394,-0.06517048080756083,0.0037555668155662032,False,0.04393210686485394
cum_drift_5d,0.03628267323272464,0.04613067118531614,0.03399308373042398,True,0.03628267323272464
prior_intraday_efficiency,0.0064494670891758555,-0.060476865323733954,-0.0014169487857708446,False,0.0064494670891758555
prior_drift,0.0060662722343352415,-0.13369717417797392,-0.0499914437488582,False,0.0060662722343352415
close_above_20d_max,,,,False,0.0
