side,bin,range,n,pct_side,mean_abs,median_abs
UP,UP_0_3,"[0.0, 2.9)",1480,16.5,1.52,1.5
UP,UP_3_7,"[2.9, 7.3)",2079,23.18,5.04,5.0
UP,UP_7_12,"[7.3, 11.6)",1372,15.3,9.44,9.5
UP,UP_12_178,"[11.6, 177.6)",4002,44.62,30.44,22.25
UP,UP_178_271,"[177.6, 270.8)",25,0.28,208.19,207.75
UP,UP_271_426,"[270.8, 426.4)",8,0.09,320.0,316.5
UP,UP_426_609,"[426.4, 608.9)",2,0.02,507.88,507.88
UP,UP_609+,"[608.9, 802.8)",2,0.02,742.88,742.88
DN,DN_0_2,"[0.0, 2.4)",1153,13.76,1.26,1.25
DN,DN_2_7,"[2.4, 7.5)",2181,26.04,4.76,4.75
DN,DN_7_13,"[7.5, 12.8)",1554,18.55,9.88,9.75
DN,DN_13_458,"[12.8, 458.5)",3486,41.61,35.43,25.0
DN,DN_458+,"[458.5, 781.5)",3,0.04,644.83,598.25
