Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ SEP26,Backtest,EnsembleRunner_v0.3-RC,Long,1,30805.75,30641.75,6/22/2026 6:44:00 AM,6/22/2026 7:47:00 AM,Long,X_RTriggerReversal,($329.90),($329.90),$1.90,$0.00,$0.00,$0.00,$0.00,$386.00,$324.00,$653.90,64,
2,MNQ SEP26,Backtest,EnsembleRunner_v0.3-RC,Short,1,30644.75,30652.25,6/22/2026 7:50:00 AM,6/22/2026 1:56:00 PM,Short,X_SessionFlatten,($16.90),($346.80),$1.90,$0.00,$0.00,$0.00,$0.00,$70.00,$284.00,$300.90,367,
3,MNQ SEP26,Backtest,EnsembleRunner_v0.3-RC,Long,1,29747.75,29746.25,6/23/2026 6:40:00 AM,6/23/2026 8:20:00 AM,Long,X_RTriggerReversal,($4.90),($351.70),$1.90,$0.00,$0.00,$0.00,$0.00,$56.00,$598.00,$602.90,101,
4,MNQ SEP26,Backtest,EnsembleRunner_v0.3-RC,Long,1,29858.50,29725.25,6/23/2026 10:17:00 AM,6/23/2026 1:56:00 PM,Long,X_SessionFlatten,($268.40),($620.10),$1.90,$0.00,$0.00,$0.00,$0.00,$562.50,$77.00,$345.40,220,
5,MNQ SEP26,Backtest,EnsembleRunner_v0.3-RC,Short,1,29809.25,29833.50,6/24/2026 6:36:00 AM,6/24/2026 7:59:00 AM,Short,X_RTriggerReversal,($50.40),($670.50),$1.90,$0.00,$0.00,$0.00,$0.00,$137.00,$568.00,$618.40,84,
6,MNQ SEP26,Backtest,EnsembleRunner_v0.3-RC,Short,1,29457.50,29544.75,6/24/2026 10:22:00 AM,6/24/2026 1:02:00 PM,Short,X_RTriggerReversal,($176.40),($846.90),$1.90,$0.00,$0.00,$0.00,$0.00,$211.50,$389.00,$565.40,161,
7,MNQ SEP26,Backtest,EnsembleRunner_v0.3-RC,Long,1,29865.25,30107.50,6/24/2026 1:11:00 PM,6/24/2026 1:56:00 PM,Long,X_SessionFlatten,$482.60,($364.30),$1.90,$0.00,$0.00,$0.00,$0.00,$73.00,$587.00,$104.40,46,
8,MNQ SEP26,Backtest,EnsembleRunner_v0.3-RC,Short,1,29905.75,29670.50,6/25/2026 6:43:00 AM,6/25/2026 7:38:00 AM,Short,X_RTriggerReversal,$468.60,$104.30,$1.90,$0.00,$0.00,$0.00,$0.00,$15.50,$1218.50,$749.90,56,
9,MNQ SEP26,Backtest,EnsembleRunner_v0.3-RC,Long,1,29794.75,29669.50,6/25/2026 11:01:00 AM,6/25/2026 12:18:00 PM,Long,X_RTriggerReversal,($252.40),($148.10),$1.90,$0.00,$0.00,$0.00,$0.00,$311.00,$193.50,$445.90,78,
10,MNQ SEP26,Backtest,EnsembleRunner_v0.3-RC,Long,1,29509.25,29442.25,6/26/2026 7:02:00 AM,6/26/2026 11:51:00 AM,Long,X_RTriggerReversal,($135.90),($284.00),$1.90,$0.00,$0.00,$0.00,$0.00,$200.50,$416.00,$551.90,290,
11,MNQ SEP26,Backtest,EnsembleRunner_v0.3-RC,Long,1,29501.50,29292.50,6/26/2026 12:16:00 PM,6/26/2026 1:56:00 PM,Long,X_SessionFlatten,($419.90),($703.90),$1.90,$0.00,$0.00,$0.00,$0.00,$493.50,$136.00,$555.90,101,
