day,pivot_ts,pivot_bar,n_bars,entry_ts,entry_bar,dir,entry_px,exit_ts,exit_bar,exit_px,exit_reason,ride_pnl_usd,stop_pnl_usd,combiner_P
2024_01_30,,-12,33,1706626260,21,1,17669.5,1706626800,30,17644.5,R_TRIGGER,-51.0,-51.0,0.7564
2024_01_30,1706625180.0,3,27,1706626800,30,-1,17644.5,1706627220,37,17650.75,R_TRIGGER,-13.5,-13.5,0.9709
2024_01_30,1706626920.0,32,11,1706627580,43,-1,17649.25,1706628720,62,17658.75,R_TRIGGER,-20.0,-20.0,0.7388
2024_01_30,1706628360.0,56,8,1706628840,64,-1,17661.25,1706631960,116,17648.25,R_TRIGGER,25.0,25.0,0.7381
2024_01_30,1706630100.0,85,31,1706631960,116,1,17648.25,1706634900,165,17618.75,R_TRIGGER,-60.0,-60.0,0.952
2024_01_30,1706632320.0,122,52,1706635440,174,-1,17597.0,1706638500,225,17583.0,R_TRIGGER,27.0,27.0,0.7358
2024_01_30,1706637960.0,216,9,1706638500,225,1,17583.0,1706640540,259,17573.25,R_TRIGGER,-20.5,-20.5,0.9524
2024_01_30,1706639400.0,240,35,1706641500,275,-1,17565.75,1706642580,293,17577.5,R_TRIGGER,-24.5,-24.5,0.7543
2024_01_30,1706641860.0,281,12,1706642580,293,1,17577.5,1706646840,364,17580.5,R_TRIGGER,5.0,5.0,0.9477
2024_01_30,1706646480.0,358,6,1706646840,364,-1,17580.5,1706649180,403,17557.75,R_TRIGGER,44.5,44.5,0.7545
2024_01_31,,-60,61,1706711460,1,-1,17389.0,1706711640,4,17415.0,R_TRIGGER,-53.0,-53.0,0.7567
2024_01_31,1706711400.0,0,5,1706711700,5,-1,17423.25,1706712600,20,17381.5,R_TRIGGER,82.5,82.5,0.8131
2024_01_31,1706712300.0,15,9,1706712840,24,-1,17379.25,1706716860,91,17319.75,R_TRIGGER,118.0,118.0,0.7637
2024_01_31,1706715420.0,67,25,1706716920,92,1,17319.75,1706727600,270,17345.5,R_TRIGGER,50.5,50.5,0.9469
2024_01_31,1706725200.0,230,40,1706727600,270,-1,17345.5,1706727900,275,17361.0,R_TRIGGER,-32.0,-32.0,0.8624
2024_01_31,1706727720.0,272,3,1706727900,275,-1,17361.0,1706729460,301,17348.5,R_TRIGGER,24.0,24.0,0.817
2024_01_31,1706728980.0,293,8,1706729460,301,-1,17348.5,1706729990,,17297.5,CAT_STOP,101.0,-101.0,0.7926
2024_01_31,1706731620.0,337,3,1706731800,340,-1,17297.5,1706732580,353,17322.75,R_TRIGGER,-51.5,-51.5,0.8333
2024_01_31,1706732400.0,350,5,1706732700,355,-1,17291.0,1706734620,387,17271.25,R_TRIGGER,38.5,38.5,0.7543
2024_01_31,1706734440.0,384,4,1706734680,388,-1,17258.5,1706735400,400,17263.0,R_TRIGGER,-10.0,-10.0,0.7608
2024_01_31,1706734860.0,391,11,1706735520,402,1,17264.5,1706735700,405,17265.75,SESSION_CLOSE,1.5,1.5,0.9558
2024_02_01,,-50,51,1706797860,1,-1,17315.25,1706798040,4,17333.75,R_TRIGGER,-38.0,-38.0,0.7394
2024_02_01,1706797860.0,1,3,1706798040,4,1,17333.75,1706799360,26,17298.25,R_TRIGGER,-72.0,-72.0,0.76
2024_02_01,1706798640.0,14,14,1706799480,28,-1,17292.0,1706799840,34,17316.25,R_TRIGGER,-49.5,-49.5,0.7651
2024_02_01,1706799600.0,30,6,1706799960,36,1,17312.0,1706800860,51,17314.5,R_TRIGGER,4.0,4.0,0.7785
2024_02_01,1706800920.0,52,8,1706801400,60,1,17366.25,1706802120,72,17342.0,R_TRIGGER,-49.5,-49.5,0.778
2024_02_01,1706801400.0,60,15,1706802300,75,1,17344.0,1706802895,,17357.75,CAT_STOP,26.5,-101.0,0.7431
2024_02_01,1706807400.0,160,12,1706808120,172,-1,17357.75,1706809620,197,17369.0,R_TRIGGER,-23.5,-23.5,0.9481
2024_02_01,1706808780.0,183,15,1706809680,198,1,17376.0,1706810280,208,17378.25,R_TRIGGER,3.5,3.5,0.9512
2024_02_01,1706810100.0,205,7,1706810520,212,-1,17361.75,1706811180,223,17369.5,R_TRIGGER,-16.5,-16.5,0.9582
2024_02_01,1706810820.0,217,8,1706811300,225,1,17368.5,1706812620,247,17354.25,R_TRIGGER,-29.5,-29.5,0.9502
2024_02_01,1706812440.0,244,3,1706812620,247,-1,17354.25,1706813400,260,17378.75,R_TRIGGER,-50.0,-50.0,0.9745
2024_02_01,1706812920.0,252,12,1706813640,264,1,17379.5,1706820600,380,17419.5,R_TRIGGER,79.0,79.0,0.9647
2024_02_01,1706820000.0,370,10,1706820600,380,-1,17419.5,1706821140,389,17440.0,R_TRIGGER,-42.0,-42.0,0.7816
2024_02_01,1706820780.0,383,8,1706821260,391,1,17462.0,1706822100,405,17557.25,SESSION_CLOSE,189.5,189.5,0.9694
2024_02_02,,-46,46,1706884200,0,1,17502.75,1706885460,21,17577.75,R_TRIGGER,149.0,149.0,0.7786
2024_02_02,1706885280.0,18,7,1706885700,25,1,17573.0,1706886540,39,17576.75,R_TRIGGER,6.5,6.5,0.7591
2024_02_02,1706886060.0,31,9,1706886600,40,1,17582.5,1706887860,61,17566.25,R_TRIGGER,-33.5,-33.5,0.7579
2024_02_02,1706887500.0,55,7,1706887920,62,-1,17555.5,1706888280,68,17591.5,R_TRIGGER,-73.0,-73.0,0.958
2024_02_02,1706887920.0,62,7,1706888340,69,1,17617.0,1706889660,91,17623.0,R_TRIGGER,11.0,11.0,0.9598
2024_02_02,1706888880.0,78,14,1706889720,92,-1,17609.5,1706890320,102,17654.0,R_TRIGGER,-90.0,-90.0,0.9653
2024_02_02,1706889840.0,94,13,1706890620,107,1,17654.5,1706895840,194,17682.5,R_TRIGGER,55.0,55.0,0.9673
2024_02_02,1706895120.0,182,12,1706895840,194,-1,17682.5,1706896740,209,17710.0,R_TRIGGER,-56.0,-56.0,0.7572
2024_02_02,1706895960.0,196,14,1706896800,210,1,17719.0,1706898360,236,17696.5,R_TRIGGER,-46.0,-46.0,0.9538
2024_02_02,1706897880.0,228,10,1706898480,238,-1,17709.25,1706899500,255,17725.5,R_TRIGGER,-33.5,-33.5,0.7756
2024_02_02,1706899020.0,247,21,1706900280,268,1,17727.0,1706907540,389,17729.5,R_TRIGGER,4.0,4.0,0.7454
2024_02_02,1706902920.0,312,77,1706907540,389,-1,17729.5,1706908500,405,17716.75,SESSION_CLOSE,24.5,24.5,0.7427
2024_02_05,,-32,32,1707143400,0,1,17713.75,1707143880,8,17703.0,R_TRIGGER,-22.5,-22.5,0.7353
2024_02_05,1707143640.0,4,4,1707143880,8,1,17703.0,1707144600,20,17679.0,R_TRIGGER,-49.0,-49.0,0.7705
