dow,tod_hour,n_cat_events,n_above,n_below,P_above,cilo,cihi,mean_signed_z,mean_abs_z,skew_strength
Tue,14,17,0,17,0.0526,0.0014,0.1853,-10.57,10.57,0.4474
Thu,14,15,0,15,0.0588,0.0016,0.2059,-10.22,10.22,0.4412
Thu,2,33,2,31,0.0857,0.0186,0.1968,-21.77,26.39,0.4143
Tue,2,45,5,40,0.1277,0.0494,0.2357,-13.89,18.5,0.37229999999999996
Fri,2,17,2,15,0.1579,0.0358,0.3471,-11.05,13.88,0.34209999999999996
Wed,2,25,7,18,0.2963,0.1433,0.4779,-24.96,33.16,0.2037
