dow,tod_hour,n_cat_events,n_above,n_below,P_above,cilo,cihi,mean_signed_z,mean_abs_z
Fri,2,17,2,15,0.1579,0.0358,0.3471,-11.05,13.88
Fri,13,11,0,11,0.0769,0.0021,0.2646,-7.71,7.71
Fri,15,13,0,13,0.0667,0.0018,0.2316,-9.81,9.81
Mon,2,13,1,12,0.1333,0.0178,0.3387,-18.54,23.43
Thu,2,33,2,31,0.0857,0.0186,0.1968,-21.77,26.39
Thu,14,15,0,15,0.0588,0.0016,0.2059,-10.22,10.22
Tue,2,45,5,40,0.1277,0.0494,0.2357,-13.89,18.5
Tue,13,10,0,10,0.0833,0.0023,0.2849,-9.9,9.9
Tue,14,17,0,17,0.0526,0.0014,0.1853,-10.57,10.57
Wed,2,25,7,18,0.2963,0.1433,0.4779,-24.96,33.16
Wed,14,12,0,12,0.0714,0.0019,0.2471,-9.54,9.54
