trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,exit_reason,chain_idx,day
1,10:56,1737370200.0,short,21630.25,21629.0,2.5,6,5.0,KILL_SHOT,kill_shot_inverse,0,2025_01_20
2,13:05,1737378120.0,long,21565.25,21574.5,18.5,3,18.5,KILL_SHOT,kill_shot_peak,0,2025_01_20
0,06:13,1737353280.0,short,21566.5,21573.75,-14.5,5,0.0,KILL_SHOT_INVERSE,kill_shot_inverse_inverse,0,2025_01_20
1,10:54,1737370140.0,long,21631.5,21632.25,1.5,5,5.0,KILL_SHOT_INVERSE,ksi_cluster_long_extension,0,2025_01_20
2,11:03,1737370560.0,short,21629.0,21623.5,11.0,7,16.5,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_20
3,13:16,1737378060.0,short,21561.75,21572.0,-20.5,15,0.0,KILL_SHOT_INVERSE,kill_shot_no_progress,0,2025_01_20
4,17:36,1737393660.0,long,21702.25,21692.75,-19.0,15,4.5,KILL_SHOT_INVERSE,kill_shot_no_progress,0,2025_01_20
0,03:28,1737429180.0,short,21618.75,21639.5,-41.5,15,0.0,KILL_SHOT,kill_shot_no_progress,0,2025_01_21
1,17:22,1737480000.0,long,21661.0,21673.75,25.5,2,25.5,KILL_SHOT,kill_shot_peak,0,2025_01_21
2,20:26,1737491040.0,long,21725.25,21735.75,21.0,2,21.0,KILL_SHOT,kill_shot_peak,0,2025_01_21
0,03:16,1737429120.0,long,21624.0,21626.5,5.0,4,5.0,KILL_SHOT_INVERSE,ksi_cluster_long_extension,0,2025_01_21
1,17:34,1737479940.0,short,21658.75,21706.75,-96.0,15,0.0,KILL_SHOT_INVERSE,kill_shot_no_progress,0,2025_01_21
2,19:16,1737486780.0,short,21747.0,21725.75,42.5,3,42.5,KILL_SHOT_INVERSE,ksi_cluster_short_extension,0,2025_01_21
3,20:26,1737490980.0,short,21723.25,21735.75,-25.0,3,0.0,KILL_SHOT_INVERSE,kill_shot_inverse_inverse,0,2025_01_21
