dow,n_bars,P_cat_60m,cilo,cihi
Mon,66984,0.0146,0.0137,0.0155
Tue,70426,0.0445,0.043,0.046
Wed,70654,0.034,0.0327,0.0354
Thu,70202,0.036,0.0346,0.0373
Fri,63029,0.0364,0.035,0.0379
