dow,tod_hour,n,P_cat_60m,cilo,cihi
Mon,0,3010,0.0003,0.0,0.0012
Mon,1,2945,0.1513,0.1386,0.1645
Mon,2,2762,0.042,0.0348,0.0498
Mon,3,2610,0.0115,0.0078,0.0159
Mon,4,2471,0.0044,0.0022,0.0074
Mon,5,2550,0.0235,0.018,0.0297
Mon,6,2738,0.012,0.0083,0.0165
Mon,7,2968,0.0104,0.0071,0.0144
Mon,8,3045,0.0003,0.0,0.0012
Mon,9,2916,0.0003,0.0,0.0013
Mon,10,2852,0.0004,0.0,0.0013
Mon,11,2950,0.0003,0.0,0.0012
Mon,12,3101,0.0003,0.0,0.0012
Mon,13,3210,0.0084,0.0055,0.0118
Mon,14,3278,0.0415,0.0349,0.0485
Mon,15,3282,0.011,0.0077,0.0148
Mon,16,3272,0.0095,0.0064,0.0131
Mon,17,3166,0.0098,0.0067,0.0135
Mon,18,2938,0.0003,0.0,0.0013
Mon,19,2940,0.0003,0.0,0.0013
Mon,20,2802,0.0004,0.0,0.0013
Mon,21,1169,0.0009,0.0,0.0031
Mon,22,1357,0.0007,0.0,0.0027
Mon,23,2652,0.0004,0.0,0.0014
Tue,0,2988,0.0003,0.0,0.0012
Tue,1,2977,0.3988,0.3813,0.4164
Tue,2,2811,0.1187,0.107,0.1309
Tue,3,2636,0.0523,0.0441,0.0611
Tue,4,2444,0.0437,0.036,0.0522
Tue,5,2667,0.0341,0.0275,0.0413
Tue,6,2798,0.0157,0.0114,0.0206
Tue,7,3029,0.0228,0.0178,0.0284
Tue,8,3137,0.0112,0.0078,0.0151
Tue,9,2985,0.0167,0.0125,0.0216
Tue,10,2967,0.0003,0.0,0.0012
Tue,11,3086,0.0003,0.0,0.0012
Tue,12,3249,0.0329,0.0271,0.0393
Tue,13,3362,0.1082,0.0979,0.1189
Tue,14,3415,0.1282,0.1172,0.1396
Tue,15,3416,0.0015,0.0005,0.003
Tue,16,3416,0.0003,0.0,0.0011
Tue,17,3408,0.0132,0.0096,0.0173
Tue,18,3404,0.0226,0.0179,0.0279
Tue,19,3408,0.0006,0.0001,0.0016
Tue,20,3240,0.017,0.0128,0.0217
Tue,21,1395,0.0007,0.0,0.0026
Tue,22,1495,0.0007,0.0,0.0025
Tue,23,2693,0.0004,0.0,0.0014
Wed,0,3009,0.0003,0.0,0.0012
Wed,1,2928,0.3242,0.3074,0.3413
Wed,2,2714,0.0479,0.0402,0.0562
Wed,3,2548,0.0231,0.0177,0.0293
Wed,4,2429,0.0255,0.0196,0.0321
Wed,5,2578,0.0566,0.048,0.0658
Wed,6,2787,0.0384,0.0316,0.0458
Wed,7,2996,0.0047,0.0026,0.0074
Wed,8,3117,0.0003,0.0,0.0012
Wed,9,3009,0.0027,0.0011,0.0048
Wed,10,3000,0.0256,0.0203,0.0316
Wed,11,3082,0.0389,0.0324,0.046
Wed,12,3268,0.0431,0.0364,0.0503
Wed,13,3411,0.0897,0.0803,0.0995
Wed,14,3459,0.0335,0.0278,0.0398
Wed,15,3465,0.0003,0.0,0.0011
Wed,16,3457,0.0159,0.012,0.0203
Wed,17,3459,0.009,0.0061,0.0124
Wed,18,3472,0.0107,0.0075,0.0143
Wed,19,3466,0.0115,0.0083,0.0153
Wed,20,3312,0.0066,0.0042,0.0097
Wed,21,1413,0.0007,0.0,0.0026
Wed,22,1560,0.0006,0.0,0.0024
Wed,23,2715,0.0004,0.0,0.0014
Thu,0,3037,0.0003,0.0,0.0012
Thu,1,2984,0.2351,0.2201,0.2505
Thu,2,2762,0.098,0.0872,0.1094
Thu,3,2641,0.0219,0.0167,0.0279
Thu,4,2450,0.0322,0.0256,0.0396
Thu,5,2669,0.0172,0.0126,0.0225
Thu,6,2842,0.0447,0.0374,0.0525
Thu,7,3071,0.0286,0.023,0.0348
Thu,8,3187,0.0204,0.0158,0.0256
Thu,9,3076,0.027,0.0215,0.033
Thu,10,2988,0.005,0.0028,0.0078
Thu,11,3103,0.0361,0.0298,0.0429
Thu,12,3263,0.0383,0.032,0.0451
Thu,13,3421,0.0725,0.064,0.0814
Thu,14,3474,0.0958,0.0862,0.1058
Thu,15,3447,0.0246,0.0197,0.0301
Thu,16,3415,0.0211,0.0165,0.0261
Thu,17,3332,0.0057,0.0034,0.0085
Thu,18,3278,0.0003,0.0,0.0011
Thu,19,3289,0.0003,0.0,0.0011
Thu,20,3110,0.0003,0.0,0.0012
Thu,21,1341,0.0007,0.0,0.0027
Thu,22,1411,0.0007,0.0,0.0026
Thu,23,2611,0.005,0.0027,0.008
Fri,0,2889,0.0003,0.0,0.0013
Fri,1,2872,0.151,0.1382,0.1643
Fri,2,2643,0.0673,0.0581,0.0771
Fri,3,2504,0.0315,0.025,0.0387
Fri,4,2353,0.0004,0.0,0.0016
Fri,5,2519,0.0452,0.0375,0.0537
Fri,6,2670,0.0561,0.0477,0.0652
Fri,7,2887,0.0253,0.0199,0.0313
Fri,8,2995,0.0644,0.0559,0.0735
Fri,9,2924,0.0567,0.0486,0.0654
Fri,10,2857,0.0262,0.0207,0.0324
Fri,11,2955,0.0145,0.0105,0.0192
Fri,12,3150,0.0225,0.0176,0.028
Fri,13,3231,0.065,0.0567,0.0737
Fri,14,3240,0.0805,0.0714,0.0901
Fri,15,3230,0.0622,0.0541,0.0708
Fri,16,3229,0.0189,0.0145,0.0238
Fri,17,3180,0.0003,0.0,0.0012
Fri,18,3135,0.0003,0.0,0.0012
Fri,19,3120,0.0003,0.0,0.0012
Fri,20,3024,0.0003,0.0,0.0012
Fri,21,1422,0.0007,0.0,0.0026
