day,trades,pnl,wr,cumul,chained
2025_01_01,0,0.0,0.0,0.0,0
2025_01_02,13,-145.0,23.076923076923077,-145.0,13
2025_01_03,17,-14.0,52.94117647058824,-159.0,16
2025_01_05,0,0.0,0.0,-159.0,0
2025_01_06,13,244.0,69.23076923076923,85.0,11
2025_01_07,20,-93.0,40.0,-8.0,18
2025_01_08,16,161.0,56.25,153.0,14
2025_01_09,7,155.0,85.71428571428571,308.0,6
2025_01_10,14,93.0,50.0,401.0,12
2025_01_12,1,-12.0,0.0,389.0,0
2025_01_13,15,210.0,53.333333333333336,599.0,14
2025_01_14,15,740.0,73.33333333333333,1339.0,14
2025_01_15,20,-373.0,65.0,966.0,13
2025_01_16,23,-88.0,43.47826086956522,878.0,22
2025_01_17,8,294.5,75.0,1172.5,7
2025_01_19,0,0.0,0.0,1172.5,0
2025_01_20,18,-59.0,61.111111111111114,1113.5,12
2025_01_21,15,-198.0,53.333333333333336,915.5,13
2025_01_22,17,128.5,58.82352941176471,1044.0,13
2025_01_23,9,-123.5,22.22222222222222,920.5,7
2025_01_24,19,39.5,42.10526315789473,960.0,15
2025_01_26,2,1.0,50.0,961.0,0
2025_01_27,12,101.5,41.66666666666667,1062.5,11
2025_01_28,19,40.5,68.42105263157895,1103.0,16
2025_01_29,15,-214.0,33.33333333333333,889.0,13
2025_01_30,22,388.0,54.54545454545454,1277.0,17
2025_01_31,20,-25.0,50.0,1252.0,14
2025_02_02,0,0.0,0.0,1252.0,0
2025_02_03,17,243.5,41.17647058823529,1495.5,16
2025_02_04,20,123.5,45.0,1619.0,16
2025_02_05,16,-304.5,18.75,1314.5,13
2025_02_06,12,-50.0,50.0,1264.5,10
2025_02_07,16,-15.0,75.0,1249.5,14
2025_02_09,0,0.0,0.0,1249.5,0
2025_02_10,13,-184.5,23.076923076923077,1065.0,10
2025_02_11,20,170.0,65.0,1235.0,14
2025_02_12,19,252.5,57.89473684210527,1487.5,13
2025_02_13,20,-392.0,45.0,1095.5,15
2025_02_14,18,-9.5,44.44444444444444,1086.0,13
2025_02_16,2,4.5,50.0,1090.5,0
2025_02_17,17,-116.0,23.52941176470588,974.5,9
2025_02_18,15,-243.0,26.666666666666668,731.5,10
2025_02_19,25,94.0,52.0,825.5,17
2025_02_20,22,-141.5,36.36363636363637,684.0,14
2025_02_21,20,159.0,45.0,843.0,14
2025_02_23,0,0.0,0.0,843.0,0
2025_02_24,16,172.5,75.0,1015.5,14
2025_02_25,14,-77.5,50.0,938.0,12
2025_02_26,12,383.5,58.333333333333336,1321.5,12
2025_02_27,12,-157.0,41.66666666666667,1164.5,11
2025_02_28,11,-105.0,45.45454545454545,1059.5,10
2025_03_02,0,0.0,0.0,1059.5,0
2025_03_03,7,32.0,42.857142857142854,1091.5,7
2025_03_04,17,623.0,58.82352941176471,1714.5,17
2025_03_05,14,-20.5,50.0,1694.0,14
2025_03_06,12,-307.0,33.33333333333333,1387.0,11
2025_03_07,11,215.5,63.63636363636363,1602.5,11
2025_03_09,0,0.0,0.0,1602.5,0
2025_03_10,11,-203.5,36.36363636363637,1399.0,11
2025_03_11,11,-370.0,36.36363636363637,1029.0,10
