OOS PLAYBOOK — OOS
============================================================

Tradeable branches: 0
Total trades: 0
Total PnL: $0
Avg WR: 0%

Per-branch performance:
 Leaf     N     WR   AvgPnL   TotPnL   MaxDD
  279     9   22% $  -11.8 $   -106 $  -114
  210    12   33% $  -10.2 $   -122 $  -170
   14     5   20% $  -24.6 $   -123 $  -123
  338     9   22% $  -15.3 $   -138 $  -138
  353    15   33% $   -9.3 $   -139 $  -145
  213    12   42% $  -11.9 $   -143 $  -161
  191    65   54% $   -2.2 $   -145 $  -375
  226     3   33% $  -48.8 $   -146 $  -146
  339     8   62% $  -21.9 $   -175 $  -192
  401     1    0% $ -197.0 $   -197 $  -197
  188   234   51% $   -0.9 $   -214 $  -812
  158    37   38% $   -5.9 $   -220 $  -257
  149    17   53% $  -14.6 $   -248 $  -264
  198    14   21% $  -20.8 $   -291 $  -309
  477     7   43% $  -46.4 $   -325 $  -330
  176    55   56% $   -6.4 $   -350 $  -407
  239    47   53% $   -7.7 $   -362 $  -707
  234    51   29% $   -8.9 $   -454 $  -454
  157    46   61% $  -12.2 $   -562 $  -614
  394     8    0% $  -76.1 $   -608 $  -608

Promote candidates (skipped but winning on OOS):
  Branch 219: WR=65%, PnL=$5200
  Branch 212: WR=69%, PnL=$1990
  Branch 218: WR=66%, PnL=$1570
  Branch 205: WR=77%, PnL=$1518
  Branch 157: WR=61%, PnL=$-562
  Branch 163: WR=73%, PnL=$47
  Branch 345: WR=63%, PnL=$220
  Branch 209: WR=72%, PnL=$304
  Branch 349: WR=63%, PnL=$-72
  Branch 135: WR=91%, PnL=$1664
  Branch 203: WR=69%, PnL=$242
  Branch 134: WR=64%, PnL=$544
  Branch 425: WR=73%, PnL=$466
  Branch 131: WR=82%, PnL=$1442
  Branch 421: WR=81%, PnL=$1458
  Branch 423: WR=71%, PnL=$1423
  Branch 84: WR=68%, PnL=$58
  Branch 396: WR=82%, PnL=$1736
  Branch 206: WR=94%, PnL=$310
  Branch 267: WR=92%, PnL=$96
  Branch 455: WR=65%, PnL=$413
  Branch 333: WR=63%, PnL=$40
  Branch 190: WR=62%, PnL=$4
  Branch 222: WR=73%, PnL=$344
  Branch 23: WR=64%, PnL=$272
  Branch 427: WR=62%, PnL=$302
  Branch 426: WR=64%, PnL=$768
  Branch 415: WR=62%, PnL=$1424
  Branch 227: WR=83%, PnL=$270
  Branch 265: WR=70%, PnL=$-105
  Branch 424: WR=71%, PnL=$1362
  Branch 295: WR=64%, PnL=$42
