leaf_id,n_trades,actual_total,actual_avg,same_best_total,counter_best_total,optimal_total,avg_regret,total_regret,dominant_action,dominant_pct,avg_same_best_bar,avg_counter_best_bar
82,522,-6312.5,-12.092911877394636,13993.5,33518.0,42082.5,92.71072796934865,48395.0,counter_extended,59.961685823754785,16.662835249042146,16.908045977011493
150,944,6730.0,7.129237288135593,33271.0,19941.5,47863.0,43.57309322033898,41133.0,same_extended,55.08474576271186,15.898305084745763,16.27436440677966
78,159,-3134.0,-19.71069182389937,10151.5,22265.5,30094.5,208.98427672955975,33228.5,counter_extended,63.52201257861635,16.0188679245283,18.58490566037736
202,206,-6672.0,-32.38834951456311,5060.0,20548.5,24924.5,153.38106796116506,31596.5,counter_extended,68.44660194174757,16.402912621359224,18.601941747572816
156,530,80.0,0.1509433962264151,13113.5,14484.0,24939.5,46.904716981132076,24859.5,counter_extended,47.735849056603776,15.407547169811322,16.858490566037737
81,176,-244.5,-1.3892045454545454,11096.5,12032.5,20897.0,120.1221590909091,21141.5,counter_extended,51.70454545454546,15.585227272727273,15.8125
87,280,3548.5,12.673214285714286,17958.5,8291.5,23290.0,70.50535714285714,19741.5,same_extended,66.42857142857143,17.610714285714284,14.267857142857142
210,145,-1450.5,-10.00344827586207,6892.5,12347.0,17693.5,132.02758620689656,19144.0,counter_extended,58.620689655172406,14.73103448275862,17.455172413793104
149,341,5021.0,14.72434017595308,17265.0,9081.5,23378.0,53.83284457478006,18357.0,same_extended,60.410557184750736,16.58357771260997,15.519061583577713
93,201,-561.0,-2.791044776119403,7937.5,10681.5,16807.0,86.40796019900498,17368.0,counter_extended,55.72139303482587,16.761194029850746,16.855721393034827
89,134,1958.0,14.611940298507463,11367.5,7231.5,17043.0,112.57462686567165,15085.0,same_extended,56.71641791044776,17.64179104477612,17.171641791044777
94,307,-27.5,-0.08957654723127036,8262.0,8040.0,13944.5,45.5114006514658,13972.0,same_extended,48.20846905537459,16.7557003257329,16.64169381107492
147,311,2531.5,8.139871382636656,11889.5,6453.5,16293.0,44.249196141479096,13761.5,same_extended,55.948553054662376,16.041800643086816,17.633440514469452
157,194,1800.5,9.280927835051546,10284.0,6564.0,14763.5,66.81958762886597,12963.0,same_extended,52.57731958762887,15.489690721649485,16.932989690721648
90,178,25.0,0.1404494382022472,7407.0,7158.5,12537.5,70.29494382022472,12512.5,same_extended,48.87640449438202,19.365168539325843,16.0
39,219,-189.5,-0.865296803652968,6688.0,6797.5,12131.0,56.257990867579906,12320.5,same_extended,48.401826484018265,18.210045662100455,15.365296803652969
72,75,-1271.0,-16.946666666666665,4181.0,7076.5,10494.5,156.87333333333333,11765.5,counter_extended,52.0,17.893333333333334,13.626666666666667
97,154,1393.5,9.0487012987013,7994.5,5233.5,12415.0,71.56818181818181,11021.5,same_extended,55.1948051948052,15.902597402597403,16.07792207792208
184,188,-1336.0,-7.1063829787234045,4496.5,6029.5,9389.0,57.047872340425535,10725.0,counter_extended,50.0,16.622340425531913,16.72872340425532
206,94,-799.5,-8.50531914893617,3722.5,7310.0,9701.0,111.70744680851064,10500.5,counter_extended,52.12765957446809,12.77659574468085,16.861702127659573
203,61,-2563.5,-42.02459016393443,1043.5,6644.0,7769.5,169.39344262295083,10333.0,counter_extended,73.77049180327869,15.573770491803279,18.672131147540984
55,60,-2588.5,-43.141666666666666,1017.0,6740.0,7529.5,168.63333333333333,10118.0,counter_extended,71.66666666666667,14.216666666666667,18.466666666666665
146,153,112.5,0.7352941176470589,5649.0,5434.0,9860.0,63.709150326797385,9747.5,counter_extended,44.44444444444444,17.437908496732025,16.69934640522876
191,130,517.0,3.976923076923077,7039.5,4697.0,10256.0,74.91538461538461,9739.0,same_extended,60.76923076923077,17.03076923076923,17.607692307692307
