day,trades,pnl,wr,cumul,chained
2026_01_01,0,0.0,0.0,0.0,0
2026_01_02,11,10.5,72.72727272727273,10.5,9
2026_01_04,1,-47.5,0.0,-37.0,1
2026_01_05,13,124.0,53.84615384615385,87.0,13
2026_01_06,11,51.0,54.54545454545454,138.0,5
2026_01_07,16,-95.0,56.25,43.0,11
2026_01_08,21,-85.5,47.61904761904761,-42.5,17
2026_01_09,22,229.0,54.54545454545454,186.5,20
2026_01_11,0,0.0,0.0,186.5,0
2026_01_12,8,119.5,62.5,306.0,8
2026_01_13,15,-192.0,46.666666666666664,114.0,10
2026_01_14,8,213.5,62.5,327.5,8
2026_01_15,16,157.5,68.75,485.0,15
2026_01_16,15,-67.0,40.0,418.0,12
2026_01_18,0,0.0,0.0,418.0,0
2026_01_19,18,218.0,66.66666666666666,636.0,16
2026_01_20,15,-96.0,53.333333333333336,540.0,14
2026_01_21,18,141.5,50.0,681.5,14
2026_01_22,17,398.0,52.94117647058824,1079.5,16
2026_01_23,16,-101.0,31.25,978.5,15
2026_01_25,0,0.0,0.0,978.5,0
2026_01_26,14,-206.0,35.714285714285715,772.5,11
2026_01_27,14,2.5,50.0,775.0,10
2026_01_28,19,-93.0,52.63157894736842,682.0,16
2026_01_29,12,-463.0,33.33333333333333,219.0,8
2026_01_30,12,-207.5,50.0,11.5,10
2026_02_01,0,0.0,0.0,11.5,0
2026_02_02,12,-435.5,41.66666666666667,-424.0,11
2026_02_03,21,-234.0,47.61904761904761,-658.0,17
2026_02_04,13,99.5,46.15384615384615,-558.5,13
2026_02_05,16,718.0,68.75,159.5,16
2026_02_06,13,-933.5,23.076923076923077,-774.0,13
2026_02_08,1,-33.5,0.0,-807.5,1
2026_02_09,15,-49.0,46.666666666666664,-856.5,15
