threshold,n,accuracy,lift,pct_data
1,13298,0.6040006015942248,0.07530295540821275,89.68773184056114
2,13157,0.6051531504142281,0.07645550422821612,88.73676401160046
3,12328,0.6097501622323167,0.0810525160463047,83.14561273352668
4,12173,0.6102850570935677,0.08158741090755572,82.1002225669387
5,9406,0.6306612800340209,0.10196363384800888,63.43832198017131
6,9277,0.6315619273472027,0.10286428116119073,62.5682875834626
7,8313,0.6391194514615662,0.11042180527555423,56.06663519255412
8,8209,0.6397856011694482,0.11108795498343615,55.36521211303703
9,5456,0.658724340175953,0.13002669398994104,36.797733863896944
10,5378,0.659166976571216,0.13046933038520403,36.27166655425913
11,4815,0.6654205607476635,0.13672291456165153,32.47453969110406
12,4745,0.6661749209694415,0.13747727478342953,32.00242800296756
13,3311,0.6949562065841136,0.1662585603981016,22.330882848856813
14,3265,0.6940275650842267,0.1653299188982147,22.020638025224255
15,2766,0.7064352856109906,0.17773763942497856,18.65515613407972
16,2716,0.7061855670103093,0.17748792082429732,18.3179334996965
