threshold,n,accuracy,lift,pct_data
1,12864,0.6077425373134329,0.07904489112742086,86.76063937411479
2,12688,0.608921815889029,0.08022416970301705,85.57361570108586
3,8882,0.6378068002702094,0.10910915408419741,59.904228771835164
4,8741,0.6387141059375357,0.11001645975152374,58.953260942874486
5,5130,0.6641325536062378,0.1354349074202258,34.59904228771835
6,5040,0.665079365079365,0.13638171889335304,33.992041545828556
7,3017,0.7046735167384819,0.17597587055246988,20.348013758683482
8,2949,0.7032892505934215,0.1745916044074095,19.889390975922304
