idx,action,side,price,pnl
3,skip,,24842.75,0
12,skip,,24888.25,0
14,skip,,24869.5,0
19,skip,,24864.5,0
26,skip,,24915.5,0
32,skip,,24921.25,0
33,skip,,24921.5,0
41,skip,,24900.5,0
43,skip,,24936.0,0
52,entry,short,24894.75,0
53,exit,short,24902.25,-15.0
55,entry,short,24855.0,0
55,exit,short,24866.5,-23.0
55,entry,short,24866.5,0
62,exit,short,24906.75,-80.5
67,skip,,24926.0,0
70,entry,short,24900.5,0
71,exit,short,24899.75,1.5
74,entry,short,24899.25,0
74,exit,short,24896.75,5.0
74,entry,short,24896.75,0
74,exit,short,24898.5,-3.5
74,entry,short,24892.75,0
75,exit,short,24894.5,-3.5
76,entry,short,24918.5,0
77,exit,short,24916.0,5.0
87,skip,,24920.75,0
90,skip,,24918.75,0
95,skip,,24871.0,0
96,skip,,24853.5,0
98,skip,,24881.25,0
100,skip,,24889.25,0
102,skip,,24892.0,0
102,skip,,24874.5,0
103,skip,,24875.75,0
107,skip,,24864.0,0
110,entry,short,24868.0,0
111,exit,short,24848.0,40.0
117,entry,short,24851.25,0
117,exit,short,24845.0,12.5
118,entry,short,24840.25,0
120,exit,short,24845.0,-9.5
120,entry,short,24837.5,0
121,exit,short,24840.0,-5.0
131,skip,,24824.75,0
136,skip,,24826.25,0
142,skip,,24840.25,0
143,skip,,24815.0,0
143,skip,,24820.0,0
145,entry,short,24820.25,0
146,exit,short,24835.25,-30.0
149,entry,short,24817.5,0
150,exit,short,24817.25,0.5
152,entry,short,24821.5,0
152,exit,short,24823.5,-4.0
153,entry,short,24824.0,0
154,exit,short,24826.25,-4.5
154,entry,short,24829.0,0
158,exit,short,24804.25,49.5
158,entry,short,24795.0,0
158,exit,short,24795.5,-1.0
162,skip,,24807.0,0
169,entry,short,24793.25,0
172,exit,short,24797.0,-7.5
173,entry,short,24798.5,0
198,exit,short,24797.75,1.5
