idx,price
0,21276.5
1,21268.5
2,21292.75
3,21079.0
4,21012.25
5,25518.25
6,25232.0
7,25450.75
8,25872.75
9,25877.75
10,25970.0
11,25966.5
12,25823.0
13,25468.5
14,25419.5
15,25439.25
16,25122.0
17,25129.5
18,25057.0
19,24757.75
20,24698.25
21,24535.75
22,24665.25
23,24904.0
24,25112.75
25,25197.0
26,25041.25
27,25379.75
28,25287.0
29,25364.0
30,25323.5
31,25358.25
32,25344.25
33,25272.25
34,25281.75
35,25336.5
36,25306.5
37,25301.75
38,25358.0
39,25221.0
40,24807.25
41,24788.75
42,24797.75
43,24884.5
44,24840.5
45,24848.5
46,24858.5
47,24812.25
48,24630.25
49,24556.5
50,24844.25
51,24755.25
52,24901.75
53,24796.75
54,24905.25
55,24969.5
56,24833.5
57,24878.25
58,24902.5
59,24945.5
60,24783.5
61,25037.75
62,24819.25
63,24989.0
64,24686.75
65,24795.5
66,24878.75
67,24811.25
68,25032.5
69,25095.75
70,25042.0
71,25236.75
72,25380.25
73,25313.25
74,25384.0
75,25064.25
76,25021.75
77,25036.75
78,24976.5
79,24998.75
80,24707.75
81,24798.25
82,24542.0
83,24645.75
84,25045.75
85,24965.75
86,24830.0
87,24484.75
88,24550.0
89,24804.0
90,24676.75
91,24546.75
92,24820.75
93,25155.75
94,25157.5
95,25090.25
96,25076.25
97,25132.5
98,24989.0
99,25032.75
100,25111.0
101,25109.75
102,24856.0
103,24770.25
104,24289.25
105,24825.0
106,24868.0
107,24604.5
108,24720.25
109,24758.25
110,24869.75
111,24841.0
112,24832.25
