idx,price
0,24838.75
1,24833.75
2,24836.25
3,24843.5
4,24850.0
5,24858.0
6,24876.0
7,24876.75
8,24871.0
9,24888.25
10,24891.25
11,24890.0
12,24901.5
13,24892.75
14,24865.0
15,24890.5
16,24888.0
17,24866.75
18,24870.0
19,24868.5
20,24869.5
21,24883.5
22,24922.0
23,24897.75
24,24928.25
25,24922.0
26,24911.5
27,24930.0
28,24921.75
29,24970.75
30,24956.0
31,24972.0
32,24965.5
33,24915.5
34,24904.0
35,24859.5
36,24877.75
37,24841.75
38,24887.0
39,24900.75
40,24868.5
41,24876.0
42,24900.25
43,24924.5
44,24939.0
45,24936.75
46,24949.5
47,24935.0
48,24943.75
49,24932.75
50,24914.0
51,24899.25
52,24897.75
53,24902.25
54,24893.5
55,24873.25
56,24841.25
57,24847.75
58,24861.5
59,24880.5
60,24888.25
61,24900.25
62,24895.0
63,24915.75
64,24912.25
65,24920.75
66,24916.0
67,24932.0
68,24937.75
69,24921.25
70,24914.5
71,24902.25
72,24908.75
73,24891.75
74,24892.25
75,24894.5
76,24919.5
77,24920.0
78,24923.0
79,24931.25
80,24934.5
81,24926.0
82,24926.5
83,24938.25
84,24947.0
85,24934.0
86,24922.75
87,24929.25
88,24910.5
89,24964.25
90,24936.5
91,24910.0
92,24877.25
93,24897.0
94,24894.25
95,24887.25
96,24867.0
97,24880.75
98,24879.5
99,24880.5
100,24889.0
101,24891.25
102,24896.25
103,24872.5
104,24869.0
105,24869.75
106,24863.5
107,24869.0
108,24863.5
109,24875.75
110,24870.75
111,24858.0
112,24854.0
113,24849.75
114,24848.25
115,24846.5
116,24858.5
117,24859.25
118,24846.25
119,24842.0
120,24844.25
121,24840.0
122,24841.0
123,24859.0
124,24859.25
125,24860.5
126,24852.0
127,24842.5
128,24836.0
129,24833.75
130,24856.5
131,24834.75
132,24830.5
133,24821.0
134,24808.25
135,24817.25
136,24830.25
137,24834.0
138,24826.75
139,24822.75
140,24814.75
141,24838.5
142,24842.25
143,24825.0
144,24813.5
145,24821.75
146,24837.0
147,24834.75
148,24821.75
149,24817.5
150,24819.25
151,24824.75
152,24825.25
153,24827.75
154,24826.0
155,24823.75
156,24822.5
157,24807.75
158,24804.25
159,24791.25
160,24788.0
161,24795.75
162,24804.75
163,24803.75
164,24802.0
165,24796.5
166,24794.5
167,24785.0
168,24790.0
169,24796.25
170,24787.25
171,24794.0
172,24801.0
173,24802.0
174,24803.0
175,24810.75
176,24805.0
177,24817.25
178,24820.5
179,24824.25
180,24829.5
181,24839.5
182,24840.75
183,24847.5
184,24844.25
185,24837.0
186,24831.5
187,24833.25
188,24837.5
189,24839.25
190,24847.75
191,24846.5
192,24846.5
193,24842.25
194,24842.25
195,24841.25
196,24835.25
197,24830.25
198,24806.0
199,24793.0
