idx,action,side,price,pnl
0,peak_skip,,21335.5,0
0,entry,short,21296.5,0
0,exit,short,21301.75,-10.5
0,peak_entry,short,21298.25,0
0,entry,short,21298.25,0
0,exit,short,21305.5,-14.5
0,peak_entry,short,21309.5,0
0,entry,short,21309.5,0
0,exit,short,21304.75,9.5
0,peak_entry,short,21320.75,0
0,entry,short,21320.75,0
0,exit,short,21322.0,-2.5
0,peak_entry,short,21326.25,0
0,entry,short,21326.25,0
0,exit,short,21326.25,0.0
0,peak_entry,short,21323.0,0
0,entry,short,21323.0,0
0,exit,short,21314.5,17.0
0,entry,short,21314.5,0
0,exit,short,21312.0,5.0
0,peak_entry,short,21315.25,0
0,entry,short,21315.25,0
0,exit,short,21313.75,3.0
1,peak_entry,short,21316.0,0
1,entry,short,21316.0,0
1,exit,short,21316.0,0.0
1,peak_skip,,21314.75,0
1,peak_entry,short,21313.0,0
1,entry,short,21313.0,0
1,exit,short,21311.5,3.0
1,peak_entry,short,21308.75,0
1,entry,short,21308.75,0
1,exit,short,21319.75,-22.0
1,peak_entry,short,21315.5,0
1,entry,short,21315.5,0
1,exit,short,21315.25,0.5
1,entry,short,21232.0,0
1,exit,short,21233.75,-3.5
2,peak_skip,,21285.0,0
2,peak_entry,short,21297.25,0
2,entry,short,21297.25,0
2,exit,short,21293.75,7.0
2,peak_entry,short,21292.75,0
2,entry,short,21292.75,0
2,exit,short,21291.75,2.0
2,entry,short,21282.25,0
2,exit,short,21289.5,-14.5
2,peak_entry,short,21293.0,0
2,entry,short,21293.0,0
2,exit,short,21286.0,14.0
2,peak_entry,short,21286.5,0
2,entry,short,21286.5,0
2,exit,short,21284.5,4.0
2,peak_entry,short,21322.0,0
2,entry,short,21322.0,0
2,exit,short,21326.0,-8.0
3,entry,short,21324.75,0
3,exit,short,21322.25,5.0
3,peak_skip,,21291.0,0
3,peak_entry,short,21303.75,0
3,entry,short,21303.75,0
3,exit,short,21301.75,4.0
3,peak_entry,short,21302.0,0
3,entry,short,21302.0,0
3,exit,short,21302.0,0.0
3,peak_entry,short,21292.75,0
3,entry,short,21292.75,0
3,exit,short,21290.0,5.5
4,entry,short,21302.75,0
4,exit,short,21303.25,-1.0
4,peak_entry,short,21303.25,0
4,entry,short,21303.25,0
4,exit,short,21300.25,6.0
4,peak_entry,short,21305.75,0
4,entry,short,21305.75,0
4,exit,short,21311.25,-11.0
4,peak_entry,short,21311.25,0
4,entry,short,21311.25,0
4,exit,short,21312.75,-3.0
4,peak_entry,short,21312.75,0
4,entry,short,21312.75,0
4,exit,short,21319.0,-12.5
4,peak_entry,short,21323.25,0
4,entry,short,21323.25,0
4,exit,short,21323.25,0.0
4,peak_entry,short,21325.0,0
4,entry,short,21325.0,0
4,exit,short,21325.0,0.0
4,peak_skip,,21322.75,0
4,peak_entry,short,21313.75,0
4,entry,short,21313.75,0
4,exit,short,21310.5,6.5
4,peak_entry,short,21331.0,0
4,entry,short,21331.0,0
4,exit,short,21329.5,3.0
4,peak_entry,short,21320.75,0
4,entry,short,21320.75,0
4,exit,short,21317.25,7.0
4,entry,short,21309.25,0
4,exit,short,21307.25,4.0
4,entry,short,21288.5,0
4,exit,short,21295.5,-14.0
4,peak_entry,short,21244.25,0
4,entry,short,21244.25,0
4,exit,short,21241.0,6.5
4,entry,short,21229.75,0
4,exit,short,21239.75,-20.0
4,peak_entry,short,21224.75,0
4,entry,short,21224.75,0
4,exit,short,21219.5,10.5
5,peak_entry,short,21228.5,0
5,entry,short,21228.5,0
5,exit,short,21226.0,5.0
5,peak_entry,short,21201.5,0
5,entry,short,21201.5,0
5,exit,short,21200.0,3.0
5,peak_entry,short,21200.5,0
5,entry,short,21200.5,0
5,exit,short,21194.75,11.5
5,peak_entry,short,21202.75,0
5,entry,short,21202.75,0
5,exit,short,21200.75,4.0
5,peak_skip,,21199.5,0
5,entry,short,21213.5,0
5,exit,short,21215.0,-3.0
5,peak_entry,short,21207.0,0
5,entry,short,21207.0,0
5,exit,short,21200.0,14.0
5,entry,short,21218.75,0
5,exit,short,21220.5,-3.5
5,peak_entry,short,21241.25,0
5,entry,short,21241.25,0
5,exit,short,21241.0,0.5
5,peak_entry,short,21241.5,0
5,entry,short,21241.5,0
5,exit,short,21251.75,-20.5
5,peak_entry,short,21248.5,0
5,entry,short,21248.5,0
5,exit,short,21253.0,-9.0
6,peak_entry,long,21259.0,0
6,entry,long,21259.0,0
6,exit,long,21259.0,0.0
6,peak_entry,long,21263.0,0
6,entry,long,21263.0,0
6,exit,long,21258.75,-8.5
6,peak_skip,,21267.25,0
6,peak_entry,long,21272.25,0
6,entry,long,21272.25,0
6,exit,long,21278.25,12.0
6,peak_entry,long,21278.75,0
6,entry,long,21278.75,0
6,exit,long,21276.75,-4.0
6,peak_entry,long,21299.5,0
6,entry,long,21299.5,0
6,exit,long,21313.75,28.5
6,peak_entry,long,21304.0,0
6,entry,long,21304.0,0
6,exit,long,21303.5,-1.0
6,peak_entry,long,21296.5,0
6,entry,long,21296.5,0
6,exit,long,21289.25,-14.5
6,peak_entry,long,21290.0,0
6,entry,long,21290.0,0
6,exit,long,21293.75,7.5
6,peak_entry,long,21284.75,0
6,entry,long,21284.75,0
6,exit,long,21288.5,7.5
7,peak_skip,,21306.0,0
7,peak_entry,long,21299.0,0
7,entry,long,21299.0,0
7,exit,long,21296.25,-5.5
7,entry,short,21283.75,0
7,exit,short,21289.75,-12.0
7,peak_entry,short,21286.25,0
7,entry,short,21286.25,0
7,exit,short,21273.25,26.0
7,peak_entry,short,21262.75,0
7,entry,short,21262.75,0
7,exit,short,21262.0,1.5
7,peak_entry,short,21264.75,0
7,entry,short,21264.75,0
7,exit,short,21265.75,-2.0
7,entry,short,21279.5,0
7,exit,short,21271.0,17.0
7,entry,short,21286.25,0
8,exit,short,21288.75,-5.0
8,entry,short,21271.5,0
8,exit,short,21279.5,-16.0
8,entry,short,21259.75,0
8,exit,short,21267.0,-14.5
8,peak_skip,,21278.75,0
8,entry,short,21293.0,0
8,exit,short,21292.0,2.0
8,peak_entry,short,21280.0,0
8,entry,short,21280.0,0
8,exit,short,21274.5,11.0
8,peak_entry,short,21280.25,0
8,entry,short,21280.25,0
8,exit,short,21266.75,27.0
9,entry,short,21312.5,0
9,exit,short,21312.25,0.5
9,peak_entry,short,21312.25,0
9,entry,short,21312.25,0
9,exit,short,21311.75,1.0
9,entry,short,21314.0,0
9,exit,short,21320.5,-13.0
9,peak_skip,,21319.75,0
9,entry,short,21363.5,0
9,exit,short,21358.5,10.0
9,entry,short,21328.5,0
9,exit,short,21328.0,1.0
9,peak_entry,short,21259.75,0
9,entry,short,21259.75,0
9,exit,short,21266.5,-13.5
9,peak_entry,short,21307.0,0
9,entry,short,21307.0,0
9,exit,short,21307.75,-1.5
9,peak_entry,short,21307.5,0
9,entry,short,21307.5,0
9,exit,short,21305.5,4.0
9,peak_entry,short,21303.5,0
9,entry,short,21303.5,0
9,exit,short,21307.0,-7.0
9,entry,short,21128.5,0
9,exit,short,21152.5,-48.0
9,peak_entry,short,21135.5,0
9,entry,short,21135.5,0
10,exit,short,21126.0,19.0
10,peak_entry,short,21124.75,0
10,entry,short,21124.75,0
10,exit,short,21101.625,46.25
10,peak_entry,short,21071.75,0
10,entry,short,21071.75,0
10,exit,short,21061.375,20.75
10,peak_entry,short,21141.75,0
10,entry,short,21141.75,0
10,exit,short,21127.5,28.5
10,peak_entry,short,21127.5,0
10,entry,short,21127.5,0
10,exit,short,21124.5,6.0
10,peak_entry,short,21124.5,0
10,entry,short,21124.5,0
10,exit,short,21147.25,-45.5
10,peak_entry,short,21125.25,0
10,entry,short,21125.25,0
10,exit,short,21120.25,10.0
10,peak_entry,short,21117.25,0
10,entry,short,21117.25,0
10,exit,short,21122.25,-10.0
10,peak_entry,short,21105.25,0
10,entry,short,21105.25,0
10,exit,short,21131.5,-52.5
10,peak_entry,short,21134.0,0
10,entry,short,21134.0,0
10,exit,short,21134.5,-1.0
10,peak_entry,long,21186.75,0
10,entry,long,21186.75,0
10,exit,long,21184.0,-5.5
10,peak_entry,long,21171.75,0
10,entry,long,21171.75,0
10,exit,long,21168.5,-6.5
10,peak_skip,,21172.75,0
10,peak_entry,long,21071.25,0
10,entry,long,21071.25,0
10,exit,long,21081.1625,19.82499999999709
11,peak_skip,,20941.5,0
11,peak_entry,short,21074.75,0
11,entry,short,21074.75,0
11,exit,short,21068.875,11.75
11,peak_entry,short,21069.75,0
11,entry,short,21069.75,0
11,exit,short,21066.75,6.0
11,peak_entry,short,21066.75,0
11,entry,short,21066.75,0
11,exit,short,21055.0,23.5
11,peak_entry,short,21059.25,0
11,entry,short,21059.25,0
11,exit,short,21070.75,-23.0
11,entry,short,21070.5,0
11,exit,short,21122.0,-103.0
11,peak_entry,short,21129.0,0
11,entry,short,21129.0,0
11,exit,short,21121.875,14.25
11,peak_entry,short,21133.5,0
11,entry,short,21133.5,0
11,exit,short,21125.5,16.0
11,peak_entry,short,21116.5,0
11,entry,short,21116.5,0
11,exit,short,21111.125,10.75
12,peak_entry,short,21121.25,0
12,entry,short,21121.25,0
12,exit,short,21126.0,-9.5
12,peak_entry,short,21126.0,0
12,entry,short,21126.0,0
12,exit,short,21117.5,17.0
12,peak_entry,short,21138.0,0
12,entry,short,21138.0,0
12,exit,short,21129.75,16.5
12,peak_entry,short,21148.0,0
12,entry,short,21148.0,0
12,exit,short,21152.75,-9.5
12,peak_entry,short,21172.5,0
12,entry,short,21172.5,0
12,exit,short,21158.75,27.5
12,peak_entry,short,21171.0,0
12,entry,short,21171.0,0
12,exit,short,21167.25,7.5
12,peak_entry,short,21167.25,0
12,entry,short,21167.25,0
12,exit,short,21156.25,22.0
12,peak_entry,short,21147.25,0
12,entry,short,21147.25,0
12,exit,short,21140.5,13.5
12,peak_entry,short,21133.25,0
12,entry,short,21133.25,0
12,exit,short,21125.75,15.0
12,peak_entry,short,21126.75,0
12,entry,short,21126.75,0
12,exit,short,21122.0,9.5
12,peak_entry,short,21085.75,0
12,entry,short,21085.75,0
12,exit,short,21085.5,0.5
12,peak_entry,short,21085.5,0
12,entry,short,21085.5,0
12,exit,short,21084.75,1.5
12,peak_entry,short,21084.75,0
12,entry,short,21084.75,0
12,exit,short,21084.0,1.5
12,peak_skip,,21087.0,0
13,peak_entry,short,21008.0,0
13,entry,short,21008.0,0
13,exit,short,21005.0,6.0
13,entry,short,21005.0,0
13,exit,short,21002.0,6.0
