==========================================================================================
PEAK SEQUENCE ANALYSIS — 2026-02-05
Peaks: 46 (from 136 marked across all TFs)
Window: 30 bars before/after peak (1s resolution)
Bar 0 = peak moment
==========================================================================================

--- VELOCITY (n=46) ---
 offset        mean      median         std
    -30      -0.074      -0.100       3.150
    -29      -0.161      +0.200       3.807
    -28      -0.304      -0.600       3.072
    -27      -0.409      -0.900       3.315
    -26      -0.822      -0.600       2.875
    -25      -0.096      -0.600       3.173
    -24      +0.248      +0.200       2.623
    -23      +0.735      +0.200       2.621
    -22      +0.717      +0.600       2.622
    -21      +0.287      -0.300       2.448
    -20      +0.417      -0.200       3.674
    -19      +0.157      -0.600       3.425
    -18      -0.087      -0.800       3.444
    -17      +0.283      +0.400       3.199
    -16      +0.400      +0.600       3.701
    -15      +0.165      +0.100       3.836
    -14      +0.287      +0.700       3.306
    -13      +0.291      +0.500       3.082
    -12      -0.383      +0.000       3.999
    -11      -0.304      -0.400       3.886
    -10      -0.265      +0.500       3.671
     -9      -0.796      -0.800       3.536
     -8      -0.865      -0.800       3.727
     -7      -0.487      -0.200       2.764
     -6      +0.000      -0.200       3.055
     -5      -0.130      +0.300       2.651
     -4      -0.022      +0.000       2.634
     -3      +0.548      +0.000       3.050
     -2      +0.926      +0.600       3.256
     -1      +0.470      +0.600       2.271
     +0      +0.030      -0.400       2.997  <-- PEAK
     +1      +0.491      -0.200       5.399
     +2      -0.704      +0.200       4.476
     +3      -0.152      -0.400       5.931
     +4      -0.543      -0.900       5.842
     +5      +0.517      +1.100       5.272
     +6      +0.374      -0.300       6.213
     +7      +0.348      -0.200       6.058
     +8      +0.139      +0.700       5.775
     +9      +0.652      +0.800       5.446
    +10      +0.248      +0.500       3.787
    +11      +0.413      +0.300       2.926
    +12      +0.822      +1.100       3.415
    +13      +0.357      +0.900       4.273
    +14      +0.361      +1.500       5.089
    +15      -0.074      +1.000       4.461
    +16      -0.065      +0.900       4.172
    +17      -0.283      +0.700       5.390
    +18      -0.509      +0.000       4.246
    +19      -0.326      -0.800       3.952
    +20      -0.313      -0.200       3.513
    +21      +0.043      -0.400       4.658
    +22      +0.257      -0.300       3.865
    +23      +0.861      +0.700       3.917
    +24      +0.300      +0.000       4.169
    +25      +0.396      +1.300       4.190
    +26      +0.474      +1.100       5.736
    +27      +0.357      +1.800       4.924
    +28      -0.096      +0.400       5.647
    +29      -0.065      +0.800       5.494
    +30      -0.604      -0.200       5.129

--- ACCELERATION (n=46) ---
 offset        mean      median         std
    -30      -0.322      -0.400       2.004
    -29      -0.087      +0.000       2.658
    -28      -0.143      -0.400       2.404
    -27      -0.104      +0.000       1.537
    -26      -0.413      -0.600       1.979
    -25      +0.726      +0.700       1.637
    -24      +0.343      +0.600       2.902
    -23      +0.487      +0.500       2.317
    -22      -0.017      -0.600       1.766
    -21      -0.430      -0.600       1.816
    -20      +0.130      +0.000       3.337
    -19      -0.261      -0.300       2.108
    -18      -0.243      -0.200       2.084
    -17      +0.370      +0.500       2.222
    -16      +0.117      +0.200       2.084
    -15      -0.235      -0.200       2.917
    -14      +0.122      +0.000       1.598
    -13      +0.004      +0.000       1.737
    -12      -0.674      -0.400       2.805
    -11      +0.078      +0.300       2.132
    -10      +0.039      +0.200       2.101
     -9      -0.530      -0.400       2.085
     -8      -0.070      -0.300       1.790
     -7      +0.378      +0.300       2.375
     -6      +0.487      +0.200       1.917
     -5      -0.130      +0.000       2.213
     -4      +0.109      -0.100       1.838
     -3      +0.570      +0.400       1.827
     -2      +0.378      +0.200       2.341
     -1      -0.457      -0.200       1.887
     +0      -0.439      -0.400       2.758  <-- PEAK
     +1      +0.461      +0.600       4.141
     +2      -1.196      -1.500       3.741
     +3      +0.552      +0.600       3.222
     +4      -0.391      -0.800       4.114
     +5      +1.061      +0.200       3.771
     +6      -0.143      -0.600       3.316
     +7      -0.026      +0.400       3.235
     +8      -0.209      -0.400       2.815
     +9      +0.513      +0.800       4.351
    +10      -0.404      +0.000       3.511
    +11      +0.165      +0.300       2.747
    +12      +0.409      +1.200       3.119
    +13      -0.465      +0.000       2.745
    +14      +0.004      -0.400       2.374
    +15      -0.435      -0.500       2.797
    +16      +0.009      -0.300       2.025
    +17      -0.217      -0.800       3.202
    +18      -0.226      -0.300       2.728
