p10,p25,p50,p75,p90,predicted_dir,actual_dir,actual_signed_mfe,consensus,ci_width
-123.39999999999998,-32.5,11.5,39.5,110.10000000000002,LONG,SHORT,-35.25,0.5333333333333333,72.0
-205.95,-77.75,8.75,76.0,99.25,LONG,SHORT,-29.25,0.5111111111111111,153.75
-205.95,-77.75,-4.5,50.0,105.95,SHORT,SHORT,-22.75,0.5333333333333333,127.75
-171.6,-20.25,25.0,75.0,105.95,LONG,SHORT,-44.25,0.5555555555555556,95.25
-148.3,-77.75,15.75,50.0,93.55000000000001,LONG,SHORT,-45.25,0.5555555555555556,127.75
-205.95,-109.25,-13.5,70.0,98.0,SHORT,SHORT,-5.25,0.5333333333333333,179.25
-171.6,-72.75,-0.25,70.0,105.95,SHORT,LONG,3.75,0.5111111111111111,142.75
-193.95,-60.75,21.0,75.0,98.0,LONG,LONG,17.75,0.5333333333333333,135.75
-143.3,-72.75,-0.25,75.0,119.7,SHORT,LONG,32.75,0.5111111111111111,147.75
-189.55,-81.75,-13.0,75.0,104.25000000000001,SHORT,LONG,23.75,0.5333333333333333,156.75
-189.55,-85.75,-1.0,62.75,107.4,SHORT,LONG,19.25,0.5555555555555556,148.5
-171.6,-41.75,11.5,75.0,98.0,LONG,LONG,18.75,0.5555555555555556,116.75
-213.65,-81.75,21.0,50.0,92.95000000000002,LONG,LONG,34.25,0.5333333333333333,131.75
-205.95,-135.5,25.5,86.5,113.65,LONG,LONG,40.0,0.5555555555555556,222.0
-137.75,-72.75,7.5,65.25,115.85,LONG,LONG,54.5,0.5333333333333333,138.0
-193.95,-85.75,11.75,82.0,112.75000000000001,LONG,LONG,40.0,0.5333333333333333,167.75
-137.75,-31.0,18.25,65.25,103.40000000000002,LONG,LONG,54.5,0.6222222222222222,96.25
-170.6,-41.75,11.75,50.0,92.95000000000002,LONG,LONG,27.0,0.6,91.75
-189.55,-85.75,8.75,60.5,92.95000000000002,LONG,LONG,3.5,0.5333333333333333,146.25
-113.99999999999999,-20.25,33.5,68.5,97.4,LONG,LONG,0.5,0.6666666666666666,88.75
-97.7,-16.75,33.5,72.25,130.50000000000003,LONG,SHORT,-36.0,0.6888888888888889,89.0
-104.85,-30.5,6.25,37.5,62.150000000000006,LONG,SHORT,-113.25,0.5111111111111111,68.0
-113.49999999999997,-41.75,8.75,62.75,115.90000000000002,LONG,SHORT,-97.25,0.5555555555555556,104.5
-171.6,-41.75,8.75,75.0,105.95,LONG,SHORT,-127.75,0.5555555555555556,116.75
-67.94999999999999,-31.0,22.25,73.75,120.30000000000001,LONG,SHORT,-86.25,0.6666666666666666,104.75
-147.5,-16.5,33.5,97.25,116.7,LONG,SHORT,-87.5,0.6444444444444445,113.75
-143.29999999999998,-51.5,18.0,88.0,122.1,LONG,SHORT,-57.0,0.5555555555555556,139.5
-189.55,-65.5,-4.5,64.75,117.40000000000002,SHORT,SHORT,-24.5,0.5555555555555556,130.25
-171.6,-65.5,-8.5,30.5,103.25000000000003,SHORT,SHORT,-16.75,0.5555555555555556,96.0
-122.9,-60.75,1.25,64.75,134.50000000000003,LONG,LONG,7.75,0.5111111111111111,125.5
-136.39999999999998,-65.5,1.25,39.5,85.15000000000002,LONG,SHORT,-13.75,0.5111111111111111,105.0
