p10,p25,p50,p75,p90,predicted_dir,actual_dir,actual_signed_mfe,consensus,ci_width
-99.94999999999999,-48.0,-0.25,70.5,158.10000000000002,SHORT,LONG,69.0,0.5111111111111111,118.5
-99.94999999999999,-52.0,6.25,59.0,151.3,LONG,LONG,35.5,0.5111111111111111,111.0
-144.5,-49.5,7.5,68.5,170.15,LONG,LONG,15.0,0.5333333333333333,118.0
-182.7,-72.0,7.5,59.75,149.3,LONG,LONG,27.5,0.5333333333333333,131.75
-115.69999999999999,-41.5,7.5,76.0,132.70000000000002,LONG,LONG,16.5,0.5555555555555556,117.5
-85.9,-18.75,15.0,53.5,97.25,LONG,SHORT,-71.0,0.5777777777777777,72.25
-108.65,-67.25,7.5,64.75,98.0,LONG,SHORT,-107.0,0.5111111111111111,132.0
-83.8,-32.5,7.5,50.0,100.85000000000001,LONG,SHORT,-123.75,0.5333333333333333,82.5
-98.14999999999999,-41.5,23.0,76.25,147.55,LONG,LONG,178.75,0.6444444444444445,117.75
-112.2,-59.0,3.5,91.25,175.70000000000005,LONG,LONG,112.0,0.5111111111111111,150.25
-83.64999999999999,-48.0,7.5,70.5,158.9,LONG,LONG,96.25,0.5555555555555556,118.5
-171.6,-41.75,6.25,62.25,98.0,LONG,LONG,98.25,0.5111111111111111,104.0
-84.1,-13.0,33.5,103.25,142.70000000000002,LONG,LONG,141.25,0.6444444444444445,116.25
-176.85,-67.25,15.0,50.0,101.30000000000001,LONG,LONG,230.25,0.5333333333333333,117.25
-134.45,-56.25,26.5,70.5,134.75,LONG,LONG,31.75,0.5777777777777777,126.75
-99.94999999999999,-59.0,11.75,62.25,103.7,LONG,LONG,104.75,0.5777777777777777,121.25
-137.75,-45.25,18.0,70.0,117.40000000000002,LONG,LONG,107.25,0.5777777777777777,115.25
-141.79999999999998,-31.25,21.0,75.0,109.65,LONG,LONG,65.0,0.5777777777777777,106.25
-82.55,-45.25,7.5,62.75,125.2,LONG,LONG,81.75,0.5333333333333333,108.0
-171.6,-67.25,-0.25,44.5,109.65,SHORT,LONG,53.75,0.5111111111111111,111.75
-192.25,-41.75,30.25,82.0,105.95,LONG,LONG,47.75,0.5777777777777777,123.75
-78.65,-14.5,26.5,52.5,101.85000000000001,LONG,LONG,49.75,0.6444444444444445,67.0
-86.45,-45.25,17.0,73.75,107.4,LONG,LONG,59.75,0.6222222222222222,119.0
-85.9,-32.5,30.5,82.0,103.7,LONG,LONG,56.25,0.6444444444444445,114.5
-171.39999999999998,-77.75,30.25,84.75,109.65,LONG,LONG,27.75,0.5777777777777777,162.5
-80.0,-24.5,33.0,69.25,101.35000000000001,LONG,SHORT,-39.25,0.6444444444444445,93.75
-77.9,-45.75,21.75,62.75,92.65,LONG,SHORT,-35.25,0.5777777777777777,108.5
-189.55,-20.25,25.5,79.75,105.95,LONG,SHORT,-17.25,0.5777777777777777,100.0
-116.85,-59.0,10.25,88.0,122.1,LONG,LONG,10.75,0.5333333333333333,147.0
-147.2,-49.5,11.75,97.25,138.40000000000003,LONG,LONG,15.0,0.5555555555555556,146.75
-147.5,-41.75,7.5,70.0,117.40000000000002,LONG,LONG,19.75,0.5333333333333333,111.75
-84.6,-24.5,17.75,39.5,106.65000000000002,LONG,LONG,41.75,0.5777777777777777,64.0
-113.99999999999999,-41.75,30.25,75.0,116.7,LONG,LONG,56.75,0.6222222222222222,116.75
-171.6,-33.5,25.5,86.5,105.95,LONG,LONG,52.25,0.6,120.0
-171.6,-41.75,30.25,83.5,109.65,LONG,LONG,43.75,0.6222222222222222,125.25
-171.6,-33.5,21.0,77.25,105.95,LONG,LONG,61.25,0.6,110.75
-143.3,-60.75,21.75,79.75,109.75,LONG,LONG,73.75,0.5555555555555556,140.5
-171.6,-41.75,25.5,86.5,109.75,LONG,LONG,75.25,0.6222222222222222,128.25
-171.6,-41.75,25.5,65.75,98.0,LONG,LONG,56.0,0.5555555555555556,107.5
-171.6,-33.5,21.0,77.25,102.30000000000001,LONG,LONG,62.5,0.6,110.75
-171.6,-41.75,29.25,79.75,105.95,LONG,LONG,67.5,0.6222222222222222,121.5
-189.55,-41.75,25.5,75.0,99.25,LONG,LONG,64.5,0.6,116.75
-147.5,-33.5,33.5,88.0,112.75000000000001,LONG,LONG,61.5,0.6444444444444445,121.5
-171.6,-41.75,21.0,58.25,105.95,LONG,LONG,26.5,0.5555555555555556,100.0
-163.29999999999998,-30.0,21.75,50.0,84.7,LONG,LONG,12.5,0.6444444444444445,80.0
-192.25,-41.75,21.0,64.75,93.55000000000001,LONG,LONG,28.5,0.6,106.5
-171.6,-33.5,21.0,82.0,105.95,LONG,SHORT,-34.0,0.5777777777777777,115.5
-120.35,-77.75,-3.75,37.5,82.80000000000001,SHORT,SHORT,-33.0,0.5111111111111111,115.25
-193.95,-80.5,8.75,58.5,92.95000000000002,LONG,SHORT,-19.0,0.5333333333333333,139.0
-148.3,-41.75,6.75,59.0,118.70000000000002,LONG,SHORT,-26.0,0.5111111111111111,100.75
-189.55,-60.75,18.0,75.0,119.35000000000002,LONG,LONG,15.25,0.5777777777777777,135.75
-171.6,-41.5,6.25,50.0,105.95,LONG,LONG,5.75,0.5333333333333333,91.5
-151.94999999999996,-76.75,-4.5,39.5,98.75,SHORT,LONG,20.25,0.5333333333333333,116.25
-143.29999999999998,-60.75,25.5,97.25,113.65,LONG,LONG,60.75,0.5777777777777777,158.0
-128.45,-72.0,16.75,55.25,125.2,LONG,LONG,24.25,0.5777777777777777,127.25
-143.3,-80.5,17.0,64.75,116.7,LONG,SHORT,-4.0,0.5555555555555556,145.25
-120.35,-41.75,7.0,50.0,100.85000000000001,LONG,LONG,2.25,0.5333333333333333,91.75
-174.14999999999998,-20.25,30.25,79.75,117.40000000000002,LONG,LONG,3.75,0.6,100.0
-174.14999999999998,-72.0,22.75,88.0,116.50000000000003,LONG,LONG,12.25,0.5333333333333333,160.0
-171.6,-41.75,29.25,88.0,109.75,LONG,SHORT,-12.0,0.6222222222222222,129.75
-147.5,-41.75,6.25,77.25,105.95,LONG,LONG,12.5,0.5333333333333333,119.0
-171.6,-72.0,6.25,75.0,105.95,LONG,LONG,59.25,0.5333333333333333,147.0
-189.55,-41.75,30.25,62.25,98.75,LONG,LONG,85.0,0.6,104.0
-127.24999999999999,-48.0,22.25,75.0,98.5,LONG,LONG,82.0,0.6,123.0
-193.95,-85.75,30.25,75.0,98.75,LONG,LONG,88.5,0.5777777777777777,160.75
-193.95,-57.0,29.25,86.5,109.65,LONG,LONG,97.5,0.6,143.5
