p10,p25,p50,p75,p90,predicted_dir,actual_dir,actual_signed_mfe,consensus,ci_width
-103.3,-34.5,17.25,34.375,50.800000000000026,LONG,LONG,27.75,0.62,68.875
-41.62499999999999,-17.0,34.375,64.875,129.32500000000002,LONG,LONG,10.75,0.72,81.875
-89.75,-46.3125,17.125,43.0,80.02500000000002,LONG,LONG,2.75,0.58,89.3125
-87.39999999999999,-30.6875,18.75,46.25,79.52500000000002,LONG,SHORT,-13.0,0.6,76.9375
-54.275,-31.75,20.875,47.0,104.75,LONG,SHORT,-35.0,0.64,78.75
-97.0,-37.625,-3.0,29.125,55.000000000000014,SHORT,SHORT,-63.0,0.54,66.75
-121.02499999999999,-27.9375,3.75,36.5,64.175,LONG,SHORT,-26.0,0.56,64.4375
-79.075,-50.5625,1.875,49.4375,104.22500000000001,LONG,SHORT,-34.5,0.52,100.0
-50.949999999999996,-26.3125,18.0,37.0625,79.2,LONG,SHORT,-17.0,0.6,63.375
-67.69999999999999,-33.0,11.625,35.25,83.27500000000003,LONG,LONG,13.5,0.58,68.25
-59.699999999999996,-19.5,20.125,37.8125,51.40000000000002,LONG,LONG,51.25,0.64,57.3125
-60.2,-45.5,9.0,30.1875,38.87500000000001,LONG,LONG,117.0,0.54,75.6875
-88.475,-48.75,4.0,45.25,79.025,LONG,LONG,108.0,0.54,94.0
-85.625,-52.6875,-3.75,26.4375,47.275000000000006,SHORT,LONG,96.0,0.52,79.125
-84.05,-46.625,-0.875,36.6875,44.75,SHORT,LONG,78.5,0.5,83.3125
-97.325,-49.3125,-15.0,34.9375,98.45,SHORT,LONG,86.5,0.52,84.25
-133.025,-72.625,-18.375,28.1875,71.72500000000007,SHORT,LONG,169.5,0.6,100.8125
-53.74999999999999,-26.25,14.25,44.9375,78.77500000000003,LONG,LONG,136.5,0.62,71.1875
-87.8,-47.0,-2.75,27.8125,82.17500000000001,SHORT,LONG,125.5,0.52,74.8125
-156.225,-58.8125,17.0,45.75,90.17500000000001,LONG,LONG,209.75,0.58,104.5625
-87.8,-38.0625,4.0,29.3125,49.37500000000002,LONG,LONG,195.75,0.52,67.375
-84.425,-31.5,15.625,32.875,83.5,LONG,LONG,201.5,0.58,64.375
-44.574999999999996,-24.0,7.375,30.25,67.95000000000002,LONG,LONG,206.0,0.58,54.25
-164.25,-44.875,20.375,47.0,80.80000000000001,LONG,LONG,198.75,0.58,91.875
-143.0,-69.9375,-14.375,23.9375,65.72500000000002,SHORT,LONG,190.25,0.56,93.875
