**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

regime_2d,tf,vel_w_std,vel_w_abs_mean,swing_noise_mean,bar_range_mean,n
UP_SMOOTH,5s,0.8563601129578846,0.37470457443169447,52.465155331654074,1.5971522530086761,7146
UP_SMOOTH,15s,1.113011781153833,0.5730361974064745,93.08760145535965,3.1344458438287153,7146
UP_SMOOTH,1m,2.2555835358722067,1.103766675995895,196.7670025188917,7.833613210187518,7146
UP_SMOOTH,5m,7.016709875121508,3.4309287246944677,483.7184438846907,19.228519451441365,7146
UP_SMOOTH,15m,12.012836954232114,6.348691575706689,965.0067170445004,34.04558494262525,7146
UP_SMOOTH,1h,24.90852754659852,16.92438077246012,2026.2760985166526,70.70794850265882,7146
UP_SMOOTH,4h,28.557267883685547,22.254916244705583,3984.746059042706,147.8329834872656,7146
UP_SMOOTH,1D,112.41202583664528,86.55464316423044,9261.541706615531,406.2080184718724,7146
UP_CHOPPY,5s,1.018155794708974,0.42894155623513425,60.391946992864426,2.0004459734964324,3924
UP_CHOPPY,15s,1.4882561198244435,0.6714237172952771,108.70387359836901,3.819954128440367,3924
UP_CHOPPY,1m,2.8235742117146567,1.2850237852531428,227.33766564729868,9.25401376146789,3924
UP_CHOPPY,5m,6.718063564454165,3.570237286215879,525.2362385321101,22.833333333333332,3924
UP_CHOPPY,15m,8.027254687544973,5.419968994223582,958.3646788990826,40.37251529051988,3924
UP_CHOPPY,1h,19.486764023545163,14.670303474345904,2340.0175840978595,80.07734454638124,3924
UP_CHOPPY,4h,36.608501153501514,22.064375920262766,4053.8440366972477,162.5709734964322,3924
UP_CHOPPY,1D,150.47757509486402,84.33088685015291,10634.519572953737,364.12461773700306,3924
DOWN_SMOOTH,5s,0.8270205047005421,0.47576147576147576,66.5995280995281,2.103978978978979,4662
DOWN_SMOOTH,15s,1.221780415703146,0.7368797368797368,120.05748605748606,4.068318318318318,4662
DOWN_SMOOTH,1m,2.6855935713816455,1.4588874588874587,254.48305448305447,9.965894465894467,4662
DOWN_SMOOTH,5m,7.649976126927928,4.403838362171696,607.3163878163878,25.024024024024023,4662
DOWN_SMOOTH,15m,11.144800536539499,7.445731445731446,1157.9410124410124,43.89033676533676,4662
DOWN_SMOOTH,1h,24.288468208709986,20.434416559416558,2263.5388245388244,89.62591162591163,4662
DOWN_SMOOTH,4h,32.458730337688955,23.444578507078507,4017.228910168719,179.61974474474474,4662
DOWN_SMOOTH,1D,134.60426109632868,99.93748326639894,9566.578417266188,350.2065637065637,4662
DOWN_CHOPPY,5s,0.6722065648705026,0.44183214338836824,61.782128514056225,1.9308902275769746,2988
DOWN_CHOPPY,15s,1.0524343880775446,0.6827657853636768,109.82329317269077,3.768908969210174,2988
DOWN_CHOPPY,1m,1.9446323956787381,1.2799810352521197,225.48694779116465,9.414323962516734,2988
DOWN_CHOPPY,5m,5.4928885284539914,3.691971590063959,503.77777777777777,23.07873159303882,2988
DOWN_CHOPPY,15m,7.719897880951926,5.628297913877733,861.739625167336,39.73393574297189,2988
DOWN_CHOPPY,1h,13.426730244515378,12.124435240963855,2000.7228915662652,80.16173025435073,2988
DOWN_CHOPPY,4h,24.438429980026296,21.136257994942735,4280.421686746988,153.30614123159305,2988
DOWN_CHOPPY,1D,125.4526362270139,88.50120481927712,9318.10101010101,421.3955823293173,2988
FLAT_SMOOTH,5s,0.5073161492044441,0.32010849422150345,45.326392398665725,1.3366521783078944,9894
FLAT_SMOOTH,15s,0.7877237118918398,0.4932822871390546,81.29963606955116,2.6835894066511674,9894
FLAT_SMOOTH,1m,2.037210530530058,0.9749949443882711,172.6836569579288,6.823536844233296,9894
FLAT_SMOOTH,5m,5.750976929335486,2.8527418049372724,402.2601378751014,17.02918730415445,9894
FLAT_SMOOTH,15m,8.585548030619519,4.437711398613225,747.7055283557731,29.62189079878665,9894
FLAT_SMOOTH,1h,15.932346074439756,9.57955945779421,1728.7821481015314,59.545866221412666,9894
FLAT_SMOOTH,4h,27.33225193913985,21.369377673780992,3946.2856838970433,113.26011795810453,9894
FLAT_SMOOTH,1D,105.53762632364356,93.4647096362476,10469.466299862448,274.3811475409836,9894
FLAT_CHOPPY,5s,0.7057916699586726,0.4264537264537265,61.63942123942124,1.8512421512421513,18315
FLAT_CHOPPY,15s,1.148672238721235,0.6745859495859495,109.01599781599782,3.6316407316407315,18315
FLAT_CHOPPY,1m,2.1848803621350887,1.2929101829101828,226.96194376194376,9.026958776958777,18315
FLAT_CHOPPY,5m,6.3103162167784115,3.8102466102466104,530.2806442806443,22.626999726999728,18315
FLAT_CHOPPY,15m,9.10870226352577,5.847256347256346,938.9502593502593,39.746341796341795,18315
FLAT_CHOPPY,1h,15.855200879533697,10.587924287924288,1978.46279006279,81.03565383565383,18315
FLAT_CHOPPY,4h,26.43940367698809,18.844809500992117,3866.800212777871,158.6984438984439,18315
FLAT_CHOPPY,1D,111.83346554631966,83.28787072454128,9583.103341703689,390.51803166803165,18315
