concept,tf,tf_idx,regime_2d,n,feat_mean,feat_std,corr_concurrent_signed,corr_lookback_return,corr_forward_return
price_velocity_1b,5s,0,UP_SMOOTH,7146,0.028897285194514413,2.0082231143603355,0.03773207834879354,0.00680362768105521,-0.01572136839285502
price_velocity_1b,5s,0,UP_CHOPPY,3924,0.015035677879714576,2.423504136039778,0.13728323379132712,0.014230264891273324,0.02230251326635232
price_velocity_1b,5s,0,DOWN_SMOOTH,4662,-0.08998283998283998,2.439222708448934,0.033959227957295,0.018785896401681546,0.0036755810036563203
price_velocity_1b,5s,0,DOWN_CHOPPY,2988,-0.09630187416331995,1.8859598591338644,0.05064930808994523,0.027038071944617794,0.014176859127305614
price_velocity_1b,5s,0,FLAT_SMOOTH,9893,-0.0053320529667441625,1.516654442811156,0.04849388044463771,0.023727780974435946,-0.03402562364290208
price_velocity_1b,5s,0,FLAT_CHOPPY,18315,-0.03232323232323232,2.0721113274489675,0.05285145310312822,0.05840446622596563,-0.01748123490157445
price_velocity_1b,15s,1,UP_SMOOTH,7146,0.025223901483347327,3.4445223532123705,0.10254641872057135,0.028524762879152853,0.02137036506272833
price_velocity_1b,15s,1,UP_CHOPPY,3924,0.04345056065239551,3.6946334638312037,0.15297648472759579,0.05396059179887438,-0.0011259198444836186
price_velocity_1b,15s,1,DOWN_SMOOTH,4662,-0.10735735735735735,3.9565866604214355,0.031399688200062205,-0.005050775016350669,0.0317245560833643
price_velocity_1b,15s,1,DOWN_CHOPPY,2988,-0.12056559571619813,3.246290940060336,0.08840468961533453,0.02201588105016944,-7.963471375438068e-05
price_velocity_1b,15s,1,FLAT_SMOOTH,9893,-0.007151521277671081,2.5204697514760404,0.07273118833266662,0.05267868578289796,-0.021134584163247868
price_velocity_1b,15s,1,FLAT_CHOPPY,18315,-0.02031122031122031,3.4556317253336815,0.08207305489982661,0.06114360244704465,0.0048957713592179255
price_velocity_1b,1m,2,UP_SMOOTH,7146,0.3887489504617968,8.617155006126476,0.272985032141846,0.14619172666906727,0.08231131829879745
price_velocity_1b,1m,2,UP_CHOPPY,3924,0.053070846075433234,10.168916261069537,0.14628980486140505,0.10298619061624331,0.07994013943176688
price_velocity_1b,1m,2,DOWN_SMOOTH,4662,-0.5363041613041613,8.535096657379748,0.15421539015865945,0.09226170456350447,0.0006470418142433154
price_velocity_1b,1m,2,DOWN_CHOPPY,2988,-0.2413821954484605,7.152461301855637,0.1417786107745363,0.06889056740963571,-0.01983567799321678
price_velocity_1b,1m,2,FLAT_SMOOTH,9893,-0.03330637824724553,5.282099603414819,0.11729708521252304,0.0489049358087634,-0.02023403734023665
price_velocity_1b,1m,2,FLAT_CHOPPY,18315,-0.0610974610974611,7.387895937612192,0.1822233045136583,0.1067485973506798,0.00018305779403113637
price_velocity_1b,5m,3,UP_SMOOTH,7146,1.573782535684299,18.860411589808432,0.4806583287885766,0.3257403161856868,0.07224034970581827
price_velocity_1b,5m,3,UP_CHOPPY,3924,0.9773827726809379,25.323672083513923,0.47891877997127946,0.3034309126289741,-0.09949137570063689
