concept,5s,15s,1m,5m,15m,1h,4h,1D
bar_range,-0.0976827237459297,-0.1119270402573726,-0.12253134193519928,-0.07814936205150132,-0.10992902458723774,-0.15811288949511013,-0.0763236748876715,-0.05182195571674435
body,0.016032630743353347,0.002110317793296653,-0.019765610279477586,-0.016642769067513698,-0.040686139800558276,-0.03557482327762609,-0.04071213251961563,-0.03734491397354144
price_accel_1b,0.008042455364535104,0.016430459537611936,-0.008126769892145122,0.0024437253904322767,-0.020595372568058233,-0.03231439299155954,0.036105964318488275,-0.04333072984127506
price_accel_w,0.0021002300657867517,0.016384152988014843,-0.007760349011186699,-0.00635849737606774,-0.01896615941680649,-0.007406249989161301,0.01643028250315371,-0.05028075718063741
price_mean_w,0.060511929457948754,0.06057551922664257,0.060764905555059416,0.06115044025706214,0.061409667810271386,0.06406835852342886,0.0703469224660803,0.07204991113223086
price_sigma_w,-0.10939811466825447,-0.08283185185178116,-0.07101435707396073,-0.09679141512414921,-0.11670570110992629,0.01989627584704833,0.0028757935742521152,-0.014336148617687363
price_velocity_1b,0.014176859127305614,-7.963471375438068e-05,-0.01983567799321678,-0.015694441721598295,-0.037283970669331305,-0.029608913054521437,-0.040164277010650166,-0.03732833021488868
price_velocity_w,-0.024968317808352618,-0.007273551078691055,-0.031965751900866514,-0.03427197077647935,-0.010510263065839253,-0.07693907803855433,-0.021961590914096336,-0.012988470443508334
vol_accel_1b,-0.0366420893048203,-0.038645353494040816,-0.020412931475217125,0.0006648033126089596,0.019030531799094582,-0.022985591579677417,-0.039270013866261416,0.002878955709592972
vol_accel_w,-0.0389156073871247,-0.06702044494129457,-0.0047146550501995,0.02340736530297199,0.053486440020774705,-0.011169137782525746,-0.08493131459571124,-0.031034150169315943
vol_mean_w,-0.10292691429933302,-0.10035131050182493,-0.10139987206328203,-0.13513153168170972,-0.15588705830018473,-0.04783366991404334,-0.047414830312438046,-0.06424532810048957
vol_sigma_w,-0.09418368657253723,-0.09431304204088188,-0.09155146724063382,-0.13556402357070493,-0.12500769589112046,-0.05950122382241551,-0.039311241541738845,-0.08453369173594961
vol_velocity_1b,-0.04898154749164127,-0.06339249804864586,-0.04171997224079168,0.03907826255225765,0.04141237308339899,-0.040832848692692734,-0.1289948573250035,0.004353308949792395
vol_velocity_w,-0.055921119298914974,-0.07357012559299825,0.04942448959049988,0.08372697205383864,-0.013704190822392747,-0.1231542833223944,-0.03193666572417954,-0.03773889419775308
vwap_w,0.060513685044076386,0.060588842746339286,0.0607133469642367,0.0611306800649883,0.0616786524471768,0.06379991281724588,0.06969173844517303,0.07221372375394022
