concept,5s,15s,1m,5m,15m,1h,4h,1D
bar_range,-0.023037957153830214,-0.012022551742218654,-0.024364585928424894,-0.0042114328749225695,-0.01732679772729655,-0.04771688788206386,0.0191214699692789,0.002368174536307479
body,-0.03184935729719784,-0.024944479487402613,-0.018768283302158892,-0.03125056744068183,-0.041841834639187114,-0.056509149941484094,-0.0707975142707165,0.02275104620077785
price_accel_1b,-0.012950033226021798,-0.00963268032152598,0.022519022816656013,0.005396901361803102,-0.0023469080440617256,0.007888451799630533,-0.02507260133722652,0.01892656049796557
price_accel_w,-0.031202882978147252,-0.004420284807779278,0.007922456267623418,-0.011590287825566961,-0.021373182310294243,-0.016391585044194384,-0.018450040332630282,0.016865742289092243
price_mean_w,-0.007067048179525527,-0.006963458255911088,-0.006693451948448729,-0.006324663698961378,-0.004210151258281368,6.627527492681363e-05,0.00029879152160038926,0.0011128388816757776
price_sigma_w,-0.02298673698471565,-0.01081938515889163,0.0027267549198922996,0.0037936978041484123,-0.03162473857038355,0.03800378638278534,0.00970722912065788,-0.016156897105037628
price_velocity_1b,-0.03402562364290208,-0.021134584163247868,-0.02023403734023665,-0.026927235656438123,-0.02922338092652103,-0.04141674044723938,-0.07634356607698253,0.01643871732571824
price_velocity_w,-0.015451790704413498,-0.03942023465081774,-0.050228054391988,-0.06359059333997925,-0.06281753350803344,-0.08233414044171267,-0.002505714339308548,0.012143526753149255
vol_accel_1b,-0.012163846544462183,-0.0119393619185793,-0.012852006934181396,-0.001703575235446336,0.011365552355060368,0.02135070757495025,0.02280005494924683,-0.003128993916596526
vol_accel_w,-0.009382970811212652,-0.011940129364906191,-0.009002581072816157,0.0038150328081237427,0.024090708201711636,-0.045406214539988235,0.09018544326556016,-0.01463577035313561
vol_mean_w,-0.033889964641820584,-0.02445352432298083,-0.03262488731069255,-0.0529909092950142,-0.01734428494956868,0.03342725862174028,0.004983404572086209,-0.006817672955607256
vol_sigma_w,-0.027362559841144295,-0.021532101330431597,-0.017051882832926295,-0.02557667244166908,-0.06513660361100462,0.02679595926791308,-0.010290677827646073,-0.00011491223147320847
vol_velocity_1b,-0.01792494382975125,-0.015222583598187837,-0.024010418999914587,0.014782206547221325,0.03204608554640847,-0.07811389508285164,0.010646689645282693,0.003893093277490283
vol_velocity_w,-0.016117693693078958,-0.015621454046830087,0.0232400553064319,0.04997739767678034,-0.08837573696416198,-0.037867450728969375,0.08573548856486807,-0.017638795462927206
vwap_w,-0.007076771587181053,-0.006999619839145057,-0.006843024983751201,-0.006505015517803816,-0.004057132679090166,-0.0018550614094732798,-0.00013542919173437323,0.0014890902213319335
